   2003      1     16   12.00       360.00   0.26791E+02   0.00000E+00   0.26791E+02   0.24264E+02   0.26812E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13283E+01   0.24019E+02  -0.75665E+02  -0.58758E+02   0.64739E-03   0.12038E-15   0.23295E-05       0.30     265.25     0.0000  0.00  -0.23337E-01  -0.52912E-01    26.1640    23.0368    21.7561    21.7591    21.7819
   2003      1     17   12.00       384.00   0.26978E+02   0.00000E+00   0.26978E+02   0.25195E+02   0.27005E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18418E+01   0.26234E+02  -0.80129E+02  -0.53244E+02   0.56853E-03   0.62839E-15   0.11693E-05       0.30     258.53     0.0000  0.00  -0.14812E-01  -0.46916E-01    26.8692    24.3577    23.0882    23.0909    23.1120
   2003      1     18   12.00       408.00   0.27225E+02   0.00000E+00   0.27225E+02   0.26028E+02   0.27255E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24979E+01   0.29121E+02  -0.84246E+02  -0.51865E+02   0.51596E-03   0.74761E-14   0.58860E-06       0.30     260.07     0.0000  0.00  -0.93410E-02   0.10534E-02    27.2503    25.5839    24.3698    24.3725    24.3929
   2003      1     19   12.00       432.00   0.27516E+02   0.00000E+00   0.27516E+02   0.26811E+02   0.27549E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29199E+01   0.32782E+02  -0.89260E+02  -0.51956E+02   0.52411E-03   0.14901E-12   0.56977E-06       0.30     265.12     0.0000  0.00  -0.87291E-02   0.92360E-02    27.5473    26.6684    25.6499    25.6525    25.6726
   2003      1     20   12.00       456.00   0.27827E+02   0.00000E+00   0.27827E+02   0.27546E+02   0.27866E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32428E+01   0.36064E+02  -0.94771E+02  -0.49792E+02   0.32114E-03   0.68445E-11   0.96526E-07       0.30     265.62     0.0000  0.00  -0.27851E-02  -0.11518E-01    27.8634    27.5733    26.9400    26.9424    26.9618
   2003      1     21   12.00       480.00   0.28191E+02   0.00000E+00   0.28191E+02   0.28194E+02   0.28237E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38319E+01   0.38451E+02  -0.98669E+02  -0.53266E+02   0.55817E-03   0.57105E-06   0.87657E-06       0.30     269.82     0.0000  0.00   0.32276E-02  -0.52989E-01    28.2247    28.2135    28.1192    28.1209    28.1363
   2003      1     22   12.00       504.00   0.28726E+02   0.00000E+00   0.28726E+02   0.28763E+02   0.28782E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.60962E+01   0.44894E+02  -0.10806E+03  -0.52623E+02   0.77538E-03   0.14823E-05   0.17141E-05       0.30     249.26     0.0000  0.00   0.60457E-02  -0.85053E-01    28.7621    28.7657    28.7679    28.7707    28.7801
   2003      1     23   12.00       528.00   0.28783E+02   0.00000E+00   0.28783E+02   0.28821E+02   0.28841E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82043E+01   0.48724E+02  -0.11333E+03  -0.48912E+02   0.78971E-03   0.16480E-05   0.15679E-05       0.30     219.40     0.0000  0.00   0.66346E-02  -0.82057E-01    28.8200    28.8245    28.8271    28.8300    28.8390
   2003      1     24   12.00       552.00   0.28743E+02   0.00000E+00   0.28743E+02   0.28788E+02   0.28812E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.84874E+01   0.49546E+02  -0.11428E+03  -0.58348E+02   0.10731E-02   0.24662E-05   0.60316E-05       0.30     225.51     0.0000  0.00   0.13550E-01  -0.16294E+00    28.7871    28.7912    28.7936    28.7973    28.8092
   2003      1     25   12.00       576.00   0.28854E+02   0.00000E+00   0.28854E+02   0.28900E+02   0.28926E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90084E+01   0.51838E+02  -0.11879E+03  -0.65270E+02   0.11503E-02   0.27714E-05   0.77836E-05       0.30     233.55     0.0000  0.00   0.15162E-01  -0.19448E+00    28.8987    28.9029    28.9053    28.9095    28.9222
   2003      1     26   12.00       600.00   0.28889E+02   0.00000E+00   0.28889E+02   0.28937E+02   0.28964E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.98948E+01   0.54325E+02  -0.12212E+03  -0.65209E+02   0.10803E-02   0.26537E-05   0.57545E-05       0.30     224.73     0.0000  0.00   0.12456E-01  -0.16604E+00    28.9357    28.9401    28.9427    28.9471    28.9598
   2003      1     27   12.00       624.00   0.28724E+02   0.00000E+00   0.28724E+02   0.28775E+02   0.28801E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11376E+02   0.54648E+02  -0.12189E+03  -0.55777E+02   0.10864E-02   0.26730E-05   0.58538E-05       0.30     193.70     0.0000  0.00   0.59017E-02  -0.18373E+00    28.7741    28.7787    28.7815    28.7856    28.7966
   2003      1     28   12.00       648.00   0.28269E+02   0.00000E+00   0.28269E+02   0.28321E+02   0.28346E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11502E+02   0.50985E+02  -0.11734E+03  -0.54230E+02   0.10404E-02   0.25066E-05   0.50020E-05       0.29     175.98     0.0000  0.00  -0.17381E-02  -0.17378E+00    28.3193    28.3241    28.3270    28.3312    28.3419
   2003      1     29   12.00       672.00   0.28045E+02   0.00000E+00   0.28045E+02   0.28086E+02   0.28114E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.99763E+01   0.48338E+02  -0.11453E+03  -0.69563E+02   0.83613E-03   0.19050E-05   0.19080E-05       0.29     204.01     0.0000  0.00  -0.12478E-02  -0.10541E+00    28.0838    28.0887    28.0918    28.0963    28.1102
   2003      1     30   12.00       696.00   0.28234E+02   0.00000E+00   0.28234E+02   0.28271E+02   0.28300E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90105E+01   0.48307E+02  -0.11625E+03  -0.80077E+02   0.55903E-03   0.95136E-06   0.41915E-06       0.29     231.31     0.0000  0.00  -0.20699E-03  -0.47821E-01    28.2696    28.2742    28.2774    28.2820    28.2972
   2003      1     31   12.00       720.00   0.28584E+02   0.00000E+00   0.28584E+02   0.28621E+02   0.28652E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.80972E+01   0.48985E+02  -0.11794E+03  -0.85664E+02   0.40486E-03   0.45825E-06   0.98721E-07       0.29     247.68     0.0000  0.00  -0.50053E-03  -0.23790E-01    28.6192    28.6236    28.6268    28.6319    28.6485
   2003      2      1   12.00       744.00   0.29080E+02   0.00000E+00   0.29080E+02   0.29118E+02   0.29151E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.81473E+01   0.53932E+02  -0.12575E+03  -0.92747E+02   0.41644E-03   0.49226E-06   0.10703E-06       0.29     266.11     0.0000  0.00  -0.16625E-02  -0.21477E-01    29.1159    29.1205    29.1239    29.1293    29.1469
   2003      2      2   12.00       768.00   0.29532E+02   0.00000E+00   0.29532E+02   0.29573E+02   0.29609E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.92102E+01   0.60314E+02  -0.13628E+03  -0.95642E+02   0.45636E-03   0.59029E-06   0.14634E-06       0.29     271.39     0.0000  0.00  -0.33677E-02  -0.17401E-01    29.5713    29.5764    29.5800    29.5859    29.6036
   2003      2      3   12.00       792.00   0.29777E+02   0.00000E+00   0.29777E+02   0.29823E+02   0.29861E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10878E+02   0.65196E+02  -0.14408E+03  -0.91351E+02   0.59993E-03   0.10077E-05   0.45877E-06       0.29     256.38     0.0000  0.00  -0.52032E-02  -0.35684E-01    29.8208    29.8266    29.8305    29.8368    29.8544
   2003      2      4   12.00       816.00   0.29755E+02   0.00000E+00   0.29755E+02   0.29802E+02   0.29840E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11661E+02   0.66215E+02  -0.14467E+03  -0.90350E+02   0.63156E-03   0.11312E-05   0.53172E-06       0.29     245.46     0.0000  0.00  -0.63726E-02  -0.33092E-01    29.8000    29.8059    29.8099    29.8163    29.8335
   2003      2      5   12.00       840.00   0.29732E+02   0.00000E+00   0.29732E+02   0.29780E+02   0.29817E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12031E+02   0.65020E+02  -0.14217E+03  -0.87503E+02   0.41147E-03   0.49623E-06   0.10742E-06       0.29     234.98     0.0000  0.00  -0.15502E-02  -0.16203E-01    29.7775    29.7833    29.7873    29.7935    29.8101
   2003      2      6   12.00       864.00   0.29603E+02   0.00000E+00   0.29603E+02   0.29650E+02   0.29686E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12525E+02   0.62239E+02  -0.13774E+03  -0.84662E+02   0.57285E-03   0.91369E-06   0.37801E-06       0.28     223.70     0.0000  0.00   0.29967E-02  -0.41884E-01    29.6476    29.6534    29.6573    29.6635    29.6802
   2003      2      7   12.00       888.00   0.29464E+02   0.00000E+00   0.29464E+02   0.29512E+02   0.29547E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12802E+02   0.62150E+02  -0.13695E+03  -0.80374E+02   0.60042E-03   0.10337E-05   0.44115E-06       0.28     209.88     0.0000  0.00   0.32033E-02  -0.46549E-01    29.5095    29.5154    29.5194    29.5253    29.5408
   2003      2      8   12.00       912.00   0.29158E+02   0.00000E+00   0.29158E+02   0.29204E+02   0.29238E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11965E+02   0.57391E+02  -0.12849E+03  -0.74896E+02   0.78513E-03   0.16196E-05   0.16285E-05       0.28     192.44     0.0000  0.00   0.62000E-02  -0.81477E-01    29.2019    29.2076    29.2114    29.2172    29.2323
   2003      2      9   12.00       936.00   0.28988E+02   0.00000E+00   0.28988E+02   0.29032E+02   0.29065E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11604E+02   0.54442E+02  -0.12324E+03  -0.78889E+02   0.94916E-03   0.23338E-05   0.30610E-05       0.28     199.03     0.0000  0.00   0.58140E-02  -0.12927E+00    29.0296    29.0348    29.0382    29.0439    29.0595
   2003      2     10   12.00       960.00   0.28952E+02   0.00000E+00   0.28952E+02   0.28994E+02   0.29027E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11824E+02   0.55713E+02  -0.12494E+03  -0.81800E+02   0.89411E-03   0.22036E-05   0.22500E-05       0.28     205.13     0.0000  0.00   0.87756E-03  -0.11794E+00    28.9917    28.9970    29.0006    29.0062    29.0218
   2003      2     11   12.00       984.00   0.28967E+02   0.00000E+00   0.28967E+02   0.29008E+02   0.29043E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10817E+02   0.55592E+02  -0.12510E+03  -0.87982E+02   0.83784E-03   0.19997E-05   0.17067E-05       0.28     217.67     0.0000  0.00  -0.45209E-02  -0.94349E-01    29.0061    29.0114    29.0151    29.0208    29.0372
   2003      2     12   12.00      1008.00   0.29143E+02   0.00000E+00   0.29143E+02   0.29186E+02   0.29221E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10712E+02   0.56879E+02  -0.12748E+03  -0.88394E+02   0.62720E-03   0.11686E-05   0.64001E-06       0.28     221.46     0.0000  0.00  -0.62108E-02  -0.38715E-01    29.1834    29.1888    29.1925    29.1984    29.2151
   2003      2     13   12.00      1032.00   0.29200E+02   0.00000E+00   0.29200E+02   0.29244E+02   0.29280E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10699E+02   0.58482E+02  -0.12910E+03  -0.88193E+02   0.50638E-03   0.70392E-06   0.22906E-06       0.28     218.61     0.0000  0.00  -0.50225E-02  -0.46381E-02    29.2418    29.2472    29.2510    29.2570    29.2740
   2003      2     14   12.00      1056.00   0.29379E+02   0.00000E+00   0.29379E+02   0.29421E+02   0.29460E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.92742E+01   0.59789E+02  -0.13131E+03  -0.99436E+02   0.44777E-03   0.58375E-06   0.15839E-06       0.28     243.17     0.0000  0.00  -0.37998E-02  -0.75667E-02    29.4192    29.4244    29.4282    29.4347    29.4537
   2003      2     15   12.00      1080.00   0.29791E+02   0.00000E+00   0.29791E+02   0.29835E+02   0.29875E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.93388E+01   0.64319E+02  -0.13951E+03  -0.10576E+03   0.45317E-03   0.61375E-06   0.16156E-06       0.27     260.71     0.0000  0.00   0.57471E-03  -0.28610E-01    29.8322    29.8377    29.8416    29.8484    29.8680
   2003      2     16   12.00      1104.00   0.29987E+02   0.00000E+00   0.29987E+02   0.30035E+02   0.30076E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11487E+02   0.68317E+02  -0.14567E+03  -0.93960E+02   0.82610E-03   0.18692E-05   0.17905E-05       0.27     232.96     0.0000  0.00   0.82457E-02  -0.80476E-01    30.0326    30.0387    30.0428    30.0497    30.0680
   2003      2     17   12.00      1128.00   0.29790E+02   0.00000E+00   0.29790E+02   0.29837E+02   0.29877E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12271E+02   0.66373E+02  -0.14137E+03  -0.90123E+02   0.11009E-02   0.29886E-05   0.53456E-05       0.27     215.41     0.0000  0.00   0.15392E-01  -0.15031E+00    29.8348    29.8404    29.8440    29.8509    29.8688
   2003      2     18   12.00      1152.00   0.29634E+02   0.00000E+00   0.29634E+02   0.29684E+02   0.29721E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13369E+02   0.65091E+02  -0.13877E+03  -0.83351E+02   0.10712E-02   0.28831E-05   0.48658E-05       0.27     197.63     0.0000  0.00   0.11983E-01  -0.15423E+00    29.6816    29.6873    29.6909    29.6974    29.7134
   2003      2     19   12.00      1176.00   0.29175E+02   0.00000E+00   0.29175E+02   0.29222E+02   0.29256E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13755E+02   0.59426E+02  -0.13079E+03  -0.73600E+02   0.96826E-03   0.24715E-05   0.30546E-05       0.27     168.28     0.0000  0.00   0.53030E-02  -0.13345E+00    29.2197    29.2257    29.2295    29.2355    29.2497
   2003      2     20   12.00      1200.00   0.28726E+02   0.00000E+00   0.28726E+02   0.28772E+02   0.28805E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12997E+02   0.55522E+02  -0.12397E+03  -0.72563E+02   0.10071E-02   0.25933E-05   0.37842E-05       0.27     160.65     0.0000  0.00   0.66613E-04  -0.15473E+00    28.7702    28.7758    28.7794    28.7850    28.7992
   2003      2     21   12.00      1224.00   0.28402E+02   0.00000E+00   0.28402E+02   0.28446E+02   0.28480E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11887E+02   0.51890E+02  -0.11800E+03  -0.80075E+02   0.95359E-03   0.23677E-05   0.31580E-05       0.27     174.77     0.0000  0.00   0.29617E-02  -0.13530E+00    28.4440    28.4492    28.4527    28.4585    28.4742
   2003      2     22   12.00      1248.00   0.28497E+02   0.00000E+00   0.28497E+02   0.28537E+02   0.28573E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10777E+02   0.53109E+02  -0.12107E+03  -0.95294E+02   0.72744E-03   0.15558E-05   0.10263E-05       0.27     211.97     0.0000  0.00   0.19879E-02  -0.74669E-01    28.5347    28.5399    28.5436    28.5497    28.5676
   2003      2     23   12.00      1272.00   0.28820E+02   0.00000E+00   0.28820E+02   0.28861E+02   0.28899E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10717E+02   0.55470E+02  -0.12601E+03  -0.97699E+02   0.62951E-03   0.11206E-05   0.52884E-06       0.27     224.06     0.0000  0.00  -0.33651E-02  -0.51604E-01    28.8589    28.8642    28.8680    28.8744    28.8929
   2003      2     24   12.00      1296.00   0.29115E+02   0.00000E+00   0.29115E+02   0.29155E+02   0.29193E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10725E+02   0.56239E+02  -0.12742E+03  -0.10042E+03   0.68308E-03   0.13231E-05   0.73296E-06       0.26     232.41     0.0000  0.00  -0.72160E-02  -0.40638E-01    29.1528    29.1580    29.1618    29.1682    29.1870
   2003      2     25   12.00      1320.00   0.29569E+02   0.00000E+00   0.29569E+02   0.29610E+02   0.29650E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10297E+02   0.60378E+02  -0.13417E+03  -0.10878E+03   0.75643E-03   0.16402E-05   0.10531E-05       0.26     254.47     0.0000  0.00  -0.11061E-01  -0.97212E-02    29.6078    29.6131    29.6170    29.6237    29.6437
   2003      2     26   12.00      1344.00   0.29973E+02   0.00000E+00   0.29973E+02   0.30019E+02   0.30061E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11260E+02   0.67070E+02  -0.14472E+03  -0.10440E+03   0.59922E-03   0.10650E-05   0.48348E-06       0.26     245.87     0.0000  0.00  -0.72393E-02   0.68007E-02    30.0168    30.0226    30.0268    30.0340    30.0536
   2003      2     27   12.00      1368.00   0.30004E+02   0.00000E+00   0.30004E+02   0.30054E+02   0.30096E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12200E+02   0.68979E+02  -0.14807E+03  -0.10145E+03   0.47946E-03   0.67333E-06   0.18060E-06       0.26     232.09     0.0000  0.00  -0.36905E-02  -0.16769E-01    30.0510    30.0572    30.0615    30.0686    30.0877
   2003      2     28   12.00      1392.00   0.29981E+02   0.00000E+00   0.29981E+02   0.30031E+02   0.30075E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12810E+02   0.70007E+02  -0.15025E+03  -0.10029E+03   0.70509E-03   0.14300E-05   0.83053E-06       0.26     224.90     0.0000  0.00  -0.34197E-02  -0.65556E-01    30.0287    30.0351    30.0396    30.0472    30.0668
   2003      3      1   12.00      1416.00   0.29810E+02   0.00000E+00   0.29810E+02   0.29861E+02   0.29905E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13153E+02   0.70171E+02  -0.15060E+03  -0.10092E+03   0.78142E-03   0.17964E-05   0.11882E-05       0.26     219.56     0.0000  0.00  -0.41287E-02  -0.80737E-01    29.8579    29.8644    29.8690    29.8765    29.8963
   2003      3      2   12.00      1440.00   0.29737E+02   0.00000E+00   0.29737E+02   0.29786E+02   0.29830E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12778E+02   0.68220E+02  -0.14769E+03  -0.10510E+03   0.71990E-03   0.15293E-05   0.85283E-06       0.26     226.77     0.0000  0.00  -0.46219E-02  -0.65281E-01    29.7837    29.7901    29.7945    29.8020    29.8218
   2003      3      3   12.00      1464.00   0.29717E+02   0.00000E+00   0.29717E+02   0.29766E+02   0.29809E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13800E+02   0.67307E+02  -0.14599E+03  -0.97829E+02   0.61823E-03   0.11164E-05   0.48198E-06       0.26     212.05     0.0000  0.00  -0.11228E-02  -0.53451E-01    29.7639    29.7703    29.7747    29.7821    29.8008
   2003      3      4   12.00      1488.00   0.29496E+02   0.00000E+00   0.29496E+02   0.29546E+02   0.29588E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14366E+02   0.66113E+02  -0.14445E+03  -0.98143E+02   0.60451E-03   0.10690E-05   0.43911E-06       0.25     206.78     0.0000  0.00  -0.18340E-02  -0.49000E-01    29.5430    29.5494    29.5538    29.5611    29.5798
   2003      3      5   12.00      1512.00   0.29443E+02   0.00000E+00   0.29443E+02   0.29491E+02   0.29535E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13575E+02   0.64694E+02  -0.14209E+03  -0.10182E+03   0.60684E-03   0.10682E-05   0.45048E-06       0.25     215.07     0.0000  0.00  -0.44657E-02  -0.41676E-01    29.4886    29.4948    29.4991    29.5066    29.5264
   2003      3      6   12.00      1536.00   0.29488E+02   0.00000E+00   0.29488E+02   0.29534E+02   0.29578E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12888E+02   0.63066E+02  -0.13842E+03  -0.10334E+03   0.56418E-03   0.88888E-06   0.32754E-06       0.25     220.64     0.0000  0.00  -0.48401E-02  -0.28612E-01    29.5317    29.5376    29.5418    29.5492    29.5695
   2003      3      7   12.00      1560.00   0.29632E+02   0.00000E+00   0.29632E+02   0.29679E+02   0.29721E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13035E+02   0.65041E+02  -0.14148E+03  -0.10278E+03   0.65040E-03   0.12196E-05   0.57021E-06       0.25     221.07     0.0000  0.00  -0.66730E-02  -0.35643E-01    29.6768    29.6829    29.6871    29.6943    29.7136
   2003      3      8   12.00      1584.00   0.29634E+02   0.00000E+00   0.29634E+02   0.29681E+02   0.29723E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12931E+02   0.64771E+02  -0.14119E+03  -0.10040E+03   0.75732E-03   0.16321E-05   0.10723E-05       0.25     214.18     0.0000  0.00  -0.10812E-01  -0.10512E-01    29.6789    29.6851    29.6894    29.6965    29.7157
   2003      3      9   12.00      1608.00   0.29653E+02   0.00000E+00   0.29653E+02   0.29700E+02   0.29741E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12840E+02   0.64227E+02  -0.13984E+03  -0.99739E+02   0.60370E-03   0.11586E-05   0.62242E-06       0.25     212.35     0.0000  0.00  -0.74635E-02   0.15538E-01    29.6974    29.7034    29.7076    29.7146    29.7333
