   2021      7     12   12.00       264.00   0.18542E+02   0.00000E+00   0.18542E+02   0.18614E+02   0.18997E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18756E+02   0.51252E+02  -0.14171E+03  -0.76818E+03   0.16675E-02   0.18820E-05   0.33986E-04       0.16     153.05     0.0000  0.00   0.82061E-02   0.43263E-01    18.6100    18.6227    18.6336    18.6773    18.8416
   2021      7     13   12.00       288.00   0.20265E+02   0.00000E+00   0.20265E+02   0.20393E+02   0.20736E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27378E+02   0.72194E+02  -0.19838E+03  -0.65681E+03   0.26067E-02   0.28370E-05   0.21742E-03       0.16     241.02     0.0000  0.00  -0.14684E-01   0.65124E+00    20.3914    20.4097    20.4202    20.4596    20.5951
   2021      7     14   12.00       312.00   0.21058E+02   0.00000E+00   0.21058E+02   0.21247E+02   0.21551E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38877E+02   0.86448E+02  -0.22014E+03  -0.58547E+03   0.29447E-02   0.34066E-05   0.48570E-03       0.16     229.78     0.0000  0.00  -0.27303E-02   0.97347E+00    21.2462    21.2708    21.2819    21.3162    21.4314
   2021      7     15   12.00       336.00   0.21070E+02   0.00000E+00   0.21070E+02   0.21186E+02   0.21479E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33187E+02   0.77402E+02  -0.18372E+03  -0.56713E+03   0.21123E-02   0.24515E-05   0.21070E-03       0.16     172.02     0.0000  0.00  -0.45386E-02   0.19990E+00    21.1835    21.2008    21.2110    21.2446    21.3626
   2021      7     16   12.00       360.00   0.21179E+02   0.00000E+00   0.21179E+02   0.21279E+02   0.21567E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34881E+02   0.79627E+02  -0.19222E+03  -0.56905E+03   0.18324E-02   0.20623E-05   0.13488E-03       0.16     187.88     0.0000  0.00  -0.16896E-02  -0.24259E-01    21.2759    21.2924    21.3027    21.3366    21.4514
   2021      7     17   12.00       384.00   0.21251E+02   0.00000E+00   0.21251E+02   0.21418E+02   0.21719E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35202E+02   0.85277E+02  -0.19823E+03  -0.55829E+03   0.28645E-02   0.31901E-05   0.39695E-03       0.16     188.22     0.0000  0.00   0.67217E-02   0.86350E+00    21.4162    21.4384    21.4490    21.4836    21.5986
   2021      7     18   12.00       408.00   0.21390E+02   0.00000E+00   0.21390E+02   0.21582E+02   0.21871E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25210E+02   0.85625E+02  -0.19365E+03  -0.55821E+03   0.32247E-02   0.34959E-05   0.71665E-03       0.16     221.82     0.0000  0.00  -0.11639E-01   0.12860E+01    21.5798    21.6063    21.6173    21.6499    21.7625
   2021      7     19   12.00       432.00   0.22308E+02   0.00000E+00   0.22308E+02   0.22568E+02   0.22838E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31280E+02   0.10242E+03  -0.22986E+03  -0.48738E+03   0.37665E-02   0.43808E-05   0.16039E-02       0.16     254.84     0.0000  0.00   0.17707E-01   0.18679E+01    22.5665    22.6006    22.6128    22.6433    22.7427
   2021      7     20   12.00       456.00   0.20928E+02   0.00000E+00   0.20928E+02   0.21396E+02   0.21746E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57319E+02   0.13112E+03  -0.25751E+03  -0.56042E+03   0.56968E-02   0.71964E-05   0.95803E-02       0.17     151.36     0.0000  0.00   0.16290E-01   0.46341E+01    21.3923    21.4567    21.4763    21.5127    21.6222
   2021      7     21   12.00       480.00   0.19287E+02   0.00000E+00   0.19287E+02   0.19480E+02   0.19839E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35478E+02   0.71872E+02  -0.15670E+03  -0.68683E+03   0.27907E-02   0.34893E-05   0.25145E-02       0.17      70.26     0.0000  0.00  -0.41828E-02   0.14623E+01    19.4757    19.5054    19.5194    19.5589    19.7063
   2021      7     22   12.00       504.00   0.19171E+02   0.00000E+00   0.19171E+02   0.19376E+02   0.19745E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36602E+02   0.77516E+02  -0.17106E+03  -0.69599E+03   0.32357E-02   0.35693E-05   0.79063E-03       0.17      85.86     0.0000  0.00   0.18996E-01  -0.12054E+01    19.3742    19.4036    19.4166    19.4574    19.6014
   2021      7     23   12.00       528.00   0.18457E+02   0.00000E+00   0.18457E+02   0.18670E+02   0.19077E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43091E+02   0.87290E+02  -0.19824E+03  -0.77742E+03   0.34535E-02   0.37813E-05   0.85983E-03       0.17     112.97     0.0000  0.00   0.37532E-01  -0.10297E+01    18.6672    18.6985    18.7128    18.7585    18.9036
   2021      7     24   12.00       552.00   0.18777E+02   0.00000E+00   0.18777E+02   0.18862E+02   0.19248E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34306E+02   0.68188E+02  -0.17498E+03  -0.75637E+03   0.14766E-02   0.18448E-05   0.24445E-04       0.17     126.93     0.0000  0.00   0.89669E-02  -0.14361E+00    18.8580    18.8738    18.8862    18.9314    19.0924
   2021      7     25   12.00       576.00   0.19314E+02   0.00000E+00   0.19314E+02   0.19420E+02   0.19788E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33350E+02   0.68608E+02  -0.16730E+03  -0.70163E+03   0.16278E-02   0.18138E-05   0.14280E-03       0.17     124.23     0.0000  0.00   0.66354E-02   0.38168E+00    19.4168    19.4346    19.4467    19.4898    19.6347
   2021      7     26   12.00       600.00   0.18786E+02   0.00000E+00   0.18786E+02   0.19120E+02   0.19537E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.52900E+02   0.11082E+03  -0.21776E+03  -0.73906E+03   0.51752E-02   0.54473E-05   0.55915E-02       0.17     128.90     0.0000  0.00   0.88788E-01   0.24248E+01    19.1159    19.1666    19.1847    19.2311    19.3775
   2021      7     27   12.00       624.00   0.17542E+02   0.00000E+00   0.17542E+02   0.18067E+02   0.18536E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.61977E+02   0.12692E+03  -0.22978E+03  -0.82390E+03   0.89259E-02   0.10849E-04   0.37751E-01       0.17      99.36     0.0000  0.00   0.30777E+00   0.43086E+01    18.0656    18.1437    18.1681    18.2162    18.3697
   2021      7     28   12.00       648.00   0.16474E+02   0.00000E+00   0.16474E+02   0.16860E+02   0.17293E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56163E+02   0.11009E+03  -0.19821E+03  -0.91588E+03   0.12211E-01   0.66897E-04   0.10527E+00       0.17      57.65     0.0000  0.00   0.60895E+00   0.46862E+01    16.8592    16.9144    16.9359    16.9789    17.1223
   2021      7     29   12.00       672.00   0.16110E+02   0.00000E+00   0.16110E+02   0.16480E+02   0.16939E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.50492E+02   0.92286E+02  -0.17144E+03  -0.93142E+03   0.10831E-01   0.32164E-04   0.76573E-01       0.17      50.30     0.0000  0.00   0.48669E+00   0.34526E+01    16.4754    16.5336    16.5574    16.6057    16.7736
   2021      7     30   12.00       696.00   0.16324E+02   0.00000E+00   0.16324E+02   0.16618E+02   0.17098E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45332E+02   0.77756E+02  -0.14997E+03  -0.90971E+03   0.81682E-02   0.72334E-05   0.23157E-01       0.17      49.92     0.0000  0.00   0.26687E+00   0.18748E+01    16.6089    16.6736    16.6955    16.7467    16.9265
   2021      7     31   12.00       720.00   0.16609E+02   0.00000E+00   0.16609E+02   0.16934E+02   0.17397E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47447E+02   0.86667E+02  -0.16184E+03  -0.88686E+03   0.91657E-02   0.10634E-04   0.36555E-01       0.17      59.24     0.0000  0.00   0.33761E+00   0.26311E+01    16.9267    16.9866    17.0088    17.0577    17.2171
   2021      8      1   12.00       744.00   0.16900E+02   0.00000E+00   0.16900E+02   0.17197E+02   0.17645E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36651E+02   0.78268E+02  -0.13882E+03  -0.86316E+03   0.10208E-01   0.14855E-04   0.53707E-01       0.17      67.96     0.0000  0.00   0.42253E+00   0.16264E+01    17.1908    17.2462    17.2666    17.3135    17.4698
   2021      8      2   12.00       768.00   0.18420E+02   0.00000E+00   0.18420E+02   0.18627E+02   0.19015E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18394E+02   0.83201E+02  -0.13347E+03  -0.76109E+03   0.97017E-02   0.13173E-04   0.43866E-01       0.18     140.97     0.0000  0.00   0.37789E+00  -0.22108E+01    18.6197    18.6621    18.6795    18.7219    18.8562
   2021      8      3   12.00       792.00   0.20447E+02   0.00000E+00   0.20447E+02   0.20657E+02   0.20987E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15290E+02   0.92673E+02  -0.17334E+03  -0.62271E+03   0.56650E-02   0.48327E-05   0.83360E-02       0.18     233.58     0.0000  0.00   0.13419E+00  -0.16972E+01    20.6529    20.6876    20.7011    20.7378    20.8659
   2021      8      4   12.00       816.00   0.22239E+02   0.00000E+00   0.22239E+02   0.22362E+02   0.22621E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25095E+02   0.83310E+02  -0.19534E+03  -0.47966E+03   0.29898E-02   0.29631E-05   0.37390E-03       0.18     236.68     0.0000  0.00   0.35710E-01   0.16812E+00    22.3599    22.3782    22.3873    22.4179    22.5210
   2021      8      5   12.00       840.00   0.21369E+02   0.00000E+00   0.21369E+02   0.21650E+02   0.21937E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45823E+02   0.10536E+03  -0.22302E+03  -0.52016E+03   0.36932E-02   0.44258E-05   0.13931E-02       0.18     134.84     0.0000  0.00   0.30237E-02   0.15892E+01    21.6489    21.6842    21.6973    21.7288    21.8268
   2021      8      6   12.00       864.00   0.19004E+02   0.00000E+00   0.19004E+02   0.19420E+02   0.19832E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54738E+02   0.11521E+03  -0.23268E+03  -0.72700E+03   0.48397E-02   0.59250E-05   0.41074E-02       0.18     133.95     0.0000  0.00  -0.26042E-01   0.30468E+01    19.4177    19.4717    19.4906    19.5357    19.6814
   2021      8      7   12.00       888.00   0.19564E+02   0.00000E+00   0.19564E+02   0.19724E+02   0.20074E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37904E+02   0.83639E+02  -0.20031E+03  -0.70244E+03   0.22920E-02   0.31027E-05   0.58047E-03       0.18     167.61     0.0000  0.00   0.53112E-02   0.20997E+00    19.7202    19.7446    19.7571    19.7970    19.9300
   2021      8      8   12.00       912.00   0.19289E+02   0.00000E+00   0.19289E+02   0.19477E+02   0.19851E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38428E+02   0.84519E+02  -0.19629E+03  -0.71297E+03   0.32194E-02   0.39811E-05   0.59073E-03       0.18     139.97     0.0000  0.00   0.29022E-01  -0.78077E+00    19.4750    19.5021    19.5147    19.5569    19.6905
   2021      8      9   12.00       936.00   0.19884E+02   0.00000E+00   0.19884E+02   0.20006E+02   0.20353E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34258E+02   0.80461E+02  -0.19863E+03  -0.68376E+03   0.27654E-02   0.35114E-05   0.22674E-03       0.18     194.47     0.0000  0.00   0.31725E-01   0.27354E+00    20.0037    20.0229    20.0339    20.0733    20.2031
   2021      8     10   12.00       960.00   0.20405E+02   0.00000E+00   0.20405E+02   0.20583E+02   0.20909E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38852E+02   0.87138E+02  -0.21026E+03  -0.62363E+03   0.26791E-02   0.36842E-05   0.36637E-03       0.18     165.53     0.0000  0.00   0.89854E-02   0.86610E+00    20.5814    20.6051    20.6168    20.6544    20.7770
   2021      8     11   12.00       984.00   0.19588E+02   0.00000E+00   0.19588E+02   0.19798E+02   0.20163E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.40962E+02   0.88557E+02  -0.20043E+03  -0.68662E+03   0.30030E-02   0.38572E-05   0.51839E-03       0.18     140.66     0.0000  0.00  -0.10502E-01   0.10811E+01    19.7958    19.8238    19.8367    19.8782    20.0108
   2021      8     12   12.00      1008.00   0.19236E+02   0.00000E+00   0.19236E+02   0.19546E+02   0.19939E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57129E+02   0.11362E+03  -0.25086E+03  -0.72749E+03   0.36745E-02   0.48753E-05   0.12337E-02       0.18     166.37     0.0000  0.00  -0.32042E-01   0.14600E+01    19.5447    19.5826    19.5980    19.6428    19.7727
   2021      8     13   12.00      1032.00   0.17911E+02   0.00000E+00   0.17911E+02   0.18282E+02   0.18745E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.62319E+02   0.11446E+03  -0.25354E+03  -0.83334E+03   0.42122E-02   0.57062E-05   0.22689E-02       0.19     148.30     0.0000  0.00  -0.22720E-01   0.22739E+01    18.2788    18.3288    18.3480    18.4001    18.5592
   2021      8     14   12.00      1056.00   0.17249E+02   0.00000E+00   0.17249E+02   0.17620E+02   0.18088E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.59439E+02   0.11101E+03  -0.23426E+03  -0.87039E+03   0.52721E-02   0.68327E-05   0.67604E-02       0.19     109.36     0.0000  0.00   0.62495E-01   0.33246E+01    17.6136    17.6721    17.6937    17.7444    17.9029
   2021      8     15   12.00      1080.00   0.16138E+02   0.00000E+00   0.16138E+02   0.16616E+02   0.17129E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56964E+02   0.10203E+03  -0.20139E+03  -0.93298E+03   0.76162E-02   0.10154E-04   0.23140E-01       0.19      60.58     0.0000  0.00   0.16734E+00   0.60730E+01    16.6066    16.6819    16.7077    16.7622    16.9293
   2021      8     16   12.00      1104.00   0.15686E+02   0.00000E+00   0.15686E+02   0.16120E+02   0.16642E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.53921E+02   0.96562E+02  -0.18788E+03  -0.96097E+03   0.74993E-02   0.95228E-05   0.22884E-01       0.19      40.62     0.0000  0.00   0.15536E+00   0.61935E+01    16.1092    16.1889    16.2152    16.2699    16.4453
   2021      8     17   12.00      1128.00   0.15315E+02   0.00000E+00   0.15315E+02   0.15787E+02   0.16355E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54628E+02   0.10521E+03  -0.22676E+03  -0.10282E+04   0.65418E-02   0.80973E-05   0.13786E-01       0.19     122.89     0.0000  0.00   0.93028E-01   0.52256E+01    15.7748    15.8516    15.8791    15.9422    16.1441
   2021      8     18   12.00      1152.00   0.16224E+02   0.00000E+00   0.16224E+02   0.16538E+02   0.17067E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48566E+02   0.91361E+02  -0.22456E+03  -0.97277E+03   0.41255E-02   0.50172E-05   0.29710E-02       0.19     163.21     0.0000  0.00   0.34349E-01   0.22064E+01    16.5322    16.5784    16.5987    16.6590    16.8457
   2021      8     19   12.00      1176.00   0.16509E+02   0.00000E+00   0.16509E+02   0.16866E+02   0.17370E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56932E+02   0.10355E+03  -0.21763E+03  -0.91980E+03   0.59416E-02   0.76127E-05   0.12961E-01       0.19     106.96     0.0000  0.00   0.12931E+00   0.33313E+01    16.8597    16.9147    16.9364    16.9925    17.1680
   2021      8     20   12.00      1200.00   0.16256E+02   0.00000E+00   0.16256E+02   0.16579E+02   0.17100E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51321E+02   0.10032E+03  -0.21098E+03  -0.95195E+03   0.61279E-02   0.80515E-05   0.13407E-01       0.19     120.39     0.0000  0.00   0.10864E+00   0.42927E+01    16.5669    16.6309    16.6538    16.7106    16.8937
   2021      8     21   12.00      1224.00   0.17505E+02   0.00000E+00   0.17505E+02   0.17640E+02   0.18077E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32272E+02   0.67194E+02  -0.18221E+03  -0.86209E+03   0.20167E-02   0.24421E-05   0.36235E-03       0.19     155.09     0.0000  0.00  -0.22668E-02  -0.15408E+00    17.6355    17.6582    17.6724    17.7228    17.9023
   2021      8     22   12.00      1248.00   0.17591E+02   0.00000E+00   0.17591E+02   0.17976E+02   0.18430E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.50889E+02   0.10122E+03  -0.21217E+03  -0.82103E+03   0.51194E-02   0.57839E-05   0.56730E-02       0.19     117.11     0.0000  0.00   0.18957E-01  -0.35803E+01    17.9686    18.0283    18.0495    18.0989    18.2691
   2021      8     23   12.00      1272.00   0.17548E+02   0.00000E+00   0.17548E+02   0.17764E+02   0.18188E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36932E+02   0.71248E+02  -0.15055E+03  -0.82115E+03   0.42076E-02   0.42581E-05   0.28678E-02       0.20      79.69     0.0000  0.00   0.43037E-01  -0.20272E+01    17.7576    17.7976    17.8139    17.8598    18.0233
   2021      8     24   12.00      1296.00   0.18837E+02   0.00000E+00   0.18837E+02   0.18910E+02   0.19269E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23217E+02   0.49706E+02  -0.12717E+03  -0.72307E+03   0.17947E-02   0.20875E-05   0.42929E-04       0.20     108.52     0.0000  0.00   0.85770E-02   0.13850E+00    18.9065    18.9192    18.9296    18.9706    19.1135
   2021      8     25   12.00      1320.00   0.19151E+02   0.00000E+00   0.19151E+02   0.19436E+02   0.19819E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47166E+02   0.10058E+03  -0.22806E+03  -0.71888E+03   0.38186E-02   0.45166E-05   0.17352E-02       0.20     166.36     0.0000  0.00  -0.29676E-01   0.17256E+01    19.4337    19.4731    19.4886    19.5314    19.6593
   2021      8     26   12.00      1344.00   0.17604E+02   0.00000E+00   0.17604E+02   0.18121E+02   0.18608E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.69400E+02   0.13202E+03  -0.28120E+03  -0.84442E+03   0.55188E-02   0.69162E-05   0.73299E-02       0.20     146.38     0.0000  0.00  -0.13121E-01   0.40528E+01    18.1152    18.1860    18.2095    18.2623    18.4160
   2021      8     27   12.00      1368.00   0.16136E+02   0.00000E+00   0.16136E+02   0.16591E+02   0.17134E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.62905E+02   0.11440E+03  -0.25750E+03  -0.97107E+03   0.52058E-02   0.67949E-05   0.62754E-02       0.20     128.62     0.0000  0.00  -0.34211E-02   0.37376E+01    16.5836    16.6523    16.6766    16.7357    16.9181
   2021      8     28   12.00      1392.00   0.16383E+02   0.00000E+00   0.16383E+02   0.16651E+02   0.17149E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45471E+02   0.81452E+02  -0.20646E+03  -0.94335E+03   0.35763E-02   0.40040E-05   0.11230E-02       0.20     110.48     0.0000  0.00   0.11803E-01   0.14178E+01    16.6471    16.6876    16.7053    16.7606    16.9440
   2021      8     29   12.00      1416.00   0.16260E+02   0.00000E+00   0.16260E+02   0.16558E+02   0.17065E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45270E+02   0.82308E+02  -0.17406E+03  -0.92630E+03   0.49313E-02   0.44532E-05   0.32204E-02       0.20      69.23     0.0000  0.00   0.85690E-01   0.17629E+01    16.5519    16.6006    16.6200    16.6759    16.8668
   2021      8     30   12.00      1440.00   0.17253E+02   0.00000E+00   0.17253E+02   0.17391E+02   0.17824E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29920E+02   0.61247E+02  -0.13990E+03  -0.85036E+03   0.30953E-02   0.30373E-05   0.80093E-03       0.20      85.78     0.0000  0.00   0.40594E-01   0.51751E+00    17.3866    17.4114    17.4249    17.4729    17.6480
   2021      8     31   12.00      1464.00   0.18234E+02   0.00000E+00   0.18234E+02   0.18311E+02   0.18691E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25977E+02   0.54921E+02  -0.13433E+03  -0.76568E+03   0.16837E-02   0.21716E-05   0.25964E-04       0.20      80.88     0.0000  0.00   0.52103E-02  -0.25993E+00    18.3076    18.3207    18.3317    18.3749    18.5306
   2021      9      1   12.00      1488.00   0.19084E+02   0.00000E+00   0.19084E+02   0.19173E+02   0.19532E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22179E+02   0.56179E+02  -0.13844E+03  -0.70566E+03   0.21605E-02   0.25181E-05   0.86162E-04       0.21     122.93     0.0000  0.00   0.51894E-02  -0.50506E+00    19.1704    19.1851    19.1956    19.2366    19.3905
   2021      9      2   12.00      1512.00   0.20173E+02   0.00000E+00   0.20173E+02   0.20254E+02   0.20572E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22697E+02   0.60164E+02  -0.14977E+03  -0.61884E+03   0.19626E-02   0.23000E-05   0.54644E-04       0.21     135.51     0.0000  0.00   0.11986E-01  -0.28943E+00    20.2509    20.2642    20.2739    20.3108    20.4321
   2021      9      3   12.00      1536.00   0.20121E+02   0.00000E+00   0.20121E+02   0.20279E+02   0.20599E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34498E+02   0.74051E+02  -0.17217E+03  -0.61605E+03   0.28274E-02   0.32241E-05   0.62762E-03       0.21     106.69     0.0000  0.00   0.22275E-01  -0.84269E+00    20.2758    20.2997    20.3113    20.3478    20.4570
   2021      9      4   12.00      1560.00   0.18883E+02   0.00000E+00   0.18883E+02   0.19189E+02   0.19588E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54464E+02   0.99956E+02  -0.21893E+03  -0.71847E+03   0.41626E-02   0.43863E-05   0.25261E-02       0.21      90.37     0.0000  0.00  -0.46173E-01  -0.13932E+01    19.1875    19.2301    19.2463    19.2906    19.4207
   2021      9      5   12.00      1584.00   0.17118E+02   0.00000E+00   0.17118E+02   0.17376E+02   0.17845E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.50248E+02   0.87408E+02  -0.20497E+03  -0.87208E+03   0.37911E-02   0.40908E-05   0.19904E-02       0.21      65.53     0.0000  0.00  -0.52261E-01   0.36298E+00    17.3740    17.4115    17.4284    17.4813    17.6509
   2021      9      6   12.00      1608.00   0.16108E+02   0.00000E+00   0.16108E+02   0.16516E+02   0.17042E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54363E+02   0.92070E+02  -0.21247E+03  -0.93946E+03   0.53123E-02   0.65205E-05   0.68803E-02       0.21      60.12     0.0000  0.00   0.25531E-01   0.39333E+01    16.5067    16.5735    16.5978    16.6549    16.8407
   2021      9      7   12.00      1632.00   0.15770E+02   0.00000E+00   0.15770E+02   0.16158E+02   0.16685E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47456E+02   0.78775E+02  -0.18175E+03  -0.96512E+03   0.63290E-02   0.72364E-05   0.13297E-01       0.21      67.88     0.0000  0.00   0.22738E-01   0.56843E+01    16.1444    16.2195    16.2454    16.3022    16.4936
