   2022      1     14   12.00       312.00  -0.99126E+01   0.00000E+00  -0.17711E-10   0.14684E+01   0.37086E+01   0.00000E+00  -0.57092E-02  -0.99126E+01  -0.22923E+02   0.20715E+02   0.22087E+01  -0.28691E+01   0.95262E-02   0.00000E+00   0.00000E+00       0.85      14.69     0.0000  0.00   0.55335-321   0.32855-319     0.4150     1.2358     2.1214     2.9182     3.7086
   2022      1     15   12.00       336.00  -0.98211E+01   0.00000E+00  -0.18228E-10   0.14476E+01   0.36939E+01   0.00000E+00  -0.56934E-02  -0.98211E+01  -0.19029E+02   0.22056E+02  -0.30263E+01  -0.28568E+01   0.89327E-02   0.00000E+00   0.00000E+00       0.85      16.84     0.0000  0.00   0.55335-321   0.32855-319     0.4049     1.2082     2.0925     2.9018     3.6939
   2022      1     16   12.00       360.00  -0.10360E+02   0.00000E+00  -0.18728E-10   0.14284E+01   0.36796E+01   0.00000E+00  -0.54647E-02  -0.10360E+02  -0.20935E+02   0.22372E+02  -0.14372E+01  -0.28452E+01   0.83634E-02   0.00000E+00   0.00000E+00       0.85      17.74     0.0000  0.00   0.55335-321   0.32855-319     0.3954     1.1827     2.0660     2.8863     3.6796
   2022      1     17   12.00       384.00  -0.11161E+02   0.00000E+00  -0.19117E-10   0.14104E+01   0.36655E+01   0.00000E+00  -0.51796E-02  -0.11161E+02  -0.29927E+02   0.23406E+02   0.65215E+01  -0.28352E+01   0.86558E-02   0.00000E+00   0.00000E+00       0.85      17.84     0.0000  0.00   0.55335-321   0.32855-319     0.3864     1.1591     2.0415     2.8712     3.6655
   2022      1     18   12.00       408.00  -0.11586E+02   0.00000E+00  -0.19537E-10   0.13938E+01   0.36518E+01   0.00000E+00  -0.53405E-02  -0.11586E+02  -0.40502E+02   0.25762E+02   0.14741E+02  -0.28238E+01   0.86927E-02   0.00000E+00   0.00000E+00       0.85      18.55     0.0000  0.00   0.55335-321   0.32855-319     0.3781     1.1373     2.0188     2.8570     3.6518
   2022      1     19   12.00       432.00  -0.12413E+02   0.00000E+00  -0.19980E-10   0.13784E+01   0.36385E+01   0.00000E+00  -0.54004E-02  -0.12413E+02  -0.58096E+02   0.26661E+02   0.31435E+02  -0.28127E+01   0.87898E-02   0.00000E+00   0.00000E+00       0.85      19.66     0.0000  0.00   0.55335-321   0.32855-319     0.3705     1.1172     1.9979     2.8435     3.6385
   2022      1     20   12.00       456.00  -0.12618E+02   0.00000E+00  -0.20527E-10   0.13643E+01   0.36256E+01   0.00000E+00  -0.54382E-02  -0.12618E+02  -0.71905E+02   0.32154E+02   0.39751E+02  -0.28005E+01   0.10381E-01   0.00000E+00   0.00000E+00       0.85      20.47     0.0000  0.00   0.55335-321   0.32855-319     0.3635     1.0989     1.9788     2.8308     3.6256
   2022      1     21   12.00       480.00  -0.11407E+02   0.00000E+00  -0.20733E-10   0.13504E+01   0.36125E+01   0.00000E+00  -0.39490E-02  -0.11407E+02  -0.55839E+02   0.33081E+02   0.22758E+02  -0.27947E+01   0.10830E-01   0.00000E+00   0.00000E+00       0.85      20.91     0.0000  0.00   0.55335-321   0.32855-319     0.3565     1.0812     1.9602     2.8177     3.6125
   2022      1     22   12.00       504.00  -0.10895E+02   0.00000E+00  -0.20597E-10   0.13367E+01   0.35991E+01   0.00000E+00  -0.32547E-02  -0.10895E+02  -0.38526E+02   0.26213E+02   0.12313E+02  -0.27896E+01   0.87817E-02   0.00000E+00   0.00000E+00       0.85      21.67     0.0000  0.00   0.55335-321   0.32855-319     0.3494     1.0639     1.9420     2.8041     3.5991
   2022      1     23   12.00       528.00  -0.12652E+02   0.00000E+00  -0.20298E-10   0.13234E+01   0.35857E+01   0.00000E+00  -0.26716E-02  -0.12651E+02  -0.41636E+02   0.13498E+02   0.28137E+02  -0.27844E+01   0.62683E-02   0.00000E+00   0.00000E+00       0.85      22.82     0.0000  0.00   0.55335-321   0.32855-319     0.3426     1.0473     1.9244     2.7906     3.5857
   2022      1     24   12.00       552.00  -0.12699E+02   0.00000E+00  -0.19982E-10   0.13108E+01   0.35725E+01   0.00000E+00  -0.25189E-02  -0.12697E+02  -0.57093E+02   0.12703E+02   0.44391E+02  -0.27777E+01   0.75940E-02   0.00000E+00   0.00000E+00       0.85      22.70     0.0000  0.00   0.55335-321   0.32855-319     0.3363     1.0316     1.9075     2.7775     3.5725
   2022      1     25   12.00       576.00  -0.10600E+02   0.00000E+00  -0.19655E-10   0.12987E+01   0.35594E+01   0.00000E+00  -0.21063E-02  -0.10599E+02  -0.66891E+02   0.18905E+02   0.47986E+02  -0.27712E+01   0.84536E-02   0.00000E+00   0.00000E+00       0.85      21.30     0.0000  0.00   0.55335-321   0.32855-319     0.3304     1.0168     1.8914     2.7648     3.5594
   2022      1     26   12.00       600.00  -0.16970E+02   0.00000E+00  -0.19321E-10   0.12873E+01   0.35466E+01   0.00000E+00  -0.24253E-02  -0.16970E+02  -0.44778E+02   0.12506E+02   0.32271E+02  -0.27638E+01   0.40539E-02   0.00000E+00   0.00000E+00       0.85      20.22     0.0000  0.00   0.55335-321   0.32855-319     0.3248     1.0028     1.8760     2.7523     3.5466
   2022      1     27   12.00       624.00  -0.96749E+01   0.00000E+00  -0.19429E-10   0.12773E+01   0.35346E+01   0.00000E+00  -0.30898E-02  -0.96749E+01  -0.14819E+03   0.55783E+02   0.92409E+02  -0.27508E+01   0.12007E-01   0.00000E+00   0.00000E+00       0.85      20.50     0.0000  0.00   0.55335-321   0.32855-319     0.3203     0.9906     1.8623     2.7415     3.5346
   2022      1     28   12.00       648.00  -0.92592E+01   0.00000E+00  -0.19393E-10   0.12675E+01   0.35226E+01   0.00000E+00  -0.25405E-02  -0.92585E+01  -0.17371E+03   0.66231E+02   0.10748E+03  -0.27433E+01   0.13762E-01   0.00000E+00   0.00000E+00       0.85      21.22     0.0000  0.00   0.55335-321   0.32855-319     0.3157     0.9788     1.8490     2.7304     3.5226
   2022      1     29   12.00       672.00  -0.91230E+01   0.00000E+00  -0.19365E-10   0.12582E+01   0.35107E+01   0.00000E+00  -0.26355E-02  -0.91230E+01  -0.15969E+03   0.61179E+02   0.98511E+02  -0.27343E+01   0.12254E-01   0.00000E+00   0.00000E+00       0.85      20.84     0.0000  0.00   0.55335-321   0.32855-319     0.3115     0.9678     1.8364     2.7197     3.5107
   2022      1     30   12.00       696.00  -0.94613E+01   0.00000E+00  -0.19546E-10   0.12499E+01   0.34995E+01   0.00000E+00  -0.37019E-02  -0.94612E+01  -0.14468E+03   0.50943E+02   0.93732E+02  -0.27220E+01   0.10696E-01   0.00000E+00   0.00000E+00       0.85      19.49     0.0000  0.00   0.55335-321   0.32855-319     0.3078     0.9578     1.8249     2.7099     3.4995
   2022      1     31   12.00       720.00  -0.76349E+01   0.00000E+00  -0.20043E-10   0.12426E+01   0.34889E+01   0.00000E+00  -0.38866E-02  -0.76345E+01  -0.14379E+03   0.65722E+02   0.78069E+02  -0.27086E+01   0.13335E-01   0.00000E+00   0.00000E+00       0.85      18.38     0.0000  0.00   0.55335-321   0.32855-319     0.3048     0.9492     1.8147     2.7013     3.4889
   2022      2      1   12.00       744.00  -0.51715E+01   0.00000E+00  -0.20304E-10   0.12352E+01   0.34781E+01   0.00000E+00  -0.30171E-02  -0.51716E+01  -0.15258E+03   0.10088E+03   0.51701E+02  -0.27006E+01   0.19452E-01   0.00000E+00   0.00000E+00       0.85      19.03     0.0000  0.00   0.55335-321   0.32855-319     0.3016     0.9407     1.8047     2.6921     3.4781
   2022      2      2   12.00       768.00  -0.41482E+01   0.00000E+00  -0.20281E-10   0.12277E+01   0.34671E+01   0.00000E+00  -0.25416E-02  -0.41482E+01  -0.15096E+03   0.12201E+03   0.28955E+02  -0.26941E+01   0.22615E-01   0.00000E+00   0.00000E+00       0.85      20.99     0.0000  0.00   0.55335-321   0.32855-319     0.2982     0.9322     1.7945     2.6824     3.4671
   2022      2      3   12.00       792.00  -0.41361E+01   0.00000E+00  -0.20221E-10   0.12205E+01   0.34562E+01   0.00000E+00  -0.26903E-02  -0.41361E+01  -0.14317E+03   0.12219E+03   0.20984E+02  -0.26860E+01   0.22349E-01   0.00000E+00   0.00000E+00       0.85      22.86     0.0000  0.00   0.55335-321   0.32855-319     0.2950     0.9240     1.7847     2.6730     3.4562
   2022      2      4   12.00       816.00  -0.44616E+01   0.00000E+00  -0.20398E-10   0.12140E+01   0.34459E+01   0.00000E+00  -0.34377E-02  -0.44615E+01  -0.11303E+03   0.93649E+02   0.19381E+02  -0.26745E+01   0.17249E-01   0.00000E+00   0.00000E+00       0.85      23.76     0.0000  0.00   0.55335-321   0.32855-319     0.2923     0.9167     1.7758     2.6645     3.4459
   2022      2      5   12.00       840.00  -0.68551E+01   0.00000E+00  -0.21007E-10   0.12087E+01   0.34365E+01   0.00000E+00  -0.54361E-02  -0.68551E+01  -0.55165E+02   0.34578E+02   0.20587E+02  -0.26584E+01   0.69225E-02   0.00000E+00   0.00000E+00       0.85      24.87     0.0000  0.00   0.55335-321   0.32855-319     0.2904     0.9107     1.7683     2.6574     3.4365
   2022      2      6   12.00       864.00  -0.14009E+02   0.00000E+00  -0.23080E-10   0.12065E+01   0.34293E+01   0.00000E+00  -0.10280E-01  -0.14009E+02  -0.44325E+02   0.14145E+02   0.30180E+02  -0.26268E+01   0.47617E-02   0.00000E+00   0.00000E+00       0.85      27.43     0.0000  0.00   0.55335-321   0.32855-319     0.2904     0.9079     1.7644     2.6544     3.4293
   2022      2      7   12.00       888.00  -0.21778E+02   0.00000E+00  -0.26827E-10   0.12072E+01   0.34242E+01   0.00000E+00  -0.13741E-01  -0.21778E+02  -0.46592E+02   0.83698E+01   0.38222E+02  -0.25912E+01   0.47537E-02   0.00000E+00   0.00000E+00       0.85      30.50     0.0000  0.00   0.55335-321   0.32855-319     0.2922     0.9085     1.7643     2.6550     3.4242
   2022      2      8   12.00       912.00  -0.21745E+02   0.00000E+00  -0.32202E-10   0.12104E+01   0.34210E+01   0.00000E+00  -0.14575E-01  -0.21745E+02  -0.64923E+02   0.10199E+02   0.54724E+02  -0.25552E+01   0.74150E-02   0.00000E+00   0.00000E+00       0.85      32.23     0.0000  0.00   0.55335-321   0.32855-319     0.2951     0.9118     1.7677     2.6583     3.4210
   2022      2      9   12.00       936.00  -0.21535E+02   0.00000E+00  -0.37207E-10   0.12126E+01   0.34171E+01   0.00000E+00  -0.13463E-01  -0.21531E+02  -0.57899E+02   0.97453E+01   0.48154E+02  -0.25343E+01   0.68692E-02   0.00000E+00   0.00000E+00       0.85      31.71     0.0000  0.00   0.55335-321   0.32855-319     0.2970     0.9147     1.7706     2.6596     3.4171
   2022      2     10   12.00       960.00  -0.17559E+02   0.00000E+00  -0.40074E-10   0.12120E+01   0.34111E+01   0.00000E+00  -0.93146E-02  -0.17559E+02  -0.51434E+02   0.14949E+02   0.36484E+02  -0.25326E+01   0.66582E-02   0.00000E+00   0.00000E+00       0.85      30.43     0.0000  0.00   0.55335-321   0.32855-319     0.2968     0.9148     1.7705     2.6567     3.4111
   2022      2     11   12.00       984.00  -0.10608E+02   0.00000E+00  -0.40861E-10   0.12090E+01   0.34035E+01   0.00000E+00  -0.67531E-02  -0.10608E+02  -0.66395E+02   0.42307E+02   0.24088E+02  -0.25350E+01   0.11660E-01   0.00000E+00   0.00000E+00       0.85      29.28     0.0000  0.00   0.55335-321   0.32855-319     0.2950     0.9123     1.7674     2.6506     3.4035
   2022      2     12   12.00      1008.00  -0.76768E+01   0.00000E+00  -0.40057E-10   0.12042E+01   0.33946E+01   0.00000E+00  -0.46886E-02  -0.76768E+01  -0.72689E+02   0.51808E+02   0.20882E+02  -0.25402E+01   0.11853E-01   0.00000E+00   0.00000E+00       0.85      34.74     0.0000  0.00   0.55335-321   0.32855-319     0.2922     0.9078     1.7619     2.6424     3.3946
   2022      2     13   12.00      1032.00  -0.92139E+01   0.00000E+00  -0.39222E-10   0.11996E+01   0.33860E+01   0.00000E+00  -0.53844E-02  -0.92139E+01  -0.70553E+02   0.38350E+02   0.32203E+02  -0.25364E+01   0.92772E-02   0.00000E+00   0.00000E+00       0.85      46.91     0.0000  0.00   0.55335-321   0.32855-319     0.2898     0.9032     1.7561     2.6349     3.3860
   2022      2     14   12.00      1056.00  -0.10190E+02   0.00000E+00  -0.39318E-10   0.11960E+01   0.33782E+01   0.00000E+00  -0.59053E-02  -0.10190E+02  -0.74027E+02   0.36834E+02   0.37193E+02  -0.25260E+01   0.94127E-02   0.00000E+00   0.00000E+00       0.85      54.14     0.0000  0.00   0.55335-321   0.32855-319     0.2884     0.8996     1.7514     2.6290     3.3782
   2022      2     15   12.00      1080.00  -0.79340E+01   0.00000E+00  -0.39226E-10   0.11923E+01   0.33702E+01   0.00000E+00  -0.46922E-02  -0.79340E+01  -0.84400E+02   0.53937E+02   0.30464E+02  -0.25208E+01   0.12190E-01   0.00000E+00   0.00000E+00       0.85      51.98     0.0000  0.00   0.55335-321   0.32855-319     0.2868     0.8959     1.7465     2.6228     3.3702
   2022      2     16   12.00      1104.00  -0.53725E+01   0.00000E+00  -0.38219E-10   0.11875E+01   0.33615E+01   0.00000E+00  -0.29223E-02  -0.53725E+01  -0.97493E+02   0.76583E+02   0.20910E+02  -0.25212E+01   0.14512E-01   0.00000E+00   0.00000E+00       0.85      47.38     0.0000  0.00   0.55335-321   0.32855-319     0.2845     0.8911     1.7403     2.6151     3.3615
   2022      2     17   12.00      1128.00  -0.41609E+01   0.00000E+00  -0.35813E-10   0.11809E+01   0.33515E+01   0.00000E+00  -0.25977E-03  -0.41606E+01  -0.95170E+02   0.84687E+02   0.10483E+02  -0.25288E+01   0.14903E-01   0.00000E+00   0.00000E+00       0.85      47.04     0.0000  0.00   0.55335-321   0.32855-319     0.2811     0.8845     1.7320     2.6051     3.3515
   2022      2     18   12.00      1152.00  -0.51487E+01   0.00000E+00  -0.33354E-10   0.11742E+01   0.33412E+01   0.00000E+00  -0.23684E-02  -0.51483E+01  -0.89407E+02   0.69870E+02   0.19536E+02  -0.25261E+01   0.13924E-01   0.00000E+00   0.00000E+00       0.85      46.49     0.0000  0.00   0.55335-321   0.32855-319     0.2778     0.8774     1.7231     2.5951     3.3412
   2022      2     19   12.00      1176.00  -0.54970E+01   0.00000E+00  -0.33347E-10   0.11704E+01   0.33331E+01   0.00000E+00  -0.29009E-02  -0.54969E+01  -0.10553E+03   0.75196E+02   0.30329E+02  -0.25098E+01   0.14279E-01   0.00000E+00   0.00000E+00       0.85      46.01     0.0000  0.00   0.55335-321   0.32855-319     0.2767     0.8734     1.7176     2.5894     3.3331
   2022      2     20   12.00      1200.00  -0.13871E+01   0.00000E+00  -0.31990E-10   0.11648E+01   0.33237E+01   0.00000E+00  -0.50849E-03  -0.13871E+01  -0.13366E+03   0.94760E+02   0.38900E+02  -0.25128E+01   0.16283E-01   0.00000E+00   0.00000E+00       0.85      46.67     0.0000  0.00   0.55335-321   0.32855-319     0.2742     0.8677     1.7102     2.5808     3.3237
   2022      2     21   12.00      1224.00   0.33639E+01   0.00000E+00  -0.25304E-10   0.11514E+01   0.33084E+01   0.00000E+00   0.11161E-04   0.33631E+01  -0.16861E+03   0.10559E+03   0.63023E+02  -0.25805E+01   0.16773E-01   0.00000E+00   0.00000E+00       0.85      47.40     0.0000  0.00   0.55335-321   0.32855-319     0.2663     0.8544     1.6939     2.5607     3.3084
   2022      2     22   12.00      1248.00   0.51731E+01   0.00000E+00  -0.65733E-11   0.11118E+01   0.32736E+01   0.00000E+00   0.27622E-04   0.51707E+01  -0.17429E+03   0.10890E+03   0.65389E+02  -0.27803E+01   0.14903E-01   0.00000E+00   0.00000E+00       0.85      45.50     0.0000  0.00   0.55335-321   0.32855-319     0.2427     0.8137     1.6456     2.5040     3.2736
   2022      2     23   12.00      1272.00   0.51380E+01   0.00000E+00  -0.50320E-15   0.10763E+01   0.32537E+01   0.00000E+00   0.10844E+00   0.52507E+01  -0.14531E+03   0.87943E+02   0.57368E+02  -0.29444E+01   0.11602E-01   0.00000E+00   0.00000E+00       0.85      41.46     0.0000  0.00   0.56323-321   0.33359-319     0.2269     0.7747     1.5965     2.4563     3.2537
   2022      2     24   12.00      1296.00   0.28975E+01   0.00000E+00  -0.71591E-16   0.98346E+00   0.33050E+01   0.00000E+00   0.99560E-01   0.55569E+01  -0.22774E+03   0.54498E+02   0.17324E+03  -0.48176E+01   0.14260E-01   0.00000E+00   0.00000E+00       0.62      39.96     0.0000  0.00  -0.74110-322   0.24209-319     0.1982     0.6753     1.4592     2.3115     3.3050
   2022      2     25   12.00      1320.00   0.24794E+00   0.00000E+00  -0.42256E-16   0.10386E+01   0.36654E+01   0.00000E+00   0.24794E+00   0.54743E+01  -0.30707E+03   0.15424E+00   0.30691E+03  -0.65450E+01   0.15883E-01   0.00000E+00   0.00000E+00       0.40      41.46     0.0000  0.00  -0.10869-321   0.22939-319     0.3124     0.7323     1.4366     2.3710     3.6654
   2022      2     26   12.00      1344.00   0.29869E+00   0.00000E+00   0.00000E+00   0.11172E+01   0.39135E+01   0.00000E+00   0.29869E+00   0.54743E+01  -0.26660E+03   0.52019E+01   0.26140E+03  -0.70427E+01   0.14030E-01   0.00000E+00   0.00000E+00       0.40      42.17     0.0000  0.00  -0.10869-321   0.22939-319     0.4153     0.8402     1.4489     2.4598     3.9135
   2022      2     27   12.00      1368.00   0.36511E+00   0.00000E+00  -0.19720E-11   0.11003E+01   0.41282E+01   0.00000E+00   0.36511E+00   0.54743E+01  -0.21622E+03   0.11785E+02   0.20443E+03  -0.80465E+01   0.12074E-01   0.27723E-17   0.23125E-02       0.40      43.18     0.0000  0.00   0.13523E-01  -0.28235E+00     0.3013     0.7689     1.5056     2.5859     4.1282
   2022      2     28   12.00      1392.00   0.19420E+00   0.00000E+00  -0.66580E-11   0.76444E+00   0.42202E+01   0.00000E+00   0.19420E+00   0.54743E+01  -0.11411E+03   0.19696E+02   0.94414E+02  -0.12220E+02   0.72212E-02   0.73878E-14   0.38725E-02       0.40      52.22     0.0000  0.00   0.34315E-01  -0.94646E+00     0.0158     0.0350     1.2276     2.9249     4.2202
   2022      3      1   12.00      1416.00  -0.50390E+00   0.00000E+00  -0.67272E-11   0.83683E+00   0.42193E+01   0.00000E+00  -0.50390E+00   0.54743E+01  -0.58383E+02   0.26195E+02   0.32188E+02  -0.16107E+02   0.46045E-02   0.11234E-12   0.90997E-03       0.40      62.90     0.0000  0.00   0.13329E-01  -0.73191E+00     0.0131     0.0255     1.1267     3.5445     4.2193
   2022      3      2   12.00      1440.00  -0.76481E+00   0.00000E+00  -0.67552E-11   0.98902E+00   0.42077E+01   0.00000E+00  -0.76481E+00   0.54743E+01  -0.60564E+02   0.32853E+02   0.27711E+02  -0.17075E+02   0.50900E-02   0.17613E-10   0.14209E-02       0.40      64.45     0.0000  0.00  -0.37235E-02  -0.89251E+00     0.0139     0.0276     1.4813     4.0208     4.2077
   2022      3      3   12.00      1464.00   0.12741E+00   0.00000E+00   0.10322E+00   0.93805E+00   0.38470E+01   0.00000E+00   0.24198E-01   0.54743E+01  -0.11263E+03   0.44105E+02   0.63983E+02  -0.32428E+02   0.88884E-02   0.11613E-03   0.25785E-01       0.36      58.24     0.0000  0.00  -0.44280E-01  -0.33214E+01     0.1153     0.1427     1.3186     3.5988     3.8421
   2022      3      4   12.00      1488.00   0.18775E+01   0.00000E+00   0.18775E+01   0.17707E+01   0.19051E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.10058E+03   0.33596E+02   0.36221E+02  -0.29123E+02   0.86717E-02   0.49075E-03   0.46917E-01       0.25      54.98     0.0000  0.00   0.85619E-01  -0.64421E+01     1.7863     1.7644     1.7594     1.7622     1.8096
   2022      3      5   12.00      1512.00   0.29782E+01   0.00000E+00   0.29782E+01   0.29649E+01   0.30273E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.76368E+02   0.42587E+02  -0.79944E+01  -0.18245E+02   0.80796E-02   0.33166E-03   0.30711E-01       0.25      57.88     0.0000  0.00   0.23425E+00  -0.13312E+00     2.9660     2.9641     2.9626     2.9658     2.9906
   2022      3      6   12.00      1536.00   0.26231E+01   0.00000E+00   0.26231E+01   0.28600E+01   0.38792E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.34127E+02   0.36325E+02  -0.71227E+02  -0.13893E+02   0.44401E-02   0.32861E-04   0.44608E-02       0.25      63.60     0.0000  0.00   0.53470E-01  -0.18264E+00     2.7041     2.7516     2.9498     3.2121     3.8791
   2022      3      7   12.00      1560.00   0.20984E+01   0.00000E+00   0.20984E+01   0.22434E+01   0.23904E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.59041E+02   0.57700E+02  -0.73361E+02  -0.42344E+02   0.77294E-02   0.40770E-03   0.35284E-01       0.25      68.56     0.0000  0.00  -0.11450E-01  -0.62639E+01     2.2090     2.2416     2.2625     2.2844     2.3884
   2022      3      8   12.00      1584.00   0.25525E+01   0.00000E+00   0.25525E+01   0.25290E+01   0.26101E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.92258E+02   0.46696E+02  -0.26341E+01  -0.25767E+02   0.10091E-01   0.87751E-03   0.80707E-01       0.25      72.07     0.0000  0.00  -0.12980E+00  -0.99387E+01     2.5270     2.5221     2.5304     2.5430     2.5718
   2022      3      9   12.00      1608.00   0.40106E+01   0.00000E+00   0.40106E+01   0.39178E+01   0.40292E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.99480E+02   0.50984E+02   0.22526E+02  -0.15440E+02   0.11850E-01   0.11320E-02   0.15152E+00       0.25      78.94     0.0000  0.00  -0.33395E+00  -0.11782E+02     3.9339     3.9165     3.9051     3.9030     3.9175
