 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10     23   12.00       528.00  -0.98789E-02   0.00000E+00  -0.98789E-02   0.15547E+01   0.33223E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.92307E+01   0.67002E+01  -0.54680E+02   0.19332E+01   0.34845E-02   0.52083E-14   0.58934E-03       0.12      44.50     0.0000  0.00   0.16226E+00   0.10632E+01     0.0187     1.7577     3.2892     3.3210     3.3079
   2000     10     24   12.00       552.00  -0.42166E-01   0.00000E+00  -0.42166E-01   0.15012E+01   0.32853E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.11965E+02   0.83216E+01  -0.62135E+02   0.18107E+01   0.33919E-02   0.69043E-14   0.77419E-03       0.12      44.81     0.0000  0.00   0.15574E+00   0.83627E+00     0.0170     1.6227     3.2498     3.2840     3.2717
   2000     10     25   12.00       576.00  -0.31137E-01   0.00000E+00  -0.31137E-01   0.14695E+01   0.32509E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.14413E+02   0.90604E+01  -0.69508E+02   0.16884E+01   0.32020E-02   0.44764E-14   0.49307E-03       0.12      46.34     0.0000  0.00   0.14294E+00  -0.47691E-01     0.0141     1.5452     3.2093     3.2497     3.2382
   2000     10     26   12.00       600.00  -0.57636E-01   0.00000E+00  -0.57636E-01   0.14256E+01   0.32201E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.22589E+02   0.14661E+02  -0.90117E+02   0.15660E+01   0.39250E-02   0.11519E-13   0.12100E-02       0.12      49.20     0.0000  0.00   0.19366E+00  -0.18373E+01     0.0177     1.4301     3.1709     3.2190     3.2082
   2000     10     27   12.00       624.00  -0.15607E+01   0.00000E+00  -0.66094E-08   0.13405E+01   0.31837E+01   0.00000E+00  -0.15607E+01   0.00000E+00   0.32319E+02   0.21779E+02  -0.10699E+03   0.17261E+01   0.63054E-02   0.33734E-12   0.40485E-02       0.40      50.79     0.0000  0.00   0.20813E+00  -0.23728E+01     0.0248     1.0971     3.1427     3.1826     3.1713
   2000     10     28   12.00       648.00  -0.23886E+01   0.00000E+00  -0.66723E-08   0.12218E+01   0.31478E+01   0.00000E+00  -0.23886E+01   0.00000E+00   0.37477E+02   0.26049E+02  -0.11642E+03   0.16438E+01   0.74639E-02   0.24300E-11   0.32048E-02       0.40      50.32     0.0000  0.00   0.21353E+00  -0.25973E+01     0.0226     0.6246     3.0791     3.1467     3.1360
   2000     10     29   12.00       672.00  -0.32482E+01   0.00000E+00  -0.67850E-08   0.11456E+01   0.31084E+01   0.00000E+00  -0.32482E+01   0.00000E+00   0.37651E+02   0.23559E+02  -0.11410E+03   0.15394E+01   0.83151E-02   0.73380E-12   0.48790E-02       0.40      48.31     0.0000  0.00   0.18561E+00  -0.20539E+01     0.0240     0.4080     2.9698     3.1074     3.0972
   2000     10     30   12.00       696.00  -0.38558E+01   0.00000E+00  -0.69178E-08   0.11268E+01   0.30633E+01   0.00000E+00  -0.38558E+01   0.00000E+00   0.32509E+02   0.20300E+02  -0.10570E+03   0.13948E+01   0.79413E-02   0.43962E-14   0.20842E-02       0.40      46.87     0.0000  0.00   0.85039E-01  -0.80207E+00     0.0177     0.4827     2.8629     3.0624     3.0528
   2000     10     31   12.00       720.00  -0.43336E+01   0.00000E+00  -0.84776E-08   0.12337E+01   0.30129E+01   0.00000E+00  -0.43336E+01   0.00000E+00   0.28442E+02   0.17756E+02  -0.99092E+02   0.12516E+01   0.79378E-02   0.69791E-23   0.26665E-09       0.40      45.18     0.0000  0.00  -0.58242E-08  -0.57130E-06     0.1657     0.7807     2.7985     3.0120     3.0033
   2000     11      1   12.00       744.00  -0.46663E+01   0.00000E+00  -0.11245E-07   0.13812E+01   0.29590E+01   0.00000E+00  -0.46663E+01   0.00000E+00   0.25993E+02   0.16033E+02  -0.94920E+02   0.11211E+01   0.80351E-02   0.95300E-38   0.23962E-26       0.40      43.08     0.0000  0.00  -0.51986E-25  -0.48813E-23     0.4252     1.0311     2.7543     2.9582     2.9502
