 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      2      9   12.00       936.00  -0.30352E+02   0.00000E+00  -0.36430E-10   0.12163E+01   0.34244E+01   0.00000E+00  -0.87890E-02  -0.30352E+02  -0.24148E+02   0.15869E+00   0.23989E+02  -0.25645E+01   0.71121E-02   0.00000E+00   0.00000E+00       0.85      31.71     0.0000  0.00   0.55335-321   0.32855-319     0.2960     0.9192     1.7787     2.6639     3.4244
   2022      2     10   12.00       960.00  -0.25903E+02   0.00000E+00  -0.38997E-10   0.12145E+01   0.34176E+01   0.00000E+00  -0.79186E-02  -0.25903E+02  -0.13454E+02   0.15330E+01   0.11921E+02  -0.25516E+01   0.69473E-02   0.00000E+00   0.00000E+00       0.85      30.43     0.0000  0.00   0.55335-321   0.32855-319     0.2956     0.9175     1.7762     2.6604     3.4176
   2022      2     11   12.00       984.00  -0.19081E+02   0.00000E+00  -0.40429E-10   0.12115E+01   0.34100E+01   0.00000E+00  -0.61442E-02  -0.19081E+02   0.10682E+01   0.41130E+01  -0.51811E+01  -0.25461E+01   0.11922E-01   0.00000E+00   0.00000E+00       0.85      29.28     0.0000  0.00   0.55335-321   0.32855-319     0.2944     0.9147     1.7725     2.6551     3.4100
   2022      2     12   12.00      1008.00  -0.15705E+02   0.00000E+00  -0.40461E-10   0.12071E+01   0.34014E+01   0.00000E+00  -0.45450E-02  -0.15705E+02   0.48643E+01   0.50755E+01  -0.99398E+01  -0.25456E+01   0.12113E-01   0.00000E+00   0.00000E+00       0.85      34.74     0.0000  0.00   0.55335-321   0.32855-319     0.2922     0.9103     1.7670     2.6478     3.4014
   2022      2     13   12.00      1032.00  -0.17173E+02   0.00000E+00  -0.39971E-10   0.12023E+01   0.33924E+01   0.00000E+00  -0.43626E-02  -0.17173E+02  -0.74244E+01   0.51127E+01   0.23117E+01  -0.25420E+01   0.95231E-02   0.00000E+00   0.00000E+00       0.85      46.91     0.0000  0.00   0.55335-321   0.32855-319     0.2899     0.9055     1.7609     2.6402     3.3924
   2022      2     14   12.00      1056.00  -0.18293E+02   0.00000E+00  -0.39885E-10   0.11981E+01   0.33840E+01   0.00000E+00  -0.48021E-02  -0.18293E+02  -0.12668E+02   0.55125E+01   0.71554E+01  -0.25335E+01   0.96601E-02   0.00000E+00   0.00000E+00       0.85      54.14     0.0000  0.00   0.55335-321   0.32855-319     0.2881     0.9011     1.7553     2.6335     3.3840
   2022      2     15   12.00      1080.00  -0.16041E+02   0.00000E+00  -0.40035E-10   0.11941E+01   0.33757E+01   0.00000E+00  -0.45444E-02  -0.16041E+02  -0.61934E+01   0.65094E+01  -0.31595E+00  -0.25251E+01   0.12456E-01   0.00000E+00   0.00000E+00       0.85      51.98     0.0000  0.00   0.55335-321   0.32855-319     0.2865     0.8972     1.7500     2.6272     3.3757
   2022      2     16   12.00      1104.00  -0.13329E+02   0.00000E+00  -0.39794E-10   0.11899E+01   0.33672E+01   0.00000E+00  -0.37513E-02  -0.13329E+02  -0.19799E+01   0.10437E+02  -0.84568E+01  -0.25202E+01   0.14799E-01   0.00000E+00   0.00000E+00       0.85      47.38     0.0000  0.00   0.55335-321   0.32855-319     0.2847     0.8929     1.7444     2.6203     3.3672
   2022      2     17   12.00      1128.00  -0.12371E+02   0.00000E+00  -0.39162E-10   0.11852E+01   0.33585E+01   0.00000E+00  -0.32840E-02  -0.12371E+02  -0.17078E+01   0.86478E+01  -0.69400E+01  -0.25161E+01   0.15198E-01   0.00000E+00   0.00000E+00       0.85      47.04     0.0000  0.00   0.55335-321   0.32855-319     0.2827     0.8882     1.7382     2.6130     3.3585
   2022      2     18   12.00      1152.00  -0.13267E+02   0.00000E+00  -0.38532E-10   0.11807E+01   0.33498E+01   0.00000E+00  -0.32955E-02  -0.13267E+02  -0.35830E+00   0.33687E+01  -0.30104E+01  -0.25103E+01   0.14206E-01   0.00000E+00   0.00000E+00       0.85      46.49     0.0000  0.00   0.55335-321   0.32855-319     0.2808     0.8836     1.7321     2.6057     3.3498
