 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2003      1     23   12.00       528.00  -0.16850E+02   0.00000E+00  -0.87482E-07   0.55773E-01   0.14360E+01   0.00000E+00  -0.46568E-02  -0.16851E+02  -0.68819E+01  -0.13535E+02  -0.10837E+03  -0.14310E+02   0.56392E-02   0.51587-161  -0.96977-139       0.85       2.68     0.0000  0.00   0.40780-137   0.12970-135     0.0079     0.0276     0.0884     0.3523     1.4360
   2003      1     24   12.00       552.00  -0.15987E+02   0.00000E+00  -0.85904E-07   0.56584E-01   0.14232E+01   0.00000E+00  -0.45190E-02  -0.15987E+02  -0.13062E+02  -0.94037E+01  -0.10632E+03  -0.14145E+02   0.56935E-02   0.00000E+00   0.99954-146       0.85       3.12     0.0000  0.00  -0.10761-143   0.31798-143     0.0081     0.0284     0.0900     0.3524     1.4232
   2003      1     25   12.00       576.00  -0.17111E+02   0.00000E+00  -0.84381E-07   0.57380E-01   0.14111E+01   0.00000E+00  -0.44166E-02  -0.17110E+02  -0.14459E+02  -0.42856E+01  -0.11004E+03  -0.13980E+02   0.56808E-02   0.00000E+00   0.11456-152       0.85       3.54     0.0000  0.00   0.15152-151  -0.31334-149     0.0083     0.0291     0.0915     0.3526     1.4111
   2003      1     26   12.00       600.00  -0.22182E+02   0.00000E+00  -0.83252E-07   0.58187E-01   0.14000E+01   0.00000E+00  -0.54490E-02  -0.22182E+02  -0.11391E+02  -0.25974E+01  -0.11479E+03  -0.13812E+02   0.41215E-02   0.00000E+00  -0.32858-159       0.85       4.29     0.0000  0.00   0.21986-157   0.23364-156     0.0085     0.0299     0.0930     0.3531     1.4000
   2003      1     27   12.00       624.00  -0.27273E+02   0.00000E+00  -0.82890E-07   0.59024E-01   0.13898E+01   0.00000E+00  -0.64491E-02  -0.27271E+02  -0.10610E+02  -0.22015E+01  -0.11597E+03  -0.13646E+02   0.46305E-02   0.00000E+00   0.67777-167       0.85       4.97     0.0000  0.00  -0.24472-164   0.45533-163     0.0087     0.0307     0.0946     0.3539     1.3898
   2003      1     28   12.00       648.00  -0.27764E+02   0.00000E+00  -0.82903E-07   0.59862E-01   0.13801E+01   0.00000E+00  -0.63681E-02  -0.27763E+02  -0.99434E+01  -0.35331E+01  -0.11531E+03  -0.13493E+02   0.62009E-02   0.00000E+00   0.64386-173       0.85       5.55     0.0000  0.00  -0.23919-171  -0.94097-170     0.0089     0.0315     0.0961     0.3546     1.3801
   2003      1     29   12.00       672.00  -0.25346E+02   0.00000E+00  -0.82696E-07   0.60664E-01   0.13703E+01   0.00000E+00  -0.56565E-02  -0.25346E+02  -0.93036E+01  -0.64370E+01  -0.11304E+03  -0.13353E+02   0.69086E-02   0.00000E+00  -0.76380-180       0.85       6.52     0.0000  0.00   0.75580-178  -0.75665-178     0.0091     0.0322     0.0975     0.3551     1.3703
   2003      1     30   12.00       696.00  -0.25969E+02   0.00000E+00  -0.82154E-07   0.61425E-01   0.13606E+01   0.00000E+00  -0.51595E-02  -0.25968E+02  -0.10978E+02  -0.71442E+01  -0.11066E+03  -0.13220E+02   0.71955E-02   0.00000E+00  -0.65296-187       0.85       7.32     0.0000  0.00  -0.21148-185   0.21013-183     0.0093     0.0330     0.0989     0.3554     1.3606
   2003      1     31   12.00       720.00  -0.27400E+02   0.00000E+00  -0.81591E-07   0.62171E-01   0.13512E+01   0.00000E+00  -0.53112E-02  -0.27400E+02  -0.59376E+01  -0.76495E+01  -0.11519E+03  -0.13087E+02   0.72165E-02   0.00000E+00   0.22813-193       0.85       7.87     0.0000  0.00  -0.14315-191  -0.18610-190     0.0095     0.0337     0.1003     0.3556     1.3512
   2003      2      1   12.00       744.00  -0.27001E+02   0.00000E+00  -0.81146E-07   0.62909E-01   0.13422E+01   0.00000E+00  -0.51438E-02  -0.27001E+02  -0.85547E+01  -0.69763E+01  -0.11325E+03  -0.12959E+02   0.76944E-02   0.00000E+00  -0.78346-201       0.85       9.27     0.0000  0.00   0.18365-198  -0.27573-197     0.0098     0.0345     0.1016     0.3559     1.3422
   2003      2      2   12.00       768.00  -0.26768E+02   0.00000E+00  -0.80609E-07   0.63626E-01   0.13334E+01   0.00000E+00  -0.48801E-02  -0.26762E+02  -0.29522E+02  -0.30017E+01  -0.96258E+02  -0.12836E+02   0.91824E-02   0.00000E+00  -0.41836-207       0.85      10.97     0.0000  0.00   0.13293-205   0.66854-204     0.0100     0.0352     0.1029     0.3561     1.3334
   2003      2      3   12.00       792.00  -0.27615E+02   0.00000E+00  -0.80015E-07   0.64324E-01   0.13247E+01   0.00000E+00  -0.47237E-02  -0.27613E+02  -0.43535E+02  -0.60959E+00  -0.84637E+02  -0.12717E+02   0.10580E-01   0.00000E+00   0.57320-214       0.85      12.13     0.0000  0.00  -0.52625-212  -0.46993-212     0.0102     0.0360     0.1041     0.3562     1.3247
   2003      2      4   12.00       816.00  -0.30323E+02   0.00000E+00  -0.79420E-07   0.65008E-01   0.13164E+01   0.00000E+00  -0.47327E-02  -0.30323E+02  -0.36903E+02  -0.60623E+00  -0.91272E+02  -0.12601E+02   0.94582E-02   0.00000E+00   0.35484-221       0.85      12.81     0.0000  0.00   0.21921-219  -0.14055-217     0.0104     0.0367     0.1054     0.3563     1.3164
   2003      2      5   12.00       840.00  -0.30594E+02   0.00000E+00  -0.79045E-07   0.65695E-01   0.13084E+01   0.00000E+00  -0.49712E-02  -0.30593E+02  -0.25275E+02  -0.10230E+01  -0.10248E+03  -0.12486E+02   0.74417E-02   0.00000E+00  -0.15864-227       0.85      13.63     0.0000  0.00   0.93074-226   0.14577-224     0.0106     0.0374     0.1066     0.3565     1.3084
   2003      2      6   12.00       864.00  -0.30021E+02   0.00000E+00  -0.78657E-07   0.66366E-01   0.13006E+01   0.00000E+00  -0.46145E-02  -0.30021E+02  -0.27516E+02  -0.92753E+00  -0.10034E+03  -0.12378E+02   0.70681E-02   0.00000E+00   0.75949-235       0.85      15.29     0.0000  0.00  -0.13722-232   0.16424-231     0.0108     0.0381     0.1077     0.3566     1.3006
   2003      2      7   12.00       888.00  -0.32437E+02   0.00000E+00  -0.78190E-07   0.67018E-01   0.12929E+01   0.00000E+00  -0.45957E-02  -0.32430E+02  -0.34777E+02  -0.86463E+00  -0.93141E+02  -0.12272E+02   0.81310E-02   0.00000E+00   0.27076-241       0.85      16.98     0.0000  0.00  -0.69463-240  -0.47459-238     0.0110     0.0388     0.1089     0.3566     1.2929
   2003      2      8   12.00       912.00  -0.33532E+02   0.00000E+00  -0.77812E-07   0.67665E-01   0.12855E+01   0.00000E+00  -0.45850E-02  -0.33531E+02  -0.37418E+02  -0.76827E+00  -0.90596E+02  -0.12169E+02   0.95588E-02   0.00000E+00  -0.42611-248       0.85      18.24     0.0000  0.00   0.36494-246   0.10127-245     0.0112     0.0395     0.1100     0.3567     1.2855
   2003      2      9   12.00       936.00  -0.33411E+02   0.00000E+00  -0.77413E-07   0.68299E-01   0.12782E+01   0.00000E+00  -0.44177E-02  -0.33411E+02  -0.30356E+02  -0.93950E+00  -0.97486E+02  -0.12069E+02   0.86079E-02   0.00000E+00  -0.17669-255       0.85      18.74     0.0000  0.00  -0.20128-253   0.93255-252     0.0115     0.0402     0.1111     0.3568     1.2782
   2003      2     10   12.00       960.00  -0.36075E+02   0.00000E+00  -0.77012E-07   0.68922E-01   0.12711E+01   0.00000E+00  -0.44421E-02  -0.36075E+02  -0.18933E+02  -0.11412E+01  -0.10871E+03  -0.11972E+02   0.60427E-02   0.00000E+00   0.10959-261       0.85      19.55     0.0000  0.00  -0.59832-260  -0.11200-258     0.0117     0.0409     0.1121     0.3568     1.2711
   2003      2     11   12.00       984.00  -0.38717E+02   0.00000E+00  -0.76766E-07   0.69545E-01   0.12643E+01   0.00000E+00  -0.46762E-02  -0.38715E+02  -0.16302E+02  -0.11968E+01  -0.11128E+03  -0.11875E+02   0.52729E-02   0.00000E+00  -0.67377-269       0.85      21.08     0.0000  0.00   0.10146-266  -0.94501-266     0.0119     0.0416     0.1132     0.3568     1.2643
   2003      2     12   12.00      1008.00  -0.32998E+02   0.00000E+00  -0.76635E-07   0.70164E-01   0.12577E+01   0.00000E+00  -0.44907E-02  -0.32997E+02  -0.85380E+01  -0.19208E+01  -0.11832E+03  -0.11782E+02   0.60316E-02   0.00000E+00  -0.17285-275       0.85      20.86     0.0000  0.00   0.32001-274   0.33413-272     0.0121     0.0423     0.1142     0.3569     1.2577
   2003      2     13   12.00      1032.00  -0.26526E+02   0.00000E+00  -0.76143E-07   0.70745E-01   0.12509E+01   0.00000E+00  -0.36213E-02  -0.26527E+02  -0.52426E+01  -0.21390E+01  -0.12140E+03  -0.11698E+02   0.50380E-02   0.00000E+00   0.31289-282       0.85      20.82     0.0000  0.00  -0.25099-280  -0.11732-279     0.0123     0.0430     0.1152     0.3568     1.2509
   2003      2     14   12.00      1056.00  -0.27587E+02   0.00000E+00  -0.75253E-07   0.71288E-01   0.12441E+01   0.00000E+00  -0.31887E-02  -0.27587E+02  -0.13530E+02  -0.35124E+01  -0.11174E+03  -0.11616E+02   0.50476E-02   0.00000E+00   0.73567-290       0.85      23.77     0.0000  0.00   0.17319-287  -0.61413-286     0.0125     0.0436     0.1161     0.3565     1.2441
   2003      2     15   12.00      1080.00  -0.30683E+02   0.00000E+00  -0.74335E-07   0.71822E-01   0.12375E+01   0.00000E+00  -0.32602E-02  -0.30675E+02  -0.20521E+02  -0.36215E+01  -0.10464E+03  -0.11532E+02   0.62341E-02   0.00000E+00  -0.75563-296       0.85      26.61     0.0000  0.00   0.38121-294   0.85194-293     0.0127     0.0442     0.1170     0.3562     1.2375
   2003      2     16   12.00      1104.00  -0.32868E+02   0.00000E+00  -0.73574E-07   0.72358E-01   0.12312E+01   0.00000E+00  -0.34115E-02  -0.32868E+02  -0.23183E+02  -0.25117E+01  -0.10309E+03  -0.11447E+02   0.61909E-02   0.00000E+00   0.57121-303       0.85      28.82     0.0000  0.00  -0.74871-301   0.51933-300     0.0129     0.0449     0.1179     0.3560     1.2312
   2003      2     17   12.00      1128.00  -0.33956E+02   0.00000E+00  -0.73005E-07   0.72898E-01   0.12252E+01   0.00000E+00  -0.35890E-02  -0.33956E+02  -0.25258E+02  -0.21079E+01  -0.10142E+03  -0.11364E+02   0.66437E-02   0.00000E+00   0.10999-309       0.85      31.72     0.0000  0.00  -0.10884-308  -0.23666-306     0.0132     0.0455     0.1188     0.3560     1.2252
   2003      2     18   12.00      1152.00  -0.33333E+02   0.00000E+00  -0.72525E-07   0.73433E-01   0.12193E+01   0.00000E+00  -0.35156E-02  -0.33333E+02  -0.26015E+02  -0.19840E+01  -0.10078E+03  -0.11284E+02   0.67449E-02   0.00000E+00  -0.23122-316       0.85      32.72     0.0000  0.00   0.17404-314   0.11549-313     0.0134     0.0461     0.1197     0.3559     1.2193
   2003      2     19   12.00      1176.00  -0.32294E+02   0.00000E+00  -0.72020E-07   0.73957E-01   0.12134E+01   0.00000E+00  -0.33735E-02  -0.32293E+02  -0.19818E+02  -0.15014E+01  -0.10746E+03  -0.11206E+02   0.45898E-02   0.00000E+00  -0.20751-321       0.85      32.16     0.0000  0.00  -0.29565-319   0.47781-318     0.0136     0.0467     0.1206     0.3557     1.2134
   2003      2     20   12.00      1200.00  -0.32905E+02   0.00000E+00  -0.71455E-07   0.74466E-01   0.12077E+01   0.00000E+00  -0.32568E-02  -0.32905E+02  -0.15255E+02  -0.11253E+01  -0.11240E+03  -0.11132E+02   0.39504E-02   0.00000E+00  -0.24703-321       0.85      34.93     0.0000  0.00  -0.26966-319   0.46805-318     0.0138     0.0473     0.1214     0.3556     1.2077
   2003      2     21   12.00      1224.00  -0.29294E+02   0.00000E+00  -0.70904E-07   0.74968E-01   0.12021E+01   0.00000E+00  -0.31907E-02  -0.29296E+02  -0.15566E+02  -0.24187E+01  -0.11080E+03  -0.11058E+02   0.68863E-02   0.00000E+00  -0.24703-321       0.85      34.67     0.0000  0.00  -0.26966-319   0.46805-318     0.0140     0.0479     0.1222     0.3554     1.2021
   2003      2     22   12.00      1248.00  -0.20060E+02   0.00000E+00  -0.70226E-07   0.75450E-01   0.11964E+01   0.00000E+00  -0.26763E-02  -0.20059E+02  -0.83106E+01  -0.77845E+01  -0.11269E+03  -0.10988E+02   0.95907E-02   0.00000E+00  -0.24703-321       0.85      29.11     0.0000  0.00  -0.26966-319   0.46805-318     0.0142     0.0485     0.1230     0.3552     1.1964
   2003      2     23   12.00      1272.00  -0.14242E+02   0.00000E+00  -0.69181E-07   0.75895E-01   0.11907E+01   0.00000E+00  -0.20006E-02  -0.14241E+02  -0.72948E+00  -0.13098E+02  -0.11495E+03  -0.10923E+02   0.93662E-02   0.00000E+00  -0.24703-321       0.85      27.08     0.0000  0.00  -0.26966-319   0.46805-318     0.0144     0.0491     0.1237     0.3547     1.1907
   2003      2     24   12.00      1296.00  -0.14065E+02   0.00000E+00  -0.67810E-07   0.76307E-01   0.11849E+01   0.00000E+00  -0.15397E-02  -0.14065E+02  -0.18692E+01  -0.11339E+02  -0.11557E+03  -0.10858E+02   0.55601E-02   0.00000E+00  -0.24703-321       0.85      30.48     0.0000  0.00  -0.26966-319   0.46805-318     0.0145     0.0496     0.1244     0.3542     1.1849
   2003      2     25   12.00      1320.00  -0.17427E+02   0.00000E+00  -0.66375E-07   0.76707E-01   0.11792E+01   0.00000E+00  -0.15114E-02  -0.17427E+02  -0.10954E+02  -0.71280E+01  -0.11070E+03  -0.10792E+02   0.27888E-02   0.00000E+00  -0.24703-321       0.85      38.10     0.0000  0.00  -0.26966-319   0.46805-318     0.0147     0.0501     0.1250     0.3537     1.1792
   2003      2     26   12.00      1344.00  -0.21352E+02   0.00000E+00  -0.65131E-07   0.77113E-01   0.11739E+01   0.00000E+00  -0.17581E-02  -0.21350E+02  -0.19091E+02  -0.97008E+01  -0.99990E+02  -0.10724E+02   0.39595E-02   0.00000E+00  -0.24703-321       0.85      47.41     0.0000  0.00  -0.26966-319   0.46805-318     0.0149     0.0507     0.1257     0.3534     1.1739
   2003      2     27   12.00      1368.00  -0.23987E+02   0.00000E+00  -0.64156E-07   0.77530E-01   0.11688E+01   0.00000E+00  -0.20891E-02  -0.23987E+02  -0.20203E+02  -0.10071E+02  -0.98508E+02  -0.10655E+02   0.56208E-02   0.00000E+00  -0.24703-321       0.85      49.22     0.0000  0.00  -0.26966-319   0.46805-318     0.0151     0.0512     0.1264     0.3531     1.1688
   2003      2     28   12.00      1392.00  -0.23881E+02   0.00000E+00  -0.63417E-07   0.77955E-01   0.11639E+01   0.00000E+00  -0.22300E-02  -0.23880E+02  -0.18229E+02  -0.85691E+01  -0.10198E+03  -0.10589E+02   0.66482E-02   0.00000E+00  -0.24703-321       0.85      47.61     0.0000  0.00  -0.26966-319   0.46805-318     0.0153     0.0517     0.1270     0.3529     1.1639
   2003      3      1   12.00      1416.00  -0.22302E+02   0.00000E+00  -0.62753E-07   0.78375E-01   0.11591E+01   0.00000E+00  -0.22053E-02  -0.22302E+02  -0.16696E+02  -0.70501E+01  -0.10504E+03  -0.10525E+02   0.65859E-02   0.00000E+00  -0.24703-321       0.85      47.82     0.0000  0.00  -0.26966-319   0.46805-318     0.0155     0.0522     0.1277     0.3527     1.1591
   2003      3      2   12.00      1440.00  -0.21734E+02   0.00000E+00  -0.62068E-07   0.78784E-01   0.11543E+01   0.00000E+00  -0.20301E-02  -0.21732E+02  -0.13437E+02  -0.46479E+01  -0.11070E+03  -0.10464E+02   0.59722E-02   0.00000E+00  -0.24703-321       0.85      48.61     0.0000  0.00  -0.26966-319   0.46805-318     0.0156     0.0527     0.1283     0.3525     1.1543
   2003      3      3   12.00      1464.00  -0.24038E+02   0.00000E+00  -0.61352E-07   0.79183E-01   0.11496E+01   0.00000E+00  -0.19835E-02  -0.24037E+02  -0.16467E+02  -0.49098E+01  -0.10741E+03  -0.10404E+02   0.48674E-02   0.00000E+00  -0.24703-321       0.85      56.34     0.0000  0.00  -0.26966-319   0.46805-318     0.0158     0.0532     0.1289     0.3522     1.1496
