   2022      1     19   12.00       432.00  -0.11771E+02   0.00000E+00  -0.10725E-07   0.18648E+01   0.32219E+01   0.00000E+00  -0.11676E-01  -0.11771E+02  -0.88409E+02   0.41049E+02   0.47359E+02  -0.37227E+01   0.12605E-01   0.00000E+00   0.00000E+00       0.85      24.78     0.0000  0.00  -0.29915-280  -0.35346-278     0.9122     2.3196     2.4325     2.4974     3.2219
   2022      1     20   12.00       456.00  -0.12477E+02   0.00000E+00  -0.11314E-07   0.18356E+01   0.32128E+01   0.00000E+00  -0.12187E-01  -0.12477E+02  -0.92741E+02   0.41690E+02   0.51051E+02  -0.36875E+01   0.13522E-01   0.00000E+00   0.00000E+00       0.85      26.06     0.0000  0.00  -0.27570-296  -0.32576-294     0.8936     2.2810     2.4016     2.4709     3.2128
   2022      1     21   12.00       480.00  -0.10293E+02   0.00000E+00  -0.11736E-07   0.18069E+01   0.32053E+01   0.00000E+00  -0.86080E-02  -0.10293E+02  -0.70012E+02   0.43232E+02   0.26780E+02  -0.36176E+01   0.12149E-01   0.00000E+00   0.00000E+00       0.85      23.48     0.0000  0.00  -0.25385-312  -0.29994-310     0.8739     2.2434     2.3722     2.4450     3.2053
   2022      1     22   12.00       504.00  -0.86887E+01   0.00000E+00  -0.11933E-07   0.17784E+01   0.31974E+01   0.00000E+00  -0.57383E-02  -0.86888E+01  -0.56720E+02   0.39059E+02   0.17660E+02  -0.36089E+01   0.93088E-02   0.00000E+00   0.00000E+00       0.85      21.15     0.0000  0.00   0.19269-321  -0.20790-319     0.8532     2.2066     2.3438     2.4201     3.1974
   2022      1     23   12.00       528.00  -0.98472E+01   0.00000E+00  -0.11947E-07   0.17504E+01   0.31859E+01   0.00000E+00  -0.42913E-02  -0.98482E+01  -0.64191E+02   0.23946E+02   0.40245E+02  -0.36104E+01   0.66375E-02   0.00000E+00   0.00000E+00       0.85      23.54     0.0000  0.00  -0.22727-320  -0.27307-319     0.8321     2.1702     2.3165     2.3965     3.1859
   2022      1     24   12.00       552.00  -0.92878E+01   0.00000E+00  -0.11923E-07   0.17233E+01   0.31746E+01   0.00000E+00  -0.39612E-02  -0.92871E+01  -0.87245E+02   0.28452E+02   0.58793E+02  -0.35947E+01   0.81594E-02   0.00000E+00   0.00000E+00       0.85      24.56     0.0000  0.00  -0.27322-320  -0.36259-319     0.8119     2.1349     2.2902     2.3741     3.1746
   2022      1     25   12.00       576.00  -0.84298E+01   0.00000E+00  -0.11864E-07   0.16972E+01   0.31634E+01   0.00000E+00  -0.32894E-02  -0.84298E+01  -0.88447E+02   0.31966E+02   0.56481E+02  -0.35810E+01   0.91812E-02   0.00000E+00   0.00000E+00       0.85      27.21     0.0000  0.00  -0.12154-320  -0.59075-319     0.7925     2.1005     2.2647     2.3526     3.1634
   2022      1     26   12.00       600.00  -0.16131E+02   0.00000E+00  -0.11835E-07   0.16721E+01   0.31526E+01   0.00000E+00  -0.54354E-02  -0.16131E+02  -0.46769E+02   0.13166E+02   0.33603E+02  -0.35589E+01   0.47988E-02   0.00000E+00   0.00000E+00       0.85      38.30     0.0000  0.00   0.10326-320   0.75987-320     0.7743     2.0670     2.2402     2.3321     3.1526
   2022      1     27   12.00       624.00  -0.13658E+02   0.00000E+00  -0.12036E-07   0.16487E+01   0.31437E+01   0.00000E+00  -0.62591E-02  -0.13658E+02  -0.10896E+03   0.35670E+02   0.73292E+02  -0.35227E+01   0.13278E-01   0.00000E+00   0.00000E+00       0.85      50.68     0.0000  0.00   0.28162-320  -0.12129-319     0.7586     2.0351     2.2164     2.3127     3.1437
   2022      1     28   12.00       648.00  -0.14564E+02   0.00000E+00  -0.12191E-07   0.16259E+01   0.31353E+01   0.00000E+00  -0.61800E-02  -0.14564E+02  -0.11959E+03   0.35714E+02   0.83874E+02  -0.34976E+01   0.15339E-01   0.00000E+00   0.00000E+00       0.85      51.81     0.0000  0.00   0.40019-321  -0.58927-319     0.7431     2.0041     2.1932     2.2939     3.1353
   2022      1     29   12.00       672.00  -0.14364E+02   0.00000E+00  -0.12391E-07   0.16040E+01   0.31259E+01   0.00000E+00  -0.67030E-02  -0.14364E+02  -0.11400E+03   0.33390E+02   0.80606E+02  -0.34869E+01   0.13545E-01   0.00000E+00   0.00000E+00       0.85      45.57     0.0000  0.00   0.13686-320  -0.72336-319     0.7284     1.9740     2.1706     2.2762     3.1259
   2022      1     30   12.00       696.00  -0.13442E+02   0.00000E+00  -0.12615E-07   0.15829E+01   0.31165E+01   0.00000E+00  -0.66701E-02  -0.13441E+02  -0.11201E+03   0.33109E+02   0.78897E+02  -0.34712E+01   0.11962E-01   0.00000E+00   0.00000E+00       0.85      42.13     0.0000  0.00   0.55335-321   0.41497-319     0.7144     1.9449     2.1487     2.2591     3.1165
   2022      1     31   12.00       720.00  -0.98342E+01   0.00000E+00  -0.12808E-07   0.15624E+01   0.31067E+01   0.00000E+00  -0.58027E-02  -0.98342E+01  -0.13494E+03   0.63064E+02   0.71877E+02  -0.34590E+01   0.16722E-01   0.00000E+00   0.00000E+00       0.85      37.40     0.0000  0.00  -0.15316-321  -0.41082-319     0.7007     1.9165     2.1274     2.2426     3.1067
   2022      2      1   12.00       744.00  -0.63012E+01   0.00000E+00  -0.12898E-07   0.15421E+01   0.30966E+01   0.00000E+00  -0.46115E-02  -0.63011E+01  -0.15779E+03   0.10690E+03   0.50893E+02  -0.34470E+01   0.22984E-01   0.00000E+00   0.00000E+00       0.85      30.91     0.0000  0.00   0.41502-321   0.25696-319     0.6869     1.8887     2.1066     2.2264     3.0966
   2022      2      2   12.00       768.00  -0.48567E+01   0.00000E+00  -0.12925E-07   0.15223E+01   0.30866E+01   0.00000E+00  -0.43451E-02  -0.48565E+01  -0.16363E+03   0.13338E+03   0.30251E+02  -0.34315E+01   0.26356E-01   0.00000E+00   0.00000E+00       0.85      28.09     0.0000  0.00  -0.13883-320  -0.62203-320     0.6734     1.8614     2.0863     2.2106     3.0866
   2022      2      3   12.00       792.00  -0.49820E+01   0.00000E+00  -0.13007E-07   0.15033E+01   0.30775E+01   0.00000E+00  -0.55277E-02  -0.49820E+01  -0.14919E+03   0.12706E+03   0.22124E+02  -0.34112E+01   0.25072E-01   0.00000E+00   0.00000E+00       0.85      28.73     0.0000  0.00   0.13686-320  -0.25721-319     0.6608     1.8350     2.0665     2.1957     3.0775
   2022      2      4   12.00       816.00  -0.56066E+01   0.00000E+00  -0.13216E-07   0.14853E+01   0.30687E+01   0.00000E+00  -0.69620E-02  -0.56066E+01  -0.10834E+03   0.93759E+02   0.14584E+02  -0.33978E+01   0.19101E-01   0.00000E+00   0.00000E+00       0.85      27.87     0.0000  0.00   0.53359-321  -0.53651-319     0.6493     1.8097     2.0471     2.1817     3.0687
   2022      2      5   12.00       840.00  -0.75559E+01   0.00000E+00  -0.13607E-07   0.14683E+01   0.30606E+01   0.00000E+00  -0.98644E-02  -0.75559E+01  -0.70212E+02   0.55306E+02   0.14907E+02  -0.33797E+01   0.12239E-01   0.00000E+00   0.00000E+00       0.85      31.72     0.0000  0.00   0.49407-321  -0.23508-319     0.6393     1.7856     2.0281     2.1686     3.0606
   2022      2      6   12.00       864.00  -0.11933E+02   0.00000E+00  -0.14383E-07   0.14529E+01   0.30541E+01   0.00000E+00  -0.13704E-01  -0.11933E+02  -0.69779E+02   0.31324E+02   0.38456E+02  -0.33551E+01   0.99101E-02   0.00000E+00   0.00000E+00       0.85      48.98     0.0000  0.00   0.83991-321  -0.57732-319     0.6315     1.7632     2.0098     2.1568     3.0541
   2022      2      7   12.00       888.00  -0.16998E+02   0.00000E+00  -0.15466E-07   0.14387E+01   0.30483E+01   0.00000E+00  -0.16509E-01  -0.16998E+02  -0.79190E+02   0.17987E+02   0.61202E+02  -0.33326E+01   0.89823E-02   0.00000E+00   0.00000E+00       0.85      73.17     0.0000  0.00   0.83991-321  -0.56472-319     0.6251     1.7421     1.9920     2.1458     3.0483
   2022      2      8   12.00       912.00  -0.29626E+02   0.00000E+00  -0.17336E-07   0.14268E+01   0.30453E+01   0.00000E+00  -0.28471E-01  -0.29626E+02  -0.15993E+02   0.15637E+01   0.14429E+02  -0.32930E+01   0.13966E-02   0.00000E+00   0.00000E+00       0.85      85.24     0.0000  0.00   0.83497-321  -0.55642-319     0.6221     1.7235     1.9751     2.1366     3.0453
   2022      2      9   12.00       936.00  -0.18166E+02   0.00000E+00  -0.19977E-07   0.14166E+01   0.30429E+01   0.00000E+00  -0.19324E-01  -0.18166E+02  -0.74101E+02   0.12378E+02   0.61724E+02  -0.32655E+01   0.72396E-02   0.00000E+00   0.00000E+00       0.85      73.27     0.0000  0.00   0.79051-321  -0.50543-319     0.6212     1.7069     1.9586     2.1284     3.0429
   2022      2     10   12.00       960.00  -0.14778E+02   0.00000E+00  -0.21244E-07   0.14031E+01   0.30341E+01   0.00000E+00  -0.13413E-01  -0.14778E+02  -0.59140E+02   0.20270E+02   0.38870E+02  -0.32773E+01   0.72165E-02   0.00000E+00   0.00000E+00       0.85      48.77     0.0000  0.00   0.73616-321  -0.50232-319     0.6134     1.6879     1.9423     2.1170     3.0341
   2022      2     11   12.00       984.00  -0.91497E+01   0.00000E+00  -0.21917E-07   0.13887E+01   0.30237E+01   0.00000E+00  -0.86249E-02  -0.91497E+01  -0.80632E+02   0.59617E+02   0.21014E+02  -0.32849E+01   0.14844E-01   0.00000E+00   0.00000E+00       0.85      33.06     0.0000  0.00   0.53853-321  -0.50232-319     0.6038     1.6682     1.9261     2.1052     3.0237
   2022      2     12   12.00      1008.00  -0.83626E+01   0.00000E+00  -0.22187E-07   0.13740E+01   0.30132E+01   0.00000E+00  -0.79788E-02  -0.83626E+01  -0.66052E+02   0.53495E+02   0.12557E+02  -0.32866E+01   0.12437E-01   0.00000E+00   0.00000E+00       0.85      41.73     0.0000  0.00   0.51383-321  -0.50187-319     0.5934     1.6484     1.9103     2.0935     3.0132
   2022      2     13   12.00      1032.00  -0.96083E+01   0.00000E+00  -0.22573E-07   0.13601E+01   0.30043E+01   0.00000E+00  -0.91199E-02  -0.96083E+01  -0.67825E+02   0.41980E+02   0.25845E+02  -0.32784E+01   0.10065E-01   0.00000E+00   0.00000E+00       0.85      57.65     0.0000  0.00   0.51383-321  -0.47025-319     0.5843     1.6293     1.8948     2.0829     3.0043
   2022      2     14   12.00      1056.00  -0.92203E+01   0.00000E+00  -0.23030E-07   0.13468E+01   0.29956E+01   0.00000E+00  -0.84093E-02  -0.92203E+01  -0.82306E+02   0.46729E+02   0.35576E+02  -0.32689E+01   0.11710E-01   0.00000E+00   0.00000E+00       0.85      59.46     0.0000  0.00   0.51383-321  -0.45528-319     0.5759     1.6107     1.8797     2.0730     2.9956
   2022      2     15   12.00      1080.00  -0.71224E+01   0.00000E+00  -0.23267E-07   0.13334E+01   0.29863E+01   0.00000E+00  -0.68051E-02  -0.71223E+01  -0.95904E+02   0.64201E+02   0.31702E+02  -0.32639E+01   0.14085E-01   0.00000E+00   0.00000E+00       0.85      53.20     0.0000  0.00   0.51383-321  -0.45528-319     0.5670     1.5923     1.8647     2.0629     2.9863
   2022      2     16   12.00      1104.00  -0.55705E+01   0.00000E+00  -0.23355E-07   0.13201E+01   0.29769E+01   0.00000E+00  -0.51019E-02  -0.55705E+01  -0.10222E+03   0.76485E+02   0.25732E+02  -0.32598E+01   0.14365E-01   0.00000E+00   0.00000E+00       0.85      50.67     0.0000  0.00   0.51383-321  -0.45528-319     0.5580     1.5740     1.8500     2.0531     2.9769
   2022      2     17   12.00      1128.00  -0.46388E+01   0.00000E+00  -0.22764E-07   0.13058E+01   0.29654E+01   0.00000E+00  -0.57549E-03  -0.46388E+01  -0.96688E+02   0.78807E+02   0.17881E+02  -0.32661E+01   0.14698E-01   0.00000E+00   0.00000E+00       0.85      51.66     0.0000  0.00   0.51383-321  -0.45528-319     0.5472     1.5548     1.8352     2.0425     2.9654
   2022      2     18   12.00      1152.00  -0.45233E+01   0.00000E+00  -0.22138E-07   0.12918E+01   0.29540E+01   0.00000E+00  -0.29937E-02  -0.45233E+01  -0.93174E+02   0.77211E+02   0.15963E+02  -0.32572E+01   0.14474E-01   0.00000E+00   0.00000E+00       0.85      49.21     0.0000  0.00   0.51383-321  -0.45528-319     0.5369     1.5359     1.8204     2.0321     2.9540
   2022      2     19   12.00      1176.00  -0.39887E+01   0.00000E+00  -0.21823E-07   0.12786E+01   0.29435E+01   0.00000E+00  -0.23958E-02  -0.39886E+01  -0.12251E+03   0.93551E+02   0.28963E+02  -0.32446E+01   0.14877E-01   0.00000E+00   0.00000E+00       0.85      48.22     0.0000  0.00   0.51383-321  -0.45528-319     0.5279     1.5179     1.8059     2.0224     2.9435
   2022      2     20   12.00      1200.00  -0.30181E+00   0.00000E+00  -0.21243E-07   0.12651E+01   0.29325E+01   0.00000E+00  -0.49309E-03  -0.30181E+00  -0.11901E+03   0.75223E+02   0.43791E+02  -0.32409E+01   0.11436E-01   0.00000E+00   0.00000E+00       0.85      47.63     0.0000  0.00   0.51383-321  -0.45528-319     0.5184     1.4996     1.7915     2.0125     2.9325
   2022      2     21   12.00      1224.00   0.38915E+01   0.00000E+00  -0.16369E-07   0.12429E+01   0.29079E+01   0.00000E+00   0.82128E-04   0.38908E+01  -0.16627E+03   0.96105E+02   0.70164E+02  -0.33550E+01   0.15121E-01   0.00000E+00   0.00000E+00       0.85      48.18     0.0000  0.00   0.51383-321  -0.45528-319     0.4943     1.4731     1.7749     1.9943     2.9079
   2022      2     22   12.00      1248.00   0.47711E+01   0.00000E+00  -0.85067E-08   0.12149E+01   0.28957E+01   0.00000E+00   0.28872E-01   0.47703E+01  -0.17785E+03   0.92617E+02   0.85237E+02  -0.35477E+01   0.14509E-01   0.00000E+00   0.00000E+00       0.85      48.01     0.0000  0.00   0.51383-321  -0.45533-319     0.4616     1.4384     1.7574     1.9789     2.8957
   2022      2     23   12.00      1272.00   0.84519E+00   0.00000E+00  -0.10934E-08   0.12193E+01   0.31941E+01   0.00000E+00   0.16229E+00   0.35822E+01  -0.22260E+03   0.14045E+02   0.20856E+03  -0.50139E+01   0.12356E-01   0.00000E+00   0.00000E+00       0.48      43.21     0.0000  0.00   0.56323-321  -0.46501-319     0.4723     1.4130     1.7638     2.0710     3.1941
   2022      2     24   12.00      1296.00   0.34719E+00   0.00000E+00   0.00000E+00   0.12736E+01   0.36517E+01   0.00000E+00   0.34719E+00   0.35177E+01  -0.30983E+03   0.39268E+01   0.30590E+03  -0.57968E+01   0.16446E-01   0.00000E+00   0.00000E+00       0.40      44.87     0.0000  0.00   0.57312-321  -0.46714-319     0.5435     1.4115     1.8106     2.2981     3.6517
   2022      2     25   12.00      1320.00   0.77120E+00   0.00000E+00   0.72754E-01   0.10817E+01   0.38353E+01   0.00000E+00   0.69845E+00   0.35177E+01  -0.30101E+03   0.84403E+01   0.29072E+03  -0.26250E+02   0.16419E-01   0.79599E-04   0.48456E-01       0.37      52.44     0.0000  0.00   0.49208E+00   0.19814E+01     0.3741     1.0768     1.6560     2.3633     3.8209
   2022      2     26   12.00      1344.00   0.20557E+01   0.00000E+00   0.20557E+01   0.17874E+01   0.21204E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.15526E+03   0.17490E+02   0.10749E+03  -0.30660E+02   0.11612E-01   0.57976E-03   0.11826E+00       0.26      59.31     0.0000  0.00   0.14901E+01   0.23656E+02     1.8123     1.7703     1.7635     1.7634     1.7953
   2022      2     27   12.00      1368.00   0.32291E+01   0.00000E+00   0.32291E+01   0.31387E+01   0.32490E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.11427E+03   0.29534E+02   0.45139E+02  -0.15923E+02   0.90784E-02   0.43810E-03   0.49178E-01       0.26      60.79     0.0000  0.00   0.68400E+00   0.23812E+02     3.1496     3.1323     3.1289     3.1281     3.1352
   2022      2     28   12.00      1392.00   0.36369E+01   0.00000E+00   0.36369E+01   0.36639E+01   0.37107E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.59554E+02   0.35200E+02  -0.32136E+02  -0.21967E+02   0.57193E-02   0.52011E-04   0.71870E-02       0.26      71.61     0.0000  0.00   0.39220E+00   0.68716E+01     3.6578     3.6651     3.6685     3.6732     3.7050
   2022      3      1   12.00      1416.00   0.33336E+01   0.00000E+00   0.33336E+01   0.34866E+01   0.40249E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.28919E+02   0.44352E+02  -0.96923E+02  -0.27131E+02   0.46276E-02   0.45313E-06   0.26726E-02       0.26      89.68     0.0000  0.00   0.28541E+00   0.23117E+01     3.4323     3.4874     3.5151     3.6322     4.0249
   2022      3      2   12.00      1440.00   0.27096E+01   0.00000E+00   0.27096E+01   0.29407E+01   0.42800E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.30346E+02   0.50879E+02  -0.10666E+03  -0.30544E+02   0.52385E-02   0.14914E-08   0.41251E-02       0.26      91.15     0.0000  0.00   0.37763E+00  -0.72679E+00     2.8269     2.8855     2.9192     3.6364     4.2800
   2022      3      3   12.00      1464.00   0.26538E+01   0.00000E+00   0.26538E+01   0.27148E+01   0.30820E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.72316E+02   0.55218E+02  -0.45349E+02  -0.45410E+02   0.92722E-02   0.27998E-03   0.55178E-01       0.26      76.54     0.0000  0.00   0.11622E+01   0.18056E+01     2.6906     2.7035     2.7127     2.8574     3.0777
   2022      3      4   12.00      1488.00   0.32330E+01   0.00000E+00   0.32330E+01   0.31920E+01   0.32432E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.96777E+02   0.45043E+02   0.11822E+02  -0.24808E+02   0.10268E-01   0.53493E-03   0.72726E-01       0.25      67.91     0.0000  0.00   0.91661E+00   0.23003E+02     3.1969     3.1886     3.1876     3.1883     3.1990
   2022      3      5   12.00      1512.00   0.37391E+01   0.00000E+00   0.37391E+01   0.37521E+01   0.37857E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.77634E+02   0.53899E+02  -0.26751E+02  -0.23826E+02   0.10339E-01   0.62615E-03   0.79228E-01       0.25      72.28     0.0000  0.00  -0.24378E+00   0.35581E+02     3.7517     3.7520     3.7527     3.7542     3.7640
   2022      3      6   12.00      1536.00   0.34181E+01   0.00000E+00   0.34181E+01   0.35681E+01   0.38359E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.32211E+02   0.50718E+02  -0.94721E+02  -0.29717E+02   0.55794E-02   0.68110E-04   0.92902E-02       0.25      74.79     0.0000  0.00   0.92908E-01   0.86106E+01     3.5296     3.5740     3.5938     3.6456     3.8352
   2022      3      7   12.00      1560.00   0.28283E+01   0.00000E+00   0.28283E+01   0.29631E+01   0.30139E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.52530E+02   0.73472E+02  -0.97003E+02  -0.38668E+02   0.96341E-02   0.30230E-03   0.51126E-01       0.25      74.29     0.0000  0.00   0.12182E+01   0.21183E+01     2.9447     2.9715     2.9788     2.9847     3.0083
   2022      3      8   12.00      1584.00   0.29690E+01   0.00000E+00   0.29690E+01   0.29557E+01   0.30085E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.90438E+02   0.53386E+02  -0.89234E+01  -0.29828E+02   0.11997E-01   0.56967E-03   0.11892E+00       0.25      73.89     0.0000  0.00   0.18175E+01   0.13150E+02     2.9572     2.9539     2.9540     2.9562     2.9723
   2022      3      9   12.00      1608.00   0.37059E+01   0.00000E+00   0.37059E+01   0.36774E+01   0.38678E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.65342E+02   0.27997E+02   0.15115E+02  -0.19311E+02   0.63271E-02   0.24789E-03   0.38375E-01       0.25      70.42     0.0000  0.00   0.28339E-01  -0.50039E+01     3.6842     3.6716     3.6693     3.6852     3.8171
