Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure
Darro R1,D,150,Water,-24.37103108,2326.95811,-73.38785198,23.7992892,36,Gas,101892,2295648,175.3113665,14.25191759,300,150,4.9,185.2749286,2279.047764,0.001852749,0.022790478,0.025856216,7.642277767,0.522941069,6.432644091,0.548797285,14.07492186,Evac,29.24153688,0.089303962,15.16661502,53.92048227,5.35,82.2,8.5,30,726.7
Darro R1,D,180,Water,-24.73175168,2922.257847,-77.0204624,65.39611988,37,Gas,121680,2450155,201.0874584,17.48894773,300,180,4.9,227.3563205,2614.136959,0.002273563,0.02614137,0.031728924,8.765924555,0.641716385,7.378438014,0.673445309,16.14436257,Evac,30.26928051,0.148344315,14.12491794,55.461055,5.24,81.7,8.6,29.8,726.6
Darro R1,D,210,Water,-24.85847711,2782.197459,-72.81064961,15.3017981,38,Gas,93364,2294824,175.1739002,12.85686032,300,210,4.9,167.1391842,2277.260703,0.001671392,0.022772607,0.023325265,7.636285255,0.471752678,6.427600085,0.495077943,14.06388534,Evac,29.80853456,0.099735879,15.74464922,54.77040354,5.2,85.4,8.6,29.6,726.6
Darro R1,D,240,Water,-25.50494526,2705.324542,-76.41625416,59.6103819,39,Gas,216063,2507416,210.6401958,32.92863928,300,240,4.9,428.0723107,2738.322545,0.004280723,0.027383225,0.059740032,9.182353187,1.208240065,7.728953563,1.267980097,16.91130675,Evac,33.93223583,0.259483834,17.02092908,60.9517717,5.19,92.1,8.6,29.6,726.5
Darro R1,D,270,Water,-24.60506655,3483.947227,-76.37058881,94.96619253,40,Gas,415373,2763497,253.3616737,82.59998322,300,270,4.9,1073.799782,3293.701758,0.010737998,0.032937018,0.149855133,11.04469336,3.030814856,9.296519134,3.180669989,20.34121249,Evac,33.28399516,0.545884923,12.94278267,59.98006837,5.12,79.8,8.6,29.4,726.5
Darro R1,D,300,Water,-20.44651665,6180.635386,-67.90137916,596.6313813,41,Gas,1417465,3299576,342.7946544,247.7507669,300,300,4.9,3220.75997,4456.330507,0.0322076,0.044563305,0.449476171,14.94330926,9.090639921,12.57805499,9.540116092,27.52136425,Evac,51.23387292,1.461799152,23.71250867,86.88667377,5.11,67,8.9,29.3,726.4
Cascavel R3,E,5,Sediment,-23.11082583,11765.67691,-69.29674009,402.6878614,42,Gas,1161037,5401914,693.5234722,205.4898915,85,90,4.9,2671.36859,9015.805139,0.026713686,0.090158051,0.372805343,30.2324893,7.53997509,25.44723571,7.912780433,55.67972501,Evac,77.79905815,1.320780315,22.11933314,126.7074996,,,,,
Cascavel R3,E,10,Sediment,-15.47433536,24284.48325,-69.00939059,1230.393592,43,Gas,4176915,8246292,1179.819644,702.5247099,85,95,4.9,9132.821229,15337.65538,0.091328212,0.153376554,1.274539411,51.43140241,25.77751525,43.29074615,27.05205467,94.72214856,Evac,126.5903112,5.309761474,31.86816262,199.8448775,,,,,
Cascavel R3,E,52,Sediment,-25.62813057,18466.68569,-71.06528146,64.38253568,44,Gas,320905,7453666,1045.019465,67.03108911,85,137,4.9,871.4041585,13585.25305,0.008714042,0.13585253,0.121609623,45.55511251,2.459550387,38.34456615,2.58116001,83.89967866,Evac,106.2006931,0.365951143,22.30101439,169.2811368,,,,,
Cascavel R3,E,0,Water,-26.13688159,6075.150575,-63.03867794,48.36977473,45,Gas,59433,3430638,364.6594641,7.306240256,85,0,4.9,94.98112332,4740.573034,0.000949811,0.04740573,0.01325518,15.8964531,0.268085545,13.38033348,0.281340724,29.27678658,Evac,51.23595108,0.042353624,21.9591645,86.8897889,4.88,41.6,9.2,29.3,728.1
