,Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure,CH4_uM,CO2_uM,O2_uM
47,Cascavel R3,E,75,Water,-26.39721241,7886.042102,-65.37837173,51.23481169,48,Gas,56337,4360846,519.8441928,6.799779505,85,75,4.9,88.39713357,6757.974507,0.000883971,0.067579745,0.012336345,22.66135845,0.249502142,19.07447727,0.261838487,41.73583572,Evac,61.73253009,0.043649223,19.99669437,102.624008,5.01,29.3,9.9,25.6,728.1,0.14805655248099422,28.303732865550728,0.6346502479301661
48,Cascavel R3,E,85,Water,-26.38966591,8312.945336,-65.40385178,52.11650532,49,Gas,89914,4176697,489.1229857,12.2924903,85,85,4.9,159.8023739,6358.598814,0.001598024,0.063585988,0.02230137,21.32214125,0.451044428,17.94723381,0.473345798,39.26937506,Evac,60.70022192,0.081590789,21.43084686,101.0765931,5.24,26.1,13.7,25.6,728.1,0.2676533458012566,26.631068534374503,0.5653369102722642
56,Cascavel R3,F,0,Water,-26.18799168,9168.958021,-63.50129979,26.65830281,61,Gas,37878,4385450,523.9488286,3.780154506,60,0,4.9,49.14200858,6811.334772,0.00049142,0.068113348,0.006858059,22.84029019,0.138704004,19.22508736,0.145562063,42.06537755,Evac,62.78488471,0.01966387,20.71950716,104.2014722,5.26,34.1,11.2,26.0,728.1,0.08216692517289259,28.512926059990484,0.7374152321791135
57,Cascavel R3,F,20,Water,-26.32284661,9394.785143,-62.85541071,22.59150393,62,Gas,37540,4267803,504.3220164,3.724862602,60,20,4.9,48.42321383,6556.186213,0.000484232,0.065561862,0.006757747,21.98470647,0.136675196,18.504927,0.143432943,40.48963346,Evac,60.63113278,0.02007336,20.14149931,100.9730295,5.17,30.3,11.8,25.9,728.1,0.08099976368920862,27.44828403085934,0.6555070435622622
58,Cascavel R3,F,40,Water,-26.28325375,8935.064413,-63.23317629,24.63528846,63,Gas,35822,4314882,512.1761112,3.44382269,60,40,4.9,44.76969496,6658.289445,0.000447697,0.066582894,0.006247877,22.32708686,0.126363088,18.79311479,0.132610965,41.12020165,Evac,61.86794402,0.007365755,20.74774237,102.8269915,5.17,30.0,11.8,25.9,728.1,0.07488835264091569,27.875751834891734,0.6490168748141211
59,Cascavel R3,F,60,Water,-26.36101115,8914.656894,-65.55226494,38.96878133,64,Gas,37389,4353346,518.5929829,3.70016119,60,60,4.9,48.10209547,6741.708778,0.000481021,0.067417088,0.006712933,22.60681496,0.135768835,19.02856702,0.142481768,41.63538199,Evac,62.26013859,0.021268264,20.6247566,103.4148855,,,,,,,,
74,Darro R1,G,0,Water,-17.51720637,877.1624624,-64.53882657,21.65850799,79,Gas,34357,1717327,78.83123788,3.204169912,35,0,4.9,41.65420885,1024.806092,0.000416542,0.010248061,0.005813092,3.436458392,0.117569585,2.892529485,0.123382677,6.328987876,Evac,6.745509505,0.013649071,0.416521628,20.19926479,5.62,106.1,7.6,32.1,726.3,0.06790987392810777,4.2578505351526665,2.239721670554096
75,Darro R1,G,15,Water,-17.04176806,814.6299635,-52.87400553,3.814441337,80,Gas,19150,1906623,110.4111086,0.716525004,35,15,4.9,9.314825046,1435.344412,9.31e-05,0.014353444,0.001299939,4.813106973,0.026291224,4.051279616,0.027591163,8.864386589,Evac,7.166428785,0.013427544,-1.697957804,20.83021667,5.63,106.9,7.6,32.2,726.3,0.015180101845055685,5.962827764281344,2.255742476789079
76,Darro R1,G,35,Water,-17.4401551,758.8540081,-24.65064702,19.34471129,81,Gas,17737,1598298,58.97386935,0.485378673,35,35,4.9,6.309922743,766.6603015,6.31e-05,0.007666603,0.000880587,2.570824126,0.017809845,2.16390939,0.018690432,4.734733516,Evac,7.198250374,0.008318993,2.463516858,20.87791677,5.64,106.0,7.8,32.0,726.3,0.010291348925294043,3.185695695343456,2.2384713487426207
88,Cascavel R3,H,0,Water,-25.85954796,7674.865648,-62.61974314,37.33832315,93,Gas,51610,4119778,479.6273035,6.026510781,50,0,4.9,78.34464016,6235.154945,0.000783446,0.062351549,0.01093346,20.9081998,0.221128839,17.59881177,0.232062299,38.50701157,Evac,55.74260575,0.047515879,17.23559418,93.64519863,,,,,,,,
89,Cascavel R3,H,0,Water,,,,,94,Gas,45438,4129364,481.2265166,5.01686099,50,0,4.0,65.21919287,6255.944716,0.000652192,0.062559447,0.009101725,20.97791365,0.133365589,12.79267218,0.142467315,33.77058584,Hoyt,49.87263653,0.119243698,16.1020507,84.84620024,,,,,,,,
90,Cascavel R3,H,25,Water,-26.01135384,7884.594271,-62.53482154,47.43511718,95,Gas,59923,4017521,462.567974,7.386397157,50,25,4.9,96.02316305,6013.383662,0.000960232,0.060133837,0.013400602,20.16453932,0.271026717,16.97285923,0.284427319,37.13739855,Evac,59.42630761,0.034908968,22.28890907,99.16701409,,,,,,,,
91,Cascavel R3,H,25,Water,,,,,96,Gas,54559,4422193,530.0785894,6.508924461,50,25,4.0,84.616018,6891.021662,0.00084616,0.068910217,0.011808668,23.10750238,0.173029819,14.09132995,0.184838486,37.19883233,Hoyt,54.12025594,0.134300833,16.92142361,91.21331989,,,,,,,,
92,Cascavel R3,H,50,Water,-25.36512202,8650.565674,-60.61248056,108.3587968,97,Gas,170067,3819247,429.4903216,25.40435999,50,50,4.9,330.2566799,5583.37418,0.003302567,0.055833742,0.04608928,18.72259855,0.932154084,15.75915147,0.978243363,34.48175002,Evac,57.98759102,0.178425022,23.505841,97.01039886,,,,,,,,
93,Cascavel R3,H,50,Water,,,,,98,Gas,139562,3743844,416.9109908,20.41418389,50,50,4.0,265.3843906,5419.842881,0.002653844,0.054198429,0.037035967,18.17423285,0.542679909,11.08294213,0.579715876,29.25717498,Hoyt,53.59307876,0.411948243,24.33590378,90.42308898,,,,,,,,
99,Darro R1,G,0,Water,,,,,104,DIC,17778,2312110,178.0576888,0.492085679,35,0,4.9,6.397113822,2314.749955,6.4e-05,0.0231475,0.000892755,7.76199709,0.018055943,6.533414021,0.018948698,14.29541111,Evac,4.134577976,0.001518779,-10.16083313,16.28551645,5.62,106.1,7.6,32.1,726.3,0.010429370894959366,9.617291900188118,2.239721670554096
100,Darro R1,G,15,Water,,,,,105,DIC,15027,2367481,187.2951213,0.04206193,35,15,4.9,0.546805092,2434.836577,5.47e-06,0.024348366,7.63e-05,8.164680763,0.001543365,6.872360187,0.001619675,15.03704095,Evac,4.007556566,-0.020721208,-11.02948438,16.09511321,5.63,106.9,7.6,32.2,726.3,0.0008911124910298358,10.11500168382588,2.255742476789079
101,Darro R1,G,35,Water,,,,,106,DIC,13660,2310839,177.8456505,-0.181559467,35,35,4.9,-2.360273074,2311.993456,-2.36e-05,0.023119935,-0.00032939,7.752753786,-0.006661904,6.525633765,-0.006991294,14.27838755,Evac,3.216312721,0.052020265,-11.06207483,14.9090502,5.64,106.0,7.8,32.0,726.3,-0.0038495548517588226,9.607002719644454,2.2384713487426207
107,Cascavel R3,H,0,Water,,,,,112,DIC,12293,6484460,880.1887099,-0.405180865,50,0,4.9,-5.267351239,11442.45323,-5.27e-05,0.114424532,-0.00073509,38.3697118,-0.014867172,32.29648378,-0.015602262,70.66619558,Evac,42.10096912,-0.006590458,-28.56522646,73.19658396,4.87,60.1,9.4,30.8,728.1,-0.00863267025098797,47.616103330315305,1.2750761805813746
108,Cascavel R3,H,25,Water,,,,,113,DIC,21021,6371291,860.9423043,1.0225935,50,25,4.9,13.2937155,11192.24996,0.000132937,0.1119225,0.001855217,37.530711,0.037521697,31.59028155,0.039376914,69.12099255,Evac,38.98122335,-0.016727005,-30.13976919,68.52013048,4.83,20.1,9.6,26.9,728.1,0.022142460277190096,46.79926957658238,0.4330805201389038
109,Cascavel R3,H,50,Water,,,,,114,DIC,11858,7588334,1067.922159,-0.476340563,50,50,4.9,-6.19242732,13882.98807,-6.19e-05,0.138829881,-0.00086419,46.55350041,-0.017478212,39.18492739,-0.018342402,85.7384278,Evac,40.637564,-0.003932132,-45.1008638,71.00296099,4.85,19.7,9.3,26.9,728.1,-0.010314315507229282,58.05032085916848,0.42446200232519427
