   2021      7     12   12.00       264.00   0.19025E+02   0.00000E+00   0.19025E+02   0.19100E+02   0.19608E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20911E+02   0.56253E+02  -0.15154E+03  -0.56178E+03   0.16867E-02   0.17350E-05   0.43489E-04       0.16     153.05     0.0000  0.00   0.82122E-02   0.33729E-01    19.1001    19.1099    19.1293    19.2097    19.4050
   2021      7     13   12.00       288.00   0.20588E+02   0.00000E+00   0.20588E+02   0.20721E+02   0.21154E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29442E+02   0.77466E+02  -0.20753E+03  -0.45169E+03   0.26636E-02   0.25783E-05   0.27389E-03       0.16     241.02     0.0000  0.00  -0.15458E-01   0.60647E+00    20.7257    20.7397    20.7575    20.8254    20.9779
   2021      7     14   12.00       312.00   0.21110E+02   0.00000E+00   0.21110E+02   0.21300E+02   0.21681E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.40065E+02   0.89191E+02  -0.22436E+03  -0.40388E+03   0.29928E-02   0.29781E-05   0.54506E-03       0.16     229.78     0.0000  0.00  -0.29231E-02   0.85644E+00    21.3080    21.3249    21.3425    21.4004    21.5327
   2021      7     15   12.00       336.00   0.20995E+02   0.00000E+00   0.20995E+02   0.21117E+02   0.21473E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33009E+02   0.76957E+02  -0.18267E+03  -0.40261E+03   0.21287E-02   0.22428E-05   0.27414E-03       0.16     172.02     0.0000  0.00  -0.43342E-02   0.17798E+00    21.1219    21.1339    21.1497    21.2034    21.3286
   2021      7     16   12.00       360.00   0.21096E+02   0.00000E+00   0.21096E+02   0.21201E+02   0.21560E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34665E+02   0.79084E+02  -0.19099E+03  -0.39953E+03   0.18490E-02   0.18090E-05   0.18294E-03       0.16     187.88     0.0000  0.00  -0.19315E-02  -0.18238E-01    21.2040    21.2158    21.2323    21.2888    21.4296
   2021      7     17   12.00       384.00   0.21141E+02   0.00000E+00   0.21141E+02   0.21297E+02   0.21655E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35470E+02   0.85932E+02  -0.19853E+03  -0.39589E+03   0.29153E-02   0.29429E-05   0.44618E-03       0.16     188.22     0.0000  0.00   0.72094E-02   0.76621E+00    21.3036    21.3188    21.3354    21.3891    21.5098
   2021      7     18   12.00       408.00   0.21276E+02   0.00000E+00   0.21276E+02   0.21459E+02   0.21821E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25056E+02   0.85697E+02  -0.19293E+03  -0.38828E+03   0.32625E-02   0.31742E-05   0.76585E-03       0.16     221.82     0.0000  0.00  -0.12323E-01   0.11116E+01    21.4662    21.4837    21.5015    21.5560    21.6899
   2021      7     19   12.00       432.00   0.22174E+02   0.00000E+00   0.22174E+02   0.22412E+02   0.22700E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.30699E+02   0.10112E+03  -0.22722E+03  -0.31733E+03   0.37874E-02   0.41596E-05   0.16081E-02       0.16     254.84     0.0000  0.00   0.18204E-01   0.15368E+01    22.4239    22.4432    22.4605    22.5016    22.6049
   2021      7     20   12.00       456.00   0.20665E+02   0.00000E+00   0.20665E+02   0.21114E+02   0.21503E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.55179E+02   0.12587E+03  -0.24862E+03  -0.41306E+03   0.56855E-02   0.96555E-05   0.96440E-02       0.17     151.36     0.0000  0.00   0.16243E-01   0.36835E+01    21.1381    21.1663    21.1923    21.2463    21.3662
   2021      7     21   12.00       480.00   0.19178E+02   0.00000E+00   0.19178E+02   0.19379E+02   0.19858E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34682E+02   0.70112E+02  -0.15354E+03  -0.53265E+03   0.27785E-02   0.42686E-05   0.27899E-02       0.17      70.26     0.0000  0.00  -0.41397E-02   0.12294E+01    19.3890    19.4055    19.4281    19.5008    19.6672
   2021      7     22   12.00       504.00   0.19220E+02   0.00000E+00   0.19220E+02   0.19417E+02   0.19918E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37440E+02   0.79350E+02  -0.17401E+03  -0.53090E+03   0.32677E-02   0.39448E-05   0.87987E-03       0.17      85.86     0.0000  0.00   0.19713E-01  -0.10481E+01    19.4255    19.4434    19.4652    19.5428    19.7021
   2021      7     23   12.00       528.00   0.18557E+02   0.00000E+00   0.18557E+02   0.18790E+02   0.19367E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43964E+02   0.89120E+02  -0.20150E+03  -0.60101E+03   0.34644E-02   0.37829E-05   0.10425E-02       0.17     112.97     0.0000  0.00   0.38892E-01  -0.90755E+00    18.8001    18.8208    18.8463    18.9361    19.1205
   2021      7     24   12.00       552.00   0.19017E+02   0.00000E+00   0.19017E+02   0.19103E+02   0.19612E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35490E+02   0.70736E+02  -0.18004E+03  -0.57010E+03   0.14929E-02   0.16504E-05   0.33425E-04       0.17     126.93     0.0000  0.00   0.89619E-02  -0.12891E+00    19.1044    19.1158    19.1370    19.2175    19.3998
   2021      7     25   12.00       576.00   0.19569E+02   0.00000E+00   0.19569E+02   0.19672E+02   0.20140E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34816E+02   0.71846E+02  -0.17342E+03  -0.51460E+03   0.16504E-02   0.16819E-05   0.15138E-03       0.17     124.23     0.0000  0.00   0.68627E-02   0.33339E+00    19.6746    19.6871    19.7079    19.7827    19.9557
   2021      7     26   12.00       600.00   0.18928E+02   0.00000E+00   0.18928E+02   0.19268E+02   0.19804E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.53692E+02   0.11258E+03  -0.22109E+03  -0.56228E+03   0.51406E-02   0.70614E-05   0.60907E-02       0.17     128.90     0.0000  0.00   0.89345E-01   0.19276E+01    19.2858    19.3116    19.3405    19.4207    19.5828
   2021      7     27   12.00       624.00   0.17750E+02   0.00000E+00   0.17750E+02   0.18233E+02   0.18809E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.63525E+02   0.13002E+03  -0.23555E+03  -0.65302E+03   0.87747E-02   0.36877E-04   0.40541E-01       0.17      99.36     0.0000  0.00   0.29640E+00   0.32242E+01    18.2606    18.2910    18.3284    18.4110    18.5858
   2021      7     28   12.00       648.00   0.16681E+02   0.00000E+00   0.16681E+02   0.17123E+02   0.17721E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57803E+02   0.11332E+03  -0.20420E+03  -0.73434E+03   0.11704E-01   0.13393E-03   0.12109E+00       0.17      57.65     0.0000  0.00   0.54690E+00   0.34239E+01    17.1473    17.1777    17.2257    17.3132    17.5197
   2021      7     29   12.00       672.00   0.16526E+02   0.00000E+00   0.16526E+02   0.16879E+02   0.17507E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54599E+02   0.10012E+03  -0.18563E+03  -0.74789E+03   0.10575E-01   0.90979E-04   0.83142E-01       0.17      50.30     0.0000  0.00   0.44979E+00   0.24589E+01    16.8958    16.9248    16.9631    17.0558    17.2647
   2021      7     30   12.00       696.00   0.16759E+02   0.00000E+00   0.16759E+02   0.17085E+02   0.17749E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.49180E+02   0.85290E+02  -0.16370E+03  -0.72235E+03   0.80390E-02   0.17733E-04   0.25738E-01       0.17      49.92     0.0000  0.00   0.25888E+00   0.13488E+01    17.0990    17.1259    17.1620    17.2615    17.4537
   2021      7     31   12.00       720.00   0.17038E+02   0.00000E+00   0.17038E+02   0.17421E+02   0.18044E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51289E+02   0.94322E+02  -0.17566E+03  -0.69499E+03   0.89475E-02   0.27962E-04   0.41508E-01       0.17      59.24     0.0000  0.00   0.32440E+00   0.19493E+01    17.4425    17.4709    17.5081    17.5999    17.7919
   2021      8      1   12.00       744.00   0.17333E+02   0.00000E+00   0.17333E+02   0.17646E+02   0.18201E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.40898E+02   0.86686E+02  -0.15385E+03  -0.67567E+03   0.99409E-02   0.53681E-04   0.60514E-01       0.17      67.96     0.0000  0.00   0.40000E+00   0.11303E+01    17.6601    17.6863    17.7207    17.8007    17.9767
   2021      8      2   12.00       768.00   0.18827E+02   0.00000E+00   0.18827E+02   0.19070E+02   0.19529E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22441E+02   0.91398E+02  -0.14796E+03  -0.56403E+03   0.94435E-02   0.44926E-04   0.50409E-01       0.18     140.97     0.0000  0.00   0.35644E+00  -0.17558E+01    19.0804    19.1013    19.1294    19.1957    19.3568
   2021      8      3   12.00       792.00   0.20772E+02   0.00000E+00   0.20772E+02   0.20967E+02   0.21340E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17768E+02   0.98397E+02  -0.18337E+03  -0.42461E+03   0.56167E-02   0.97726E-05   0.93223E-02       0.18     233.58     0.0000  0.00   0.13186E+00  -0.13628E+01    20.9746    20.9943    21.0156    21.0702    21.1990
   2021      8      4   12.00       816.00   0.22303E+02   0.00000E+00   0.22303E+02   0.22431E+02   0.22702E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25770E+02   0.85618E+02  -0.19869E+03  -0.29859E+03   0.30250E-02   0.28257E-05   0.46736E-03       0.18     236.68     0.0000  0.00   0.37028E-01   0.12709E+00    22.4367    22.4500    22.4635    22.5043    22.6000
   2021      8      5   12.00       840.00   0.21141E+02   0.00000E+00   0.21141E+02   0.21434E+02   0.21792E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.44755E+02   0.10276E+03  -0.21806E+03  -0.36907E+03   0.36999E-02   0.39512E-05   0.15738E-02       0.18     134.84     0.0000  0.00   0.35356E-02   0.13504E+01    21.4491    21.4707    21.4910    21.5435    21.6589
   2021      8      6   12.00       864.00   0.18908E+02   0.00000E+00   0.18908E+02   0.19275E+02   0.19837E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.53897E+02   0.11334E+03  -0.22943E+03  -0.57072E+03   0.48215E-02   0.60302E-05   0.42724E-02       0.18     133.95     0.0000  0.00  -0.26659E-01   0.24767E+01    19.2929    19.3221    19.3533    19.4381    19.6170
   2021      8      7   12.00       888.00   0.19698E+02   0.00000E+00   0.19698E+02   0.19854E+02   0.20334E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38806E+02   0.85695E+02  -0.20402E+03  -0.51943E+03   0.23124E-02   0.26367E-05   0.58731E-03       0.18     167.61     0.0000  0.00   0.53276E-02   0.16706E+00    19.8593    19.8752    19.8970    19.9727    20.1348
   2021      8      8   12.00       912.00   0.19384E+02   0.00000E+00   0.19384E+02   0.19573E+02   0.20067E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39480E+02   0.86909E+02  -0.20027E+03  -0.53712E+03   0.32478E-02   0.38228E-05   0.69427E-03       0.18     139.97     0.0000  0.00   0.29880E-01  -0.68434E+00    19.5813    19.5990    19.6218    19.6982    19.8625
   2021      8      9   12.00       936.00   0.20032E+02   0.00000E+00   0.20032E+02   0.20167E+02   0.20625E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35393E+02   0.83176E+02  -0.20331E+03  -0.49763E+03   0.28085E-02   0.31082E-05   0.32331E-03       0.18     194.47     0.0000  0.00   0.32756E-01   0.24680E+00    20.1719    20.1862    20.2056    20.2778    20.4370
   2021      8     10   12.00       960.00   0.20485E+02   0.00000E+00   0.20485E+02   0.20666E+02   0.21083E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39728E+02   0.89190E+02  -0.21364E+03  -0.44485E+03   0.27337E-02   0.31686E-05   0.41905E-03       0.18     165.53     0.0000  0.00   0.95885E-02   0.76783E+00    20.6739    20.6897    20.7084    20.7730    20.9107
   2021      8     11   12.00       984.00   0.19584E+02   0.00000E+00   0.19584E+02   0.19789E+02   0.20280E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41931E+02   0.90696E+02  -0.20352E+03  -0.52016E+03   0.30484E-02   0.35270E-05   0.58273E-03       0.18     140.66     0.0000  0.00  -0.11236E-01   0.95257E+00    19.7969    19.8156    19.8375    19.9141    20.0759
   2021      8     12   12.00      1008.00   0.19270E+02   0.00000E+00   0.19270E+02   0.19576E+02   0.20094E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57637E+02   0.11479E+03  -0.25273E+03  -0.55218E+03   0.36830E-02   0.43540E-05   0.13841E-02       0.18     166.37     0.0000  0.00  -0.33217E-01   0.12497E+01    19.5912    19.6154    19.6410    19.7192    19.8811
   2021      8     13   12.00      1032.00   0.18000E+02   0.00000E+00   0.18000E+02   0.18415E+02   0.19042E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.62716E+02   0.11535E+03  -0.25531E+03  -0.65482E+03   0.41995E-02   0.53043E-05   0.24142E-02       0.19     148.30     0.0000  0.00  -0.23482E-01   0.18927E+01    18.4344    18.4645    18.4966    18.5916    18.7884
   2021      8     14   12.00      1056.00   0.17488E+02   0.00000E+00   0.17488E+02   0.17898E+02   0.18549E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.60816E+02   0.11388E+03  -0.23982E+03  -0.68430E+03   0.52233E-02   0.77960E-05   0.73681E-02       0.19     109.36     0.0000  0.00   0.62045E-01   0.26915E+01    17.9199    17.9521    17.9877    18.0844    18.2789
   2021      8     15   12.00      1080.00   0.16526E+02   0.00000E+00   0.16526E+02   0.16951E+02   0.17640E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.60244E+02   0.10825E+03  -0.21298E+03  -0.75165E+03   0.75289E-02   0.18042E-04   0.24559E-01       0.19      60.58     0.0000  0.00   0.16548E+00   0.47480E+01    16.9736    17.0076    17.0505    17.1518    17.3597
   2021      8     16   12.00      1104.00   0.16123E+02   0.00000E+00   0.16123E+02   0.16535E+02   0.17225E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57726E+02   0.10363E+03  -0.20110E+03  -0.77790E+03   0.74318E-02   0.19146E-04   0.23955E-01       0.19      40.62     0.0000  0.00   0.15320E+00   0.47887E+01    16.5556    16.5887    16.6300    16.7307    16.9383
   2021      8     17   12.00      1128.00   0.15849E+02   0.00000E+00   0.15849E+02   0.16333E+02   0.17087E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.58829E+02   0.11285E+03  -0.24146E+03  -0.82298E+03   0.64704E-02   0.12616E-04   0.14803E-01       0.19     122.89     0.0000  0.00   0.92401E-01   0.41536E+01    16.3588    16.3957    16.4390    16.5493    16.7923
   2021      8     18   12.00      1152.00   0.16856E+02   0.00000E+00   0.16856E+02   0.17167E+02   0.17883E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.52927E+02   0.99741E+02  -0.24072E+03  -0.75899E+03   0.41537E-02   0.62261E-05   0.29088E-02       0.19     163.21     0.0000  0.00   0.34806E-01   0.17465E+01    17.1798    17.2051    17.2379    17.3495    17.5776
   2021      8     19   12.00      1176.00   0.17020E+02   0.00000E+00   0.17020E+02   0.17425E+02   0.18100E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.60624E+02   0.11078E+03  -0.23132E+03  -0.71692E+03   0.58952E-02   0.12956E-04   0.13648E-01       0.19     106.96     0.0000  0.00   0.12753E+00   0.25991E+01    17.4450    17.4771    17.5142    17.6158    17.8144
   2021      8     20   12.00      1200.00   0.16727E+02   0.00000E+00   0.16727E+02   0.17111E+02   0.17812E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54782E+02   0.10698E+03  -0.22364E+03  -0.74907E+03   0.60720E-02   0.15958E-04   0.14368E-01       0.19     120.39     0.0000  0.00   0.10454E+00   0.33617E+01    17.1289    17.1606    17.1984    17.3040    17.5139
   2021      8     21   12.00      1224.00   0.18115E+02   0.00000E+00   0.18115E+02   0.18265E+02   0.18854E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35505E+02   0.73888E+02  -0.19548E+03  -0.64573E+03   0.20416E-02   0.22509E-05   0.37596E-03       0.19     155.09     0.0000  0.00  -0.22991E-02  -0.12151E+00    18.2693    18.2854    18.3107    18.4040    18.6231
   2021      8     22   12.00      1248.00   0.17997E+02   0.00000E+00   0.17997E+02   0.18417E+02   0.19004E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.53495E+02   0.10672E+03  -0.22251E+03  -0.62845E+03   0.50768E-02   0.71076E-05   0.61729E-02       0.19     117.11     0.0000  0.00   0.19323E-01  -0.29528E+01    18.4393    18.4708    18.5046    18.5902    18.7711
   2021      8     23   12.00      1272.00   0.17964E+02   0.00000E+00   0.17964E+02   0.18178E+02   0.18775E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39544E+02   0.76708E+02  -0.16090E+03  -0.63107E+03   0.42055E-02   0.51244E-05   0.30679E-02       0.20      79.69     0.0000  0.00   0.44310E-01  -0.16854E+01    18.1862    18.2095    18.2385    18.3307    18.5246
   2021      8     24   12.00      1296.00   0.19297E+02   0.00000E+00   0.19297E+02   0.19373E+02   0.19846E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25382E+02   0.54524E+02  -0.13671E+03  -0.52443E+03   0.18183E-02   0.18739E-05   0.55880E-04       0.20     108.52     0.0000  0.00   0.87035E-02   0.12151E+00    19.3734    19.3835    19.4017    19.4759    19.6436
   2021      8     25   12.00      1320.00   0.19394E+02   0.00000E+00   0.19394E+02   0.19719E+02   0.20232E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48553E+02   0.10380E+03  -0.23403E+03  -0.52710E+03   0.38158E-02   0.43439E-05   0.20041E-02       0.20     166.36     0.0000  0.00  -0.30464E-01   0.14840E+01    19.7345    19.7589    19.7848    19.8628    20.0288
   2021      8     26   12.00      1344.00   0.17759E+02   0.00000E+00   0.17759E+02   0.18330E+02   0.18980E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.69978E+02   0.13334E+03  -0.28395E+03  -0.66112E+03   0.54505E-02   0.84926E-05   0.81288E-02       0.20     146.38     0.0000  0.00  -0.13353E-01   0.33700E+01    18.3638    18.4009    18.4383    18.5327    18.7275
   2021      8     27   12.00      1368.00   0.16456E+02   0.00000E+00   0.16456E+02   0.16931E+02   0.17675E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.64858E+02   0.11817E+03  -0.26495E+03  -0.78049E+03   0.51646E-02   0.79029E-05   0.67610E-02       0.20     128.62     0.0000  0.00  -0.38634E-02   0.30513E+01    16.9560    16.9934    17.0337    17.1453    17.3626
   2021      8     28   12.00      1392.00   0.16911E+02   0.00000E+00   0.16911E+02   0.17195E+02   0.17886E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48744E+02   0.87770E+02  -0.21890E+03  -0.73880E+03   0.35913E-02   0.42362E-05   0.12840E-02       0.20     110.48     0.0000  0.00   0.11919E-01   0.12082E+01    17.2070    17.2317    17.2642    17.3708    17.5930
   2021      8     29   12.00      1416.00   0.16790E+02   0.00000E+00   0.16790E+02   0.17100E+02   0.17784E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48661E+02   0.88862E+02  -0.18687E+03  -0.72930E+03   0.48834E-02   0.58256E-05   0.37531E-02       0.20      69.23     0.0000  0.00   0.86584E-01   0.14301E+01    17.1148    17.1424    17.1775    17.2816    17.5035
   2021      8     30   12.00      1440.00   0.17851E+02   0.00000E+00   0.17851E+02   0.17992E+02   0.18583E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33256E+02   0.68033E+02  -0.15329E+03  -0.64288E+03   0.31234E-02   0.33010E-05   0.87469E-03       0.20      85.78     0.0000  0.00   0.42096E-01   0.41428E+00    17.9964    18.0128    18.0380    18.1307    18.3440
   2021      8     31   12.00      1464.00   0.18762E+02   0.00000E+00   0.18762E+02   0.18842E+02   0.19360E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28428E+02   0.60187E+02  -0.14496E+03  -0.56669E+03   0.16851E-02   0.18191E-05   0.30255E-04       0.20      80.88     0.0000  0.00   0.50537E-02  -0.22903E+00    18.8422    18.8528    18.8725    18.9552    19.1345
   2021      9      1   12.00      1488.00   0.19518E+02   0.00000E+00   0.19518E+02   0.19609E+02   0.20099E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24337E+02   0.61309E+02  -0.14814E+03  -0.50987E+03   0.22202E-02   0.21628E-05   0.10736E-03       0.21     122.93     0.0000  0.00   0.54801E-02  -0.47599E+00    19.6108    19.6224    19.6410    19.7185    19.8757
   2021      9      2   12.00      1512.00   0.20457E+02   0.00000E+00   0.20457E+02   0.20540E+02   0.20943E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24092E+02   0.63672E+02  -0.15627E+03  -0.43221E+03   0.19932E-02   0.19828E-05   0.70691E-04       0.21     135.51     0.0000  0.00   0.12209E-01  -0.27209E+00    20.5418    20.5523    20.5684    20.6324    20.7702
   2021      9      3   12.00      1536.00   0.20231E+02   0.00000E+00   0.20231E+02   0.20388E+02   0.20813E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35315E+02   0.75950E+02  -0.17550E+03  -0.44367E+03   0.28563E-02   0.29083E-05   0.66021E-03       0.21     106.69     0.0000  0.00   0.23153E-01  -0.72353E+00    20.3939    20.4093    20.4287    20.4956    20.6381
   2021      9      4   12.00      1560.00   0.18881E+02   0.00000E+00   0.18881E+02   0.19225E+02   0.19754E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54474E+02   0.10005E+03  -0.21904E+03  -0.55540E+03   0.41532E-02   0.48460E-05   0.29122E-02       0.21      90.37     0.0000  0.00  -0.46478E-01  -0.11569E+01    19.2410    19.2658    19.2933    19.3733    19.5353
   2021      9      5   12.00      1584.00   0.17290E+02   0.00000E+00   0.17290E+02   0.17560E+02   0.18238E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51367E+02   0.89644E+02  -0.20927E+03  -0.69736E+03   0.37975E-02   0.48615E-05   0.23518E-02       0.21      65.53     0.0000  0.00  -0.52180E-01   0.35222E+00    17.5684    17.6027    17.6336    17.7391    17.9532
   2021      9      6   12.00      1608.00   0.16426E+02   0.00000E+00   0.16426E+02   0.16885E+02   0.17607E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56618E+02   0.96431E+02  -0.22080E+03  -0.75557E+03   0.52922E-02   0.82092E-05   0.70927E-02       0.21      60.12     0.0000  0.00   0.25579E-01   0.31571E+01    16.9069    16.9395    16.9782    17.0874    17.3100
   2021      9      7   12.00      1632.00   0.16250E+02   0.00000E+00   0.16250E+02   0.16679E+02   0.17364E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51213E+02   0.85936E+02  -0.19525E+03  -0.76928E+03   0.62723E-02   0.12096E-04   0.13974E-01       0.21      67.88     0.0000  0.00   0.22651E-01   0.45889E+01    16.7006    16.7334    16.7740    16.8735    17.0990
