   2021      7     13   12.00       288.00   0.14804E+02   0.00000E+00   0.14804E+02   0.14851E+02   0.14900E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.64433E+01   0.28551E+02  -0.10399E+03  -0.77231E+02   0.26121E-02   0.13351E-05   0.25905E-03       0.16     241.02     0.0000  0.00  -0.15467E-01   0.61168E+00    14.8536    14.8615    14.8655    14.8705    14.8960
   2021      7     14   12.00       312.00   0.16396E+02   0.00000E+00   0.16396E+02   0.16482E+02   0.16544E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18469E+02   0.41779E+02  -0.12929E+03  -0.73902E+02   0.29649E-02   0.17367E-05   0.52710E-03       0.16     229.78     0.0000  0.00  -0.28426E-02   0.86442E+00    16.4871    16.4980    16.5039    16.5102    16.5360
   2021      7     15   12.00       336.00   0.16822E+02   0.00000E+00   0.16822E+02   0.16881E+02   0.16921E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14298E+02   0.35260E+02  -0.99160E+02  -0.55133E+02   0.21028E-02   0.11837E-05   0.26535E-03       0.16     172.02     0.0000  0.00  -0.43853E-02   0.18467E+00    16.8839    16.8910    16.8951    16.8991    16.9168
   2021      7     16   12.00       360.00   0.17196E+02   0.00000E+00   0.17196E+02   0.17252E+02   0.17301E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16937E+02   0.39423E+02  -0.11196E+03  -0.64022E+02   0.18287E-02   0.10322E-05   0.16717E-03       0.16     187.88     0.0000  0.00  -0.19709E-02  -0.20328E-01    17.2547    17.2617    17.2663    17.2717    17.2943
   2021      7     17   12.00       384.00   0.17471E+02   0.00000E+00   0.17471E+02   0.17557E+02   0.17621E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19017E+02   0.48824E+02  -0.12456E+03  -0.67610E+02   0.28930E-02   0.16624E-05   0.43083E-03       0.16     188.22     0.0000  0.00   0.73124E-02   0.76929E+00    17.5620    17.5723    17.5783    17.5853    17.6113
   2021      7     18   12.00       408.00   0.17843E+02   0.00000E+00   0.17843E+02   0.17934E+02   0.17998E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.84141E+01   0.46990E+02  -0.11844E+03  -0.77061E+02   0.32302E-02   0.20187E-05   0.76131E-03       0.16     221.82     0.0000  0.00  -0.12324E-01   0.11287E+01    17.9384    17.9501    17.9560    17.9627    17.9898
   2021      7     19   12.00       432.00   0.19281E+02   0.00000E+00   0.19281E+02   0.19421E+02   0.19503E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14759E+02   0.61683E+02  -0.15551E+03  -0.84606E+02   0.37583E-02   0.30081E-05   0.16552E-02       0.16     254.84     0.0000  0.00   0.18435E-01   0.15636E+01    19.4280    19.4431    19.4508    19.4594    19.4903
   2021      7     20   12.00       456.00   0.18254E+02   0.00000E+00   0.18254E+02   0.18535E+02   0.18632E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36525E+02   0.83320E+02  -0.17400E+03  -0.69306E+02   0.56955E-02   0.13453E-04   0.94553E-02       0.17     151.36     0.0000  0.00   0.16041E-01   0.36388E+01    18.5484    18.5678    18.5784    18.5883    18.6130
   2021      7     21   12.00       480.00   0.15967E+02   0.00000E+00   0.15967E+02   0.16074E+02   0.16125E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18706E+02   0.36984E+02  -0.86898E+02  -0.46858E+02   0.27602E-02   0.34960E-05   0.28515E-02       0.17      70.26     0.0000  0.00  -0.41793E-02   0.12446E+01    16.0799    16.0905    16.0970    16.1021    16.1183
   2021      7     22   12.00       504.00   0.15124E+02   0.00000E+00   0.15124E+02   0.15218E+02   0.15272E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17203E+02   0.38438E+02  -0.90578E+02  -0.50847E+02   0.32393E-02   0.19607E-05   0.87725E-03       0.17      85.86     0.0000  0.00   0.19875E-01  -0.10688E+01    15.2237    15.2359    15.2427    15.2484    15.2665
   2021      7     23   12.00       528.00   0.14115E+02   0.00000E+00   0.14115E+02   0.14227E+02   0.14298E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20858E+02   0.44615E+02  -0.10994E+03  -0.66430E+02   0.34443E-02   0.20952E-05   0.97649E-03       0.17     112.97     0.0000  0.00   0.39163E-01  -0.90400E+00    14.2326    14.2466    14.2546    14.2626    14.2882
   2021      7     24   12.00       552.00   0.13972E+02   0.00000E+00   0.13972E+02   0.14023E+02   0.14071E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13075E+02   0.27046E+02  -0.86684E+02  -0.63180E+02   0.14630E-02   0.74891E-06   0.36186E-04       0.17     126.93     0.0000  0.00   0.91583E-02  -0.13777E+00    14.0255    14.0318    14.0364    14.0420    14.0645
   2021      7     25   12.00       576.00   0.14511E+02   0.00000E+00   0.14511E+02   0.14559E+02   0.14596E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12404E+02   0.26830E+02  -0.78521E+02  -0.53422E+02   0.16201E-02   0.87791E-06   0.14542E-03       0.17     124.23     0.0000  0.00   0.70585E-02   0.34210E+00    14.5612    14.5677    14.5720    14.5761    14.5930
   2021      7     26   12.00       600.00   0.14398E+02   0.00000E+00   0.14398E+02   0.14516E+02   0.14583E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21375E+02   0.49586E+02  -0.10127E+03  -0.60382E+02   0.51310E-02   0.63815E-05   0.59252E-02       0.17     128.90     0.0000  0.00   0.89663E-01   0.19304E+01    14.5209    14.5360    14.5443    14.5514    14.5744
   2021      7     27   12.00       624.00   0.13859E+02   0.00000E+00   0.13859E+02   0.14011E+02   0.14076E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24109E+02   0.57333E+02  -0.10258E+03  -0.55083E+02   0.88491E-02   0.85272E-04   0.39187E-01       0.17      99.36     0.0000  0.00   0.30015E+00   0.32003E+01    14.0193    14.0315    14.0390    14.0466    14.0677
   2021      7     28   12.00       648.00   0.12824E+02   0.00000E+00   0.12824E+02   0.12937E+02   0.12987E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13965E+02   0.37581E+02  -0.64160E+02  -0.41298E+02   0.11757E-01   0.26511E-03   0.12154E+00       0.17      57.65     0.0000  0.00   0.55026E+00   0.34149E+01    12.9426    12.9503    12.9538    12.9601    12.9798
   2021      7     29   12.00       672.00   0.12503E+02   0.00000E+00   0.12503E+02   0.12568E+02   0.12603E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10486E+02   0.24732E+02  -0.44834E+02  -0.33683E+02   0.10519E-01   0.17709E-03   0.86315E-01       0.17      50.30     0.0000  0.00   0.45212E+00   0.25018E+01    12.5712    12.5765    12.5792    12.5836    12.5988
   2021      7     30   12.00       696.00   0.12486E+02   0.00000E+00   0.12486E+02   0.12512E+02   0.12534E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.73144E+01   0.12885E+02  -0.26791E+02  -0.27680E+02   0.80709E-02   0.40965E-04   0.25112E-01       0.17      49.92     0.0000  0.00   0.26123E+00   0.13564E+01    12.5126    12.5158    12.5174    12.5203    12.5325
   2021      7     31   12.00       720.00   0.12848E+02   0.00000E+00   0.12848E+02   0.12889E+02   0.12914E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.81912E+01   0.18344E+02  -0.34311E+02  -0.27227E+02   0.90017E-02   0.77361E-04   0.40594E-01       0.17      59.24     0.0000  0.00   0.32401E+00   0.19303E+01    12.8912    12.8946    12.8960    12.8992    12.9119
   2021      8      1   12.00       744.00   0.13332E+02   0.00000E+00   0.13332E+02   0.13319E+02   0.13355E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.22044E+01   0.92044E+01  -0.11908E+02  -0.23093E+02   0.99923E-02   0.11988E-03   0.59814E-01       0.17      67.96     0.0000  0.00   0.39928E+00   0.11289E+01    13.3176    13.3184    13.3169    13.3182    13.3296
   2021      8      2   12.00       768.00   0.15283E+02   0.00000E+00   0.15283E+02   0.15246E+02   0.15293E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.14847E+02   0.18032E+02  -0.18064E+02  -0.32455E+02   0.94593E-02   0.85957E-04   0.50054E-01       0.18     140.97     0.0000  0.00   0.35924E+00  -0.17647E+01    15.2424    15.2434    15.2387    15.2401    15.2549
   2021      8      3   12.00       792.00   0.17749E+02   0.00000E+00   0.17749E+02   0.17805E+02   0.17853E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.45368E+01   0.47947E+02  -0.93816E+02  -0.61916E+02   0.55766E-02   0.13019E-04   0.97713E-02       0.18     233.58     0.0000  0.00   0.13267E+00  -0.13933E+01    17.8065    17.8155    17.8185    17.8239    17.8470
   2021      8      4   12.00       816.00   0.19448E+02   0.00000E+00   0.19448E+02   0.19527E+02   0.19589E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13011E+02   0.53414E+02  -0.13760E+03  -0.67905E+02   0.30016E-02   0.18139E-05   0.45968E-03       0.18     236.68     0.0000  0.00   0.37124E-01   0.12456E+00    19.5309    19.5405    19.5461    19.5533    19.5787
   2021      8      5   12.00       840.00   0.18547E+02   0.00000E+00   0.18547E+02   0.18725E+02   0.18804E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.30400E+02   0.69221E+02  -0.15566E+03  -0.55492E+02   0.36902E-02   0.26967E-05   0.15362E-02       0.18     134.84     0.0000  0.00   0.36117E-02   0.13562E+01    18.7350    18.7513    18.7606    18.7692    18.7905
   2021      8      6   12.00       864.00   0.15813E+02   0.00000E+00   0.15813E+02   0.16007E+02   0.16105E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32438E+02   0.69664E+02  -0.14743E+03  -0.77586E+02   0.48125E-02   0.49982E-05   0.42231E-02       0.18     133.95     0.0000  0.00  -0.26905E-01   0.24926E+01    16.0168    16.0384    16.0497    16.0604    16.0888
   2021      8      7   12.00       888.00   0.15876E+02   0.00000E+00   0.15876E+02   0.15978E+02   0.16050E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20321E+02   0.46764E+02  -0.12568E+03  -0.75013E+02   0.22920E-02   0.16055E-05   0.59153E-03       0.18     167.61     0.0000  0.00   0.54150E-02   0.16382E+00    15.9824    15.9935    16.0005    16.0092    16.0379
   2021      8      8   12.00       912.00   0.15241E+02   0.00000E+00   0.15241E+02   0.15349E+02   0.15420E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19190E+02   0.45043E+02  -0.11554E+03  -0.68335E+02   0.32212E-02   0.19118E-05   0.68774E-03       0.18     139.97     0.0000  0.00   0.30259E-01  -0.69893E+00    15.3545    15.3674    15.3750    15.3832    15.4093
   2021      8      9   12.00       936.00   0.15707E+02   0.00000E+00   0.15707E+02   0.15777E+02   0.15847E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16068E+02   0.41638E+02  -0.11876E+03  -0.79382E+02   0.27814E-02   0.15970E-05   0.30582E-03       0.18     194.47     0.0000  0.00   0.33303E-01   0.24942E+00    15.7808    15.7909    15.7970    15.8054    15.8361
   2021      8     10   12.00       960.00   0.16347E+02   0.00000E+00   0.16347E+02   0.16443E+02   0.16513E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20929E+02   0.47885E+02  -0.13073E+03  -0.67275E+02   0.27143E-02   0.16422E-05   0.38648E-03       0.18     165.53     0.0000  0.00   0.97747E-02   0.76866E+00    16.4481    16.4595    16.4665    16.4750    16.5015
   2021      8     11   12.00       984.00   0.15371E+02   0.00000E+00   0.15371E+02   0.15484E+02   0.15558E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22234E+02   0.49890E+02  -0.12002E+03  -0.68170E+02   0.30246E-02   0.17804E-05   0.56990E-03       0.18     140.66     0.0000  0.00  -0.11261E-01   0.96453E+00    15.4904    15.5038    15.5117    15.5203    15.5467
   2021      8     12   12.00      1008.00   0.14943E+02   0.00000E+00   0.14943E+02   0.15107E+02   0.15201E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33529E+02   0.66276E+02  -0.15659E+03  -0.82899E+02   0.36687E-02   0.26639E-05   0.13389E-02       0.18     166.37     0.0000  0.00  -0.33352E-01   0.12449E+01    15.1156    15.1333    15.1436    15.1545    15.1861
   2021      8     13   12.00      1032.00   0.13561E+02   0.00000E+00   0.13561E+02   0.13754E+02   0.13858E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34851E+02   0.63399E+02  -0.15170E+03  -0.85834E+02   0.41768E-02   0.33140E-05   0.24256E-02       0.19     148.30     0.0000  0.00  -0.23437E-01   0.19102E+01    13.7634    13.7869    13.7989    13.8103    13.8419
   2021      8     14   12.00      1056.00   0.12723E+02   0.00000E+00   0.12723E+02   0.12882E+02   0.12965E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25999E+02   0.51800E+02  -0.11754E+03  -0.68847E+02   0.52364E-02   0.95419E-05   0.70331E-02       0.19     109.36     0.0000  0.00   0.62026E-01   0.26435E+01    12.8894    12.9080    12.9186    12.9280    12.9537
   2021      8     15   12.00      1080.00   0.11869E+02   0.00000E+00   0.11869E+02   0.11986E+02   0.12043E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16160E+02   0.33815E+02  -0.69893E+02  -0.47019E+02   0.75541E-02   0.43029E-04   0.24036E-01       0.19      60.58     0.0000  0.00   0.16501E+00   0.47087E+01    11.9918    12.0029    12.0099    12.0175    12.0369
   2021      8     16   12.00      1104.00   0.11340E+02   0.00000E+00   0.11340E+02   0.11431E+02   0.11479E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12823E+02   0.29691E+02  -0.57148E+02  -0.37776E+02   0.74723E-02   0.45136E-04   0.23095E-01       0.19      40.62     0.0000  0.00   0.15360E+00   0.47460E+01    11.4356    11.4442    11.4507    11.4573    11.4738
   2021      8     17   12.00      1128.00   0.10713E+02   0.00000E+00   0.10713E+02   0.10869E+02   0.10953E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14559E+02   0.41388E+02  -0.98892E+02  -0.71527E+02   0.64459E-02   0.19528E-04   0.14889E-01       0.19     122.89     0.0000  0.00   0.94162E-01   0.42460E+01    10.8758    10.8948    10.9048    10.9146    10.9438
   2021      8     18   12.00      1152.00   0.11243E+02   0.00000E+00   0.11243E+02   0.11370E+02   0.11454E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18950E+02   0.42285E+02  -0.11972E+03  -0.80666E+02   0.41119E-02   0.41107E-05   0.30225E-02       0.19     163.21     0.0000  0.00   0.35520E-01   0.17948E+01    11.3753    11.3936    11.4038    11.4135    11.4437
   2021      8     19   12.00      1176.00   0.11311E+02   0.00000E+00   0.11311E+02   0.11412E+02   0.11472E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16488E+02   0.36291E+02  -0.82589E+02  -0.55791E+02   0.58652E-02   0.24089E-04   0.14107E-01       0.19     106.96     0.0000  0.00   0.12792E+00   0.26173E+01    11.4164    11.4293    11.4365    11.4439    11.4659
   2021      8     20   12.00      1200.00   0.11530E+02   0.00000E+00   0.11530E+02   0.11638E+02   0.11702E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13073E+02   0.36880E+02  -0.84440E+02  -0.57567E+02   0.60353E-02   0.24702E-04   0.14785E-01       0.19     120.39     0.0000  0.00   0.10671E+00   0.34417E+01    11.6418    11.6562    11.6641    11.6718    11.6957
   2021      8     21   12.00      1224.00   0.12200E+02   0.00000E+00   0.12200E+02   0.12260E+02   0.12309E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.89305E+01   0.24652E+02  -0.88155E+02  -0.64177E+02   0.19995E-02   0.11038E-05   0.38116E-03       0.19     155.09     0.0000  0.00  -0.23017E-02  -0.11704E+00    12.2624    12.2719    12.2775    12.2832    12.3048
   2021      8     22   12.00      1248.00   0.12658E+02   0.00000E+00   0.12658E+02   0.12772E+02   0.12834E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15200E+02   0.37106E+02  -0.86098E+02  -0.50119E+02   0.50689E-02   0.55952E-05   0.59298E-02       0.19     117.11     0.0000  0.00   0.19497E-01  -0.29684E+01    12.7760    12.7910    12.7998    12.8063    12.8275
   2021      8     23   12.00      1272.00   0.12742E+02   0.00000E+00   0.12742E+02   0.12784E+02   0.12816E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82120E+01   0.19298E+02  -0.44280E+02  -0.32550E+02   0.41738E-02   0.35811E-05   0.30055E-02       0.20      79.69     0.0000  0.00   0.44569E-01  -0.16845E+01    12.7848    12.7923    12.7971    12.8008    12.8148
   2021      8     24   12.00      1296.00   0.13611E+02   0.00000E+00   0.13611E+02   0.13632E+02   0.13658E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39616E+01   0.11339E+02  -0.41401E+02  -0.34367E+02   0.17690E-02   0.34712E-06   0.61591E-04       0.20     108.52     0.0000  0.00   0.92022E-02   0.13238E+00    13.6329    13.6369    13.6392    13.6422    13.6571
   2021      8     25   12.00      1320.00   0.14202E+02   0.00000E+00   0.14202E+02   0.14328E+02   0.14398E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19647E+02   0.46267E+02  -0.11944E+03  -0.63901E+02   0.37977E-02   0.25848E-05   0.18607E-02       0.20     166.36     0.0000  0.00  -0.30478E-01   0.14687E+01    14.3330    14.3490    14.3573    14.3653    14.3891
   2021      8     26   12.00      1344.00   0.13172E+02   0.00000E+00   0.13172E+02   0.13397E+02   0.13501E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35129E+02   0.69290E+02  -0.16053E+03  -0.77270E+02   0.54806E-02   0.92461E-05   0.75736E-02       0.20     146.38     0.0000  0.00  -0.13723E-01   0.32795E+01    13.4075    13.4311    13.4438    13.4548    13.4832
   2021      8     27   12.00      1368.00   0.11414E+02   0.00000E+00   0.11414E+02   0.11629E+02   0.11735E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27980E+02   0.56190E+02  -0.13958E+03  -0.80042E+02   0.51468E-02   0.77994E-05   0.66954E-02       0.20     128.62     0.0000  0.00  -0.36426E-02   0.30910E+01    11.6391    11.6642    11.6771    11.6886    11.7197
   2021      8     28   12.00      1392.00   0.10994E+02   0.00000E+00   0.10994E+02   0.11104E+02   0.11175E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16608E+02   0.33864E+02  -0.10173E+03  -0.65222E+02   0.35638E-02   0.21230E-05   0.12041E-02       0.20     110.48     0.0000  0.00   0.12377E-01   0.12210E+01    11.1085    11.1265    11.1359    11.1441    11.1684
   2021      8     29   12.00      1416.00   0.10797E+02   0.00000E+00   0.10797E+02   0.10845E+02   0.10889E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.67086E+01   0.19412E+02  -0.43986E+02  -0.40034E+02   0.48591E-02   0.33088E-05   0.35943E-02       0.20      69.23     0.0000  0.00   0.87783E-01   0.14370E+01    10.8461    10.8557    10.8624    10.8672    10.8865
   2021      8     30   12.00      1440.00   0.11702E+02   0.00000E+00   0.11702E+02   0.11727E+02   0.11761E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36283E+01   0.15535E+02  -0.38536E+02  -0.33997E+02   0.30686E-02   0.12692E-05   0.87626E-03       0.20      85.78     0.0000  0.00   0.43030E-01   0.42162E+00    11.7273    11.7337    11.7374    11.7407    11.7606
   2021      8     31   12.00      1464.00   0.12338E+02   0.00000E+00   0.12338E+02   0.12363E+02   0.12392E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33793E+01   0.11344E+02  -0.36709E+02  -0.29047E+02   0.16384E-02   0.31394E-06   0.37806E-04       0.20      80.88     0.0000  0.00   0.52667E-02  -0.25782E+00    12.3640    12.3683    12.3710    12.3737    12.3920
   2021      9      1   12.00      1488.00   0.13245E+02   0.00000E+00   0.13245E+02   0.13266E+02   0.13298E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16446E+01   0.15277E+02  -0.45573E+02  -0.38611E+02   0.21528E-02   0.59914E-06   0.11064E-03       0.21     122.93     0.0000  0.00   0.53915E-02  -0.49789E+00    13.2667    13.2717    13.2744    13.2777    13.2980
   2021      9      2   12.00      1512.00   0.14687E+02   0.00000E+00   0.14687E+02   0.14715E+02   0.14742E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29139E+01   0.16835E+02  -0.56735E+02  -0.36298E+02   0.19414E-02   0.56627E-06   0.75728E-04       0.21     135.51     0.0000  0.00   0.12464E-01  -0.28745E+00    14.7161    14.7207    14.7234    14.7265    14.7405
   2021      9      3   12.00      1536.00   0.15082E+02   0.00000E+00   0.15082E+02   0.15144E+02   0.15179E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11625E+02   0.25757E+02  -0.73469E+02  -0.33283E+02   0.28170E-02   0.15127E-05   0.67735E-03       0.21     106.69     0.0000  0.00   0.23324E-01  -0.73703E+00    15.1476    15.1562    15.1609    15.1647    15.1766
   2021      9      4   12.00      1560.00   0.14167E+02   0.00000E+00   0.14167E+02   0.14307E+02   0.14374E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.26182E+02   0.44866E+02  -0.11008E+03  -0.45379E+02   0.41329E-02   0.32093E-05   0.28660E-02       0.21      90.37     0.0000  0.00  -0.46308E-01  -0.11681E+01    14.3138    14.3301    14.3390    14.3464    14.3643
   2021      9      5   12.00      1584.00   0.12135E+02   0.00000E+00   0.12135E+02   0.12257E+02   0.12323E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23030E+02   0.39515E+02  -0.10346E+03  -0.52694E+02   0.37795E-02   0.31573E-05   0.22252E-02       0.21      65.53     0.0000  0.00  -0.53045E-01   0.35164E+00    12.2637    12.2790    12.2880    12.2957    12.3150
   2021      9      6   12.00      1608.00   0.10792E+02   0.00000E+00   0.10792E+02   0.10921E+02   0.10989E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14822E+02   0.27435E+02  -0.80471E+02  -0.50385E+02   0.52666E-02   0.92375E-05   0.71337E-02       0.21      60.12     0.0000  0.00   0.25956E-01   0.31906E+01    10.9268    10.9429    10.9528    10.9605    10.9819
   2021      9      7   12.00      1632.00   0.10711E+02   0.00000E+00   0.10711E+02   0.10772E+02   0.10814E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47097E+01   0.98944E+01  -0.43701E+02  -0.40054E+02   0.63090E-02   0.20765E-04   0.13169E-01       0.21      67.88     0.0000  0.00   0.22366E-01   0.44955E+01    10.7738    10.7818    10.7873    10.7933    10.8114
