   2022      1     12   12.00       264.00  -0.14922E+02   0.00000E+00  -0.11540E-07   0.21367E+01   0.32881E+01   0.00000E+00  -0.78401E-02  -0.14922E+02  -0.25269E+01   0.41617E+01  -0.16349E+01  -0.41027E+01   0.86389E-02   0.00000E+00   0.00000E+00       0.85      12.69     0.0000  0.00  -0.40477-168  -0.47825-166     1.1122     2.6524     2.7072     2.7433     3.2881
   2022      1     13   12.00       288.00  -0.13044E+02   0.00000E+00  -0.11686E-07   0.20927E+01   0.32737E+01   0.00000E+00  -0.65019E-02  -0.13044E+02  -0.13494E+00   0.61760E+01  -0.60411E+01  -0.40231E+01   0.10006E-01   0.00000E+00   0.00000E+00       0.85      13.83     0.0000  0.00  -0.37864-184  -0.44737-182     1.0808     2.5995     2.6611     2.7018     3.2737
   2022      1     14   12.00       312.00  -0.12717E+02   0.00000E+00  -0.11774E-07   0.20509E+01   0.32631E+01   0.00000E+00  -0.60575E-02  -0.12717E+02  -0.31755E+00   0.66872E+01  -0.63697E+01  -0.39482E+01   0.10391E-01   0.00000E+00   0.00000E+00       0.85      16.51     0.0000  0.00  -0.35567-200  -0.42023-198     1.0503     2.5494     2.6182     2.6625     3.2631
   2022      1     15   12.00       336.00  -0.13018E+02   0.00000E+00  -0.11857E-07   0.20114E+01   0.32551E+01   0.00000E+00  -0.60229E-02  -0.13018E+02   0.61363E+01   0.75689E+01  -0.13705E+02  -0.38205E+01   0.10128E-01   0.00000E+00   0.00000E+00       0.85      16.08     0.0000  0.00  -0.33467-216  -0.39543-214     1.0211     2.5015     2.5781     2.6256     3.2551
   2022      1     16   12.00       360.00  -0.14284E+02   0.00000E+00  -0.11960E-07   0.19738E+01   0.32536E+01   0.00000E+00  -0.62209E-02  -0.14284E+02   0.79078E+01   0.73244E+01  -0.15232E+02  -0.37494E+01   0.10212E-01   0.00000E+00   0.00000E+00       0.85      15.80     0.0000  0.00  -0.31522-232  -0.37245-230     0.9935     2.4556     2.5401     2.5906     3.2536
   2022      1     17   12.00       384.00  -0.15759E+02   0.00000E+00  -0.12066E-07   0.19381E+01   0.32430E+01   0.00000E+00  -0.59460E-02  -0.15759E+02   0.47754E+01   0.74397E+01  -0.12215E+02  -0.37759E+01   0.11398E-01   0.00000E+00   0.00000E+00       0.85      17.29     0.0000  0.00  -0.29673-248  -0.35061-246     0.9673     2.4113     2.5041     2.5589     3.2430
   2022      1     18   12.00       408.00  -0.17675E+02   0.00000E+00  -0.12174E-07   0.19040E+01   0.32310E+01   0.00000E+00  -0.62285E-02  -0.17675E+02  -0.46211E+01   0.65743E+01  -0.19532E+01  -0.37602E+01   0.12497E-01   0.00000E+00   0.00000E+00       0.85      20.72     0.0000  0.00  -0.27929-264  -0.32999-262     0.9423     2.3687     2.4699     2.5292     3.2310
   2022      1     19   12.00       432.00  -0.20532E+02   0.00000E+00  -0.12320E-07   0.18716E+01   0.32204E+01   0.00000E+00  -0.67192E-02  -0.20532E+02  -0.22184E+02   0.35529E+01   0.18631E+02  -0.37266E+01   0.12884E-01   0.00000E+00   0.00000E+00       0.85      24.78     0.0000  0.00  -0.26232-280  -0.30994-278     0.9188     2.3278     2.4373     2.5010     3.2204
   2022      1     20   12.00       456.00  -0.21379E+02   0.00000E+00  -0.12528E-07   0.18407E+01   0.32100E+01   0.00000E+00  -0.73482E-02  -0.21374E+02  -0.25649E+02   0.37244E+01   0.21925E+02  -0.36978E+01   0.13815E-01   0.00000E+00   0.00000E+00       0.85      26.06     0.0000  0.00  -0.24577-296  -0.29039-294     0.8968     2.2882     2.4063     2.4740     3.2100
   2022      1     21   12.00       480.00  -0.18768E+02   0.00000E+00  -0.12726E-07   0.18111E+01   0.32011E+01   0.00000E+00  -0.62729E-02  -0.18768E+02  -0.31609E+00   0.32327E+01  -0.29166E+01  -0.36391E+01   0.12418E-01   0.00000E+00   0.00000E+00       0.85      23.48     0.0000  0.00  -0.22981-312  -0.27153-310     0.8756     2.2499     2.3768     2.4481     3.2011
   2022      1     22   12.00       504.00  -0.16578E+02   0.00000E+00  -0.12819E-07   0.17823E+01   0.31944E+01   0.00000E+00  -0.49936E-02  -0.16570E+02   0.76017E+01   0.45914E+01  -0.12193E+02  -0.36001E+01   0.95511E-02   0.00000E+00   0.00000E+00       0.85      21.15     0.0000  0.00  -0.63734-321  -0.37766-319     0.8545     2.2126     2.3483     2.4231     3.1944
   2022      1     23   12.00       528.00  -0.17261E+02   0.00000E+00  -0.12822E-07   0.17543E+01   0.31841E+01   0.00000E+00  -0.40143E-02  -0.17257E+02  -0.13883E+02   0.15922E+01   0.12291E+02  -0.36029E+01   0.69452E-02   0.00000E+00   0.00000E+00       0.85      23.54     0.0000  0.00   0.28952-320  -0.12851-318     0.8338     2.1761     2.3209     2.3996     3.1841
   2022      1     24   12.00       552.00  -0.16905E+02   0.00000E+00  -0.12770E-07   0.17271E+01   0.31733E+01   0.00000E+00  -0.35133E-02  -0.16900E+02  -0.28785E+02  -0.81979E+00   0.29605E+02  -0.35892E+01   0.84438E-02   0.00000E+00   0.00000E+00       0.85      24.56     0.0000  0.00   0.40810-320  -0.84288-320     0.8137     2.1405     2.2945     2.3772     3.1733
   2022      1     25   12.00       576.00  -0.16164E+02   0.00000E+00  -0.12693E-07   0.17009E+01   0.31625E+01   0.00000E+00  -0.31011E-02  -0.16160E+02  -0.23484E+02  -0.28459E+01   0.26330E+02  -0.35748E+01   0.94407E-02   0.00000E+00   0.00000E+00       0.85      27.21     0.0000  0.00  -0.20158-320  -0.87336-319     0.7944     2.1059     2.2690     2.3558     3.1625
   2022      1     26   12.00       600.00  -0.20989E+02   0.00000E+00  -0.12594E-07   0.16756E+01   0.31517E+01   0.00000E+00  -0.28243E-02  -0.20989E+02  -0.16782E+02  -0.17965E+01   0.18579E+02  -0.35568E+01   0.54939E-02   0.00000E+00   0.00000E+00       0.85      38.30     0.0000  0.00  -0.34091-321  -0.72973-320     0.7758     2.0722     2.2444     2.3351     3.1517
   2022      1     27   12.00       624.00  -0.22510E+02   0.00000E+00  -0.12511E-07   0.16512E+01   0.31416E+01   0.00000E+00  -0.31884E-02  -0.22508E+02  -0.43189E+02   0.21513E+01   0.41037E+02  -0.35315E+01   0.13567E-01   0.00000E+00   0.00000E+00       0.85      50.68     0.0000  0.00   0.40810-320  -0.54703-319     0.7583     2.0394     2.2205     2.3152     3.1416
   2022      1     28   12.00       648.00  -0.23717E+02   0.00000E+00  -0.12474E-07   0.16278E+01   0.31327E+01   0.00000E+00  -0.35553E-02  -0.23717E+02  -0.51862E+02  -0.43520E+00   0.52297E+02  -0.34981E+01   0.15662E-01   0.00000E+00   0.00000E+00       0.85      51.81     0.0000  0.00  -0.14723-320  -0.15105-318     0.7417     2.0076     2.1973     2.2962     3.1327
   2022      1     29   12.00       672.00  -0.23362E+02   0.00000E+00  -0.12481E-07   0.16053E+01   0.31233E+01   0.00000E+00  -0.39421E-02  -0.23362E+02  -0.50085E+02   0.73388E+00   0.49352E+02  -0.34882E+01   0.13842E-01   0.00000E+00   0.00000E+00       0.85      45.57     0.0000  0.00   0.54644-320  -0.42040-319     0.7262     1.9768     2.1746     2.2781     3.1233
   2022      1     30   12.00       696.00  -0.22223E+02   0.00000E+00  -0.12517E-07   0.15835E+01   0.31136E+01   0.00000E+00  -0.40686E-02  -0.22223E+02  -0.50119E+02   0.18603E+01   0.48258E+02  -0.34735E+01   0.12235E-01   0.00000E+00   0.00000E+00       0.85      42.13     0.0000  0.00   0.10277-320  -0.85745-319     0.7114     1.9470     2.1525     2.2608     3.1136
   2022      1     31   12.00       720.00  -0.18514E+02   0.00000E+00  -0.12561E-07   0.15625E+01   0.31038E+01   0.00000E+00  -0.40025E-02  -0.18513E+02  -0.46848E+02   0.68401E+01   0.40008E+02  -0.34607E+01   0.17057E-01   0.00000E+00   0.00000E+00       0.85      37.40     0.0000  0.00  -0.11660-320  -0.78285-319     0.6972     1.9180     2.1310     2.2442     3.1038
   2022      2      1   12.00       744.00  -0.14701E+02   0.00000E+00  -0.12590E-07   0.15421E+01   0.30939E+01   0.00000E+00  -0.36120E-02  -0.14701E+02  -0.30651E+02   0.12321E+02   0.18330E+02  -0.34465E+01   0.23407E-01   0.00000E+00   0.00000E+00       0.85      30.91     0.0000  0.00   0.13636-320  -0.10206-318     0.6834     1.8898     2.1100     2.2280     3.0939
   2022      2      2   12.00       768.00  -0.13086E+02   0.00000E+00  -0.12582E-07   0.15222E+01   0.30840E+01   0.00000E+00  -0.31456E-02  -0.13086E+02  -0.14037E+02   0.16451E+02  -0.24140E+01  -0.34302E+01   0.26831E-01   0.00000E+00   0.00000E+00       0.85      28.09     0.0000  0.00  -0.13784-320   0.75839-320     0.6700     1.8622     2.0896     2.2122     3.0840
   2022      2      3   12.00       792.00  -0.13198E+02   0.00000E+00  -0.12547E-07   0.15028E+01   0.30744E+01   0.00000E+00  -0.29495E-02  -0.13198E+02  -0.56293E+01   0.16117E+02  -0.10487E+02  -0.34130E+01   0.25530E-01   0.00000E+00   0.00000E+00       0.85      28.73     0.0000  0.00   0.19417-320  -0.49792-319     0.6569     1.8353     2.0695     2.1970     3.0744
   2022      2      4   12.00       816.00  -0.13795E+02   0.00000E+00  -0.12521E-07   0.14840E+01   0.30649E+01   0.00000E+00  -0.31430E-02  -0.13795E+02   0.57720E+01   0.10020E+02  -0.15792E+02  -0.34008E+01   0.19447E-01   0.00000E+00   0.00000E+00       0.85      27.87     0.0000  0.00   0.39525-322  -0.63473-319     0.6444     1.8091     2.0498     2.1824     3.0649
   2022      2      5   12.00       840.00  -0.15803E+02   0.00000E+00  -0.12525E-07   0.14658E+01   0.30552E+01   0.00000E+00  -0.34129E-02  -0.15803E+02   0.60544E+01   0.55922E+01  -0.11647E+02  -0.33887E+01   0.12488E-01   0.00000E+00   0.00000E+00       0.85      31.72     0.0000  0.00   0.58794-321  -0.20252-319     0.6325     1.7837     2.0306     2.1684     3.0552
   2022      2      6   12.00       864.00  -0.20682E+02   0.00000E+00  -0.12565E-07   0.14482E+01   0.30457E+01   0.00000E+00  -0.38154E-02  -0.20681E+02  -0.15950E+02   0.12319E+01   0.14718E+02  -0.33756E+01   0.10145E-01   0.00000E+00   0.00000E+00       0.85      48.98     0.0000  0.00   0.11067-320  -0.52420-319     0.6212     1.7591     2.0117     2.1549     3.0457
   2022      2      7   12.00       888.00  -0.26240E+02   0.00000E+00  -0.12641E-07   0.14312E+01   0.30362E+01   0.00000E+00  -0.40772E-02  -0.26240E+02  -0.39168E+02  -0.97768E+00   0.40145E+02  -0.33626E+01   0.92210E-02   0.00000E+00   0.00000E+00       0.85      73.17     0.0000  0.00  -0.97825-321  -0.52084-319     0.6105     1.7352     1.9932     2.1418     3.0362
   2022      2      8   12.00       912.00  -0.37623E+02   0.00000E+00  -0.12756E-07   0.14148E+01   0.30270E+01   0.00000E+00  -0.48293E-02  -0.37623E+02  -0.13860E+02  -0.52639E+00   0.14387E+02  -0.33481E+01   0.18116E-02   0.00000E+00   0.00000E+00       0.85      85.24     0.0000  0.00  -0.13537-320  -0.51763-319     0.6004     1.7120     1.9751     2.1292     3.0270
   2022      2      9   12.00       936.00  -0.27179E+02   0.00000E+00  -0.13015E-07   0.13992E+01   0.30185E+01   0.00000E+00  -0.65499E-02  -0.27179E+02  -0.40304E+02  -0.17553E+01   0.42059E+02  -0.33298E+01   0.74982E-02   0.00000E+00   0.00000E+00       0.85      73.27     0.0000  0.00  -0.60770-321  -0.51763-319     0.5912     1.6898     1.9575     2.1172     3.0185
   2022      2     10   12.00       960.00  -0.22600E+02   0.00000E+00  -0.13322E-07   0.13842E+01   0.30101E+01   0.00000E+00  -0.59134E-02  -0.22600E+02  -0.21590E+02   0.64359E+00   0.20946E+02  -0.33157E+01   0.78913E-02   0.00000E+00   0.00000E+00       0.85      48.77     0.0000  0.00  -0.36067-321  -0.51763-319     0.5825     1.6683     1.9401     2.1056     3.0101
   2022      2     11   12.00       984.00  -0.17820E+02   0.00000E+00  -0.13539E-07   0.13692E+01   0.30010E+01   0.00000E+00  -0.49721E-02  -0.17820E+02  -0.75537E+00   0.66370E+01  -0.58817E+01  -0.33076E+01   0.15146E-01   0.00000E+00   0.00000E+00       0.85      33.06     0.0000  0.00  -0.22727-321  -0.51763-319     0.5735     1.6472     1.9230     2.0942     3.0010
   2022      2     12   12.00      1008.00  -0.16787E+02   0.00000E+00  -0.13654E-07   0.13544E+01   0.29915E+01   0.00000E+00  -0.39330E-02  -0.16787E+02   0.74427E+01   0.57792E+01  -0.13222E+02  -0.33000E+01   0.12705E-01   0.00000E+00   0.00000E+00       0.85      41.73     0.0000  0.00  -0.24703-322  -0.51763-319     0.5643     1.6263     1.9061     2.0829     2.9915
   2022      2     13   12.00      1032.00  -0.18078E+02   0.00000E+00  -0.13675E-07   0.13397E+01   0.29818E+01   0.00000E+00  -0.32488E-02  -0.18078E+02  -0.77586E+01   0.60692E+01   0.16893E+01  -0.32924E+01   0.10313E-01   0.00000E+00   0.00000E+00       0.85      57.65     0.0000  0.00   0.14822-322  -0.51763-319     0.5551     1.6058     1.8896     2.0717     2.9818
   2022      2     14   12.00      1056.00  -0.17727E+02   0.00000E+00  -0.13663E-07   0.13253E+01   0.29721E+01   0.00000E+00  -0.31036E-02  -0.17726E+02  -0.14228E+02   0.41255E+01   0.10102E+02  -0.32836E+01   0.11976E-01   0.00000E+00   0.00000E+00       0.85      59.46     0.0000  0.00   0.19269-321  -0.51763-319     0.5460     1.5856     1.8733     2.0608     2.9721
   2022      2     15   12.00      1080.00  -0.15444E+02   0.00000E+00  -0.13648E-07   0.13112E+01   0.29626E+01   0.00000E+00  -0.29533E-02  -0.15444E+02  -0.11049E+02   0.61359E+01   0.49134E+01  -0.32738E+01   0.14376E-01   0.00000E+00   0.00000E+00       0.85      53.20     0.0000  0.00   0.19269-321  -0.51763-319     0.5373     1.5659     1.8573     2.0502     2.9626
   2022      2     16   12.00      1104.00  -0.13706E+02   0.00000E+00  -0.13610E-07   0.12974E+01   0.29530E+01   0.00000E+00  -0.26007E-02  -0.13706E+02  -0.11118E+02   0.11033E+02   0.85003E-01  -0.32649E+01   0.14656E-01   0.00000E+00   0.00000E+00       0.85      50.67     0.0000  0.00   0.19269-321  -0.51763-319     0.5288     1.5466     1.8415     2.0399     2.9530
   2022      2     17   12.00      1128.00  -0.13106E+02   0.00000E+00  -0.13542E-07   0.12839E+01   0.29434E+01   0.00000E+00  -0.22739E-02  -0.13106E+02  -0.98127E+01   0.46655E+01   0.51473E+01  -0.32568E+01   0.14997E-01   0.00000E+00   0.00000E+00       0.85      51.66     0.0000  0.00   0.19269-321  -0.51763-319     0.5204     1.5277     1.8259     2.0298     2.9434
   2022      2     18   12.00      1152.00  -0.13217E+02   0.00000E+00  -0.13455E-07   0.12706E+01   0.29338E+01   0.00000E+00  -0.20416E-02  -0.13221E+02  -0.11781E+02   0.19127E+01   0.98680E+01  -0.32482E+01   0.14774E-01   0.00000E+00   0.00000E+00       0.85      49.21     0.0000  0.00   0.19269-321  -0.51763-319     0.5122     1.5091     1.8105     2.0200     2.9338
   2022      2     19   12.00      1176.00  -0.12148E+02   0.00000E+00  -0.13351E-07   0.12576E+01   0.29243E+01   0.00000E+00  -0.17649E-02  -0.12148E+02  -0.27730E+02   0.17200E+02   0.10530E+02  -0.32395E+01   0.15174E-01   0.00000E+00   0.00000E+00       0.85      48.22     0.0000  0.00   0.19269-321  -0.51763-319     0.5042     1.4909     1.7953     2.0103     2.9243
   2022      2     20   12.00      1200.00  -0.69181E+01   0.00000E+00  -0.13228E-07   0.12448E+01   0.29147E+01   0.00000E+00  -0.15825E-02  -0.69156E+01  -0.17218E+02   0.59525E+01   0.11266E+02  -0.32306E+01   0.11696E-01   0.00000E+00   0.00000E+00       0.85      47.63     0.0000  0.00   0.19269-321  -0.51763-319     0.4964     1.4731     1.7803     2.0009     2.9147
   2022      2     21   12.00      1224.00  -0.14516E+01   0.00000E+00  -0.13092E-07   0.12323E+01   0.29053E+01   0.00000E+00  -0.10751E-02  -0.14513E+01  -0.81894E+01  -0.55677E+01   0.13757E+02  -0.32218E+01   0.15368E-01   0.00000E+00   0.00000E+00       0.85      48.18     0.0000  0.00   0.19269-321  -0.51763-319     0.4888     1.4556     1.7655     1.9917     2.9053
   2022      2     22   12.00      1248.00   0.56058E-01   0.00000E+00  -0.12873E-07   0.12199E+01   0.28956E+01   0.00000E+00  -0.64156E-04   0.56040E-01  -0.12330E+02  -0.19031E+01   0.14233E+02  -0.32148E+01   0.14744E-01   0.00000E+00   0.00000E+00       0.85      48.01     0.0000  0.00   0.19269-321  -0.51763-319     0.4810     1.4383     1.7508     1.9824     2.8956
   2022      2     23   12.00      1272.00   0.23655E+00   0.00000E+00  -0.12617E-07   0.12076E+01   0.28860E+01   0.00000E+00   0.98237E-05   0.23649E+00  -0.11423E+02   0.32339E+01   0.81894E+01  -0.32065E+01   0.12568E-01   0.00000E+00   0.00000E+00       0.85      43.21     0.0000  0.00   0.19269-321  -0.51763-319     0.4734     1.4212     1.7363     1.9733     2.8860
   2022      2     24   12.00      1296.00   0.68525E+00   0.00000E+00  -0.12378E-07   0.11956E+01   0.28766E+01   0.00000E+00   0.98865E-05   0.68509E+00  -0.18441E+02   0.10696E+02   0.77454E+01  -0.31971E+01   0.16588E-01   0.00000E+00   0.00000E+00       0.85      44.87     0.0000  0.00   0.19269-321  -0.51763-319     0.4661     1.4045     1.7221     1.9644     2.8766
   2022      2     25   12.00      1320.00   0.75290E+00   0.00000E+00  -0.11821E-07   0.11829E+01   0.28658E+01   0.00000E+00   0.98793E-05   0.75278E+00  -0.25457E+02   0.91133E+01   0.16344E+02  -0.32008E+01   0.16899E-01   0.00000E+00   0.00000E+00       0.85      52.44     0.0000  0.00   0.19269-321  -0.51763-319     0.4577     1.3872     1.7078     1.9548     2.8658
   2022      2     26   12.00      1344.00   0.16648E+00   0.00000E+00  -0.10466E-07   0.11684E+01   0.28521E+01   0.00000E+00   0.98730E-05   0.16648E+00  -0.23966E+02   0.17435E+01   0.22222E+02  -0.32135E+01   0.13403E-01   0.00000E+00   0.00000E+00       0.85      59.31     0.0000  0.00   0.19269-321  -0.51763-319     0.4463     1.3681     1.6929     1.9434     2.8521
   2022      2     27   12.00      1368.00  -0.69220E+00   0.00000E+00  -0.94212E-08   0.11549E+01   0.28406E+01   0.00000E+00   0.98656E-05  -0.69220E+00  -0.16396E+02  -0.34867E+01   0.19882E+02  -0.32033E+01   0.10843E-01   0.00000E+00   0.00000E+00       0.85      60.79     0.0000  0.00   0.19269-321  -0.51763-319     0.4367     1.3498     1.6783     1.9335     2.8406
   2022      2     28   12.00      1392.00  -0.32417E+01   0.00000E+00  -0.87800E-08   0.11427E+01   0.28310E+01   0.00000E+00   0.98581E-05  -0.32417E+01  -0.10115E+02  -0.63780E+01   0.16493E+02  -0.31845E+01   0.73485E-02   0.00000E+00   0.00000E+00       0.85      71.61     0.0000  0.00   0.19269-321  -0.51763-319     0.4290     1.3328     1.6642     1.9247     2.8310
   2022      3      1   12.00      1416.00  -0.73296E+01   0.00000E+00  -0.83718E-08   0.11313E+01   0.28223E+01   0.00000E+00   0.98467E-05  -0.73296E+01  -0.16205E+02  -0.32446E+01   0.19449E+02  -0.31677E+01   0.61122E-02   0.00000E+00   0.00000E+00       0.85      89.68     0.0000  0.00   0.19269-321  -0.51763-319     0.4224     1.3167     1.6505     1.9164     2.8223
   2022      3      2   12.00      1440.00  -0.86261E+01   0.00000E+00  -0.80346E-08   0.11202E+01   0.28138E+01   0.00000E+00   0.98297E-05  -0.86261E+01  -0.21471E+02  -0.21158E+01   0.23586E+02  -0.31545E+01   0.67400E-02   0.00000E+00   0.00000E+00       0.85      91.15     0.0000  0.00   0.19269-321  -0.51763-319     0.4162     1.3011     1.6369     1.9083     2.8138
   2022      3      3   12.00      1464.00  -0.53570E+01   0.00000E+00  -0.77665E-08   0.11095E+01   0.28054E+01   0.00000E+00   0.98083E-05  -0.53570E+01  -0.18842E+02  -0.26160E+01   0.21458E+02  -0.31416E+01   0.10871E-01   0.00000E+00   0.00000E+00       0.85      76.54     0.0000  0.00   0.19269-321  -0.51763-319     0.4102     1.2860     1.6237     1.9003     2.8054
   2022      3      4   12.00      1488.00  -0.22280E+01   0.00000E+00  -0.75741E-08   0.10992E+01   0.27974E+01   0.00000E+00   0.97835E-05  -0.22280E+01  -0.89574E+01  -0.25350E+01   0.11492E+02  -0.31290E+01   0.12014E-01   0.00000E+00   0.00000E+00       0.85      67.91     0.0000  0.00   0.19269-321  -0.51763-319     0.4047     1.2713     1.6106     1.8925     2.7974
   2022      3      5   12.00      1512.00  -0.32258E+01   0.00000E+00  -0.74009E-08   0.10891E+01   0.27893E+01   0.00000E+00   0.97471E-05  -0.32258E+01  -0.52811E+01  -0.79104E+01   0.13191E+02  -0.31182E+01   0.12211E-01   0.00000E+00   0.00000E+00       0.85      72.28     0.0000  0.00   0.19269-321  -0.51763-319     0.3993     1.2571     1.5978     1.8848     2.7893
   2022      3      6   12.00      1536.00  -0.72861E+01   0.00000E+00  -0.72316E-08   0.10791E+01   0.27812E+01   0.00000E+00   0.96844E-05  -0.72844E+01  -0.16052E+02  -0.41292E+01   0.20181E+02  -0.31083E+01   0.71462E-02   0.00000E+00   0.00000E+00       0.85      74.79     0.0000  0.00   0.19269-321  -0.51763-319     0.3940     1.2431     1.5852     1.8771     2.7812
   2022      3      7   12.00      1560.00  -0.73869E+01   0.00000E+00  -0.70582E-08   0.10693E+01   0.27730E+01   0.00000E+00   0.95446E-05  -0.73869E+01  -0.24495E+02   0.95675E+00   0.23538E+02  -0.30991E+01   0.11245E-01   0.00000E+00   0.00000E+00       0.85      74.29     0.0000  0.00   0.19269-321  -0.51763-319     0.3887     1.2294     1.5727     1.8694     2.7730
   2022      3      8   12.00      1584.00  -0.34693E+01   0.00000E+00  -0.68949E-08   0.10598E+01   0.27650E+01   0.00000E+00   0.90373E-05  -0.34693E+01  -0.93342E+01  -0.40480E+01   0.13382E+02  -0.30896E+01   0.13643E-01   0.00000E+00   0.00000E+00       0.85      73.89     0.0000  0.00   0.19269-321  -0.51763-319     0.3836     1.2160     1.5604     1.8618     2.7650
   2022      3      9   12.00      1608.00  -0.89176E+00   0.00000E+00  -0.67738E-08   0.10505E+01   0.27571E+01   0.00000E+00   0.90216E-05  -0.89152E+00  -0.21608E+01   0.28543E+01  -0.69353E+00  -0.30789E+01   0.81907E-02   0.00000E+00   0.00000E+00       0.85      70.42     0.0000  0.00   0.19269-321  -0.51763-319     0.3788     1.2030     1.5484     1.8544     2.7571
